Identity  : 	id10307
Reference : 	depvF9rYJX4
Offset    : 	-3
FV Conf   : 	14.890
ASD Conf  : 	5.798

FRAME 	X 	Y 	W 	H 
002227 	264 	95 	90 	91 
002228 	264 	95 	90 	91 
002229 	264 	95 	90 	91 
002230 	264 	95 	90 	91 
002231 	264 	95 	90 	91 
002232 	264 	95 	90 	91 
002233 	264 	95 	90 	91 
002234 	264 	95 	90 	91 
002235 	264 	95 	90 	91 
002236 	264 	95 	90 	91 
002237 	264 	95 	90 	91 
002238 	264 	95 	90 	91 
002239 	264 	95 	90 	91 
002240 	264 	95 	90 	91 
002241 	264 	95 	90 	91 
002242 	264 	95 	90 	91 
002243 	264 	95 	90 	91 
002244 	264 	95 	90 	91 
002245 	264 	95 	90 	91 
002246 	264 	95 	90 	91 
002247 	264 	95 	90 	91 
002248 	264 	95 	90 	91 
002249 	264 	95 	90 	91 
002250 	264 	95 	90 	91 
002251 	264 	95 	90 	91 
002252 	264 	95 	90 	91 
002253 	264 	95 	90 	91 
002254 	264 	95 	90 	91 
002255 	264 	95 	90 	91 
002256 	264 	95 	90 	91 
002257 	264 	85 	90 	91 
002258 	264 	85 	90 	91 
002259 	264 	85 	90 	91 
002260 	264 	85 	90 	91 
002261 	257 	78 	109 	109 
002262 	274 	75 	90 	91 
002263 	274 	75 	90 	91 
002264 	274 	75 	90 	91 
002265 	284 	75 	90 	91 
002266 	284 	75 	90 	91 
002267 	284 	75 	90 	91 
002268 	284 	75 	90 	91 
002269 	284 	75 	90 	91 
002270 	294 	87 	76 	76 
002271 	284 	75 	90 	91 
002272 	284 	75 	90 	91 
002273 	294 	87 	76 	76 
002274 	284 	85 	90 	91 
002275 	284 	85 	90 	91 
002276 	286 	87 	76 	76 
002277 	286 	87 	76 	76 
002278 	274 	75 	90 	91 
002279 	274 	75 	90 	91 
002280 	274 	75 	90 	91 
002281 	278 	87 	75 	76 
002282 	257 	78 	109 	109 
002283 	264 	85 	90 	91 
002284 	264 	85 	90 	91 
002285 	264 	85 	90 	91 
002286 	264 	85 	90 	91 
002287 	264 	85 	90 	91 
002288 	264 	85 	90 	91 
002289 	264 	85 	90 	91 
002290 	264 	85 	90 	91 
002291 	264 	85 	90 	91 
002292 	264 	85 	90 	91 
002293 	264 	85 	90 	91 
002294 	264 	85 	90 	91 
002295 	254 	85 	90 	91 
002296 	254 	85 	90 	91 
002297 	254 	85 	90 	91 
002298 	254 	85 	90 	91 
002299 	254 	85 	90 	91 
002300 	254 	85 	90 	91 
002301 	254 	85 	90 	91 
002302 	254 	85 	90 	91 
002303 	254 	85 	90 	91 
002304 	254 	85 	90 	91 
002305 	254 	85 	90 	91 
002306 	254 	85 	90 	91 
002307 	254 	85 	90 	91 
002308 	254 	85 	90 	91 
002309 	254 	85 	90 	91 
002310 	254 	85 	90 	91 
002311 	254 	85 	90 	91 
002312 	254 	85 	90 	91 
002313 	254 	85 	90 	91 
002314 	254 	85 	90 	91 
002315 	254 	85 	90 	91 
002316 	254 	85 	90 	91 
002317 	254 	85 	90 	91 
002318 	254 	85 	90 	91 
002319 	254 	85 	90 	91 
002320 	254 	85 	90 	91 
002321 	254 	85 	90 	91 
002322 	254 	85 	90 	91 
002323 	254 	85 	90 	91 
002324 	254 	85 	90 	91 
002325 	254 	85 	90 	91 
002326 	254 	85 	90 	91 
002327 	254 	85 	90 	91 
002328 	254 	85 	90 	91 
002329 	254 	85 	90 	91 
002330 	254 	85 	90 	91 
002331 	254 	85 	90 	91 
002332 	254 	85 	90 	91 
002333 	254 	85 	90 	91 
002334 	254 	85 	90 	91 
002335 	254 	85 	90 	91 
002336 	254 	85 	90 	91 
002337 	254 	85 	90 	91 
002338 	254 	85 	90 	91 
002339 	254 	85 	90 	91 
002340 	254 	95 	90 	91 
002341 	254 	95 	90 	91 
002342 	254 	85 	90 	91 
002343 	254 	85 	90 	91 
002344 	254 	85 	90 	91 
002345 	254 	85 	90 	91 
002346 	254 	85 	90 	91 
002347 	254 	85 	90 	91 
002348 	254 	85 	90 	91 
002349 	254 	85 	90 	91 
002350 	254 	85 	90 	91 
002351 	254 	85 	90 	91 
002352 	254 	85 	90 	91 
002353 	254 	95 	90 	91 
002354 	254 	85 	90 	91 
002355 	254 	85 	90 	91 
002356 	254 	85 	90 	91 
002357 	254 	85 	90 	91 
002358 	254 	85 	90 	91 
002359 	254 	85 	90 	91 
