Identity  : 	id10307
Reference : 	kp_GCjLq4qA
Offset    : 	0
FV Conf   : 	21.201
ASD Conf  : 	7.761

FRAME 	X 	Y 	W 	H 
000646 	216 	79 	156 	156 
000647 	216 	79 	156 	156 
000648 	216 	79 	156 	156 
000649 	199 	62 	155 	155 
000650 	199 	62 	155 	155 
000651 	216 	79 	156 	156 
000652 	216 	79 	156 	156 
000653 	216 	79 	156 	156 
000654 	233 	79 	156 	156 
000655 	216 	79 	156 	156 
000656 	216 	79 	156 	156 
000657 	216 	79 	156 	156 
000658 	199 	62 	155 	155 
000659 	199 	62 	155 	155 
000660 	216 	79 	156 	156 
000661 	216 	79 	156 	156 
000662 	216 	79 	156 	156 
000663 	216 	79 	156 	156 
000664 	216 	79 	156 	156 
000665 	216 	79 	156 	156 
000666 	216 	79 	156 	156 
000667 	216 	79 	156 	156 
000668 	216 	79 	156 	156 
000669 	216 	79 	156 	156 
000670 	216 	79 	156 	156 
000671 	216 	79 	156 	156 
000672 	216 	62 	156 	155 
000673 	216 	79 	156 	156 
000674 	216 	62 	156 	155 
000675 	216 	62 	156 	155 
000676 	216 	62 	156 	155 
000677 	216 	62 	156 	155 
000678 	216 	62 	156 	155 
000679 	216 	62 	156 	155 
000680 	233 	62 	156 	155 
000681 	233 	62 	156 	155 
000682 	233 	62 	156 	155 
000683 	233 	62 	156 	155 
000684 	233 	62 	156 	155 
000685 	233 	62 	156 	155 
000686 	233 	62 	156 	155 
000687 	233 	62 	156 	155 
000688 	233 	62 	156 	155 
000689 	233 	62 	156 	155 
000690 	233 	62 	156 	155 
000691 	233 	62 	156 	155 
000692 	233 	62 	156 	155 
000693 	233 	62 	156 	155 
000694 	233 	62 	156 	155 
000695 	233 	62 	156 	155 
000696 	250 	79 	156 	156 
000697 	250 	79 	156 	156 
000698 	250 	79 	156 	156 
000699 	250 	62 	156 	155 
000700 	250 	62 	156 	155 
000701 	250 	62 	156 	155 
000702 	250 	62 	156 	155 
000703 	250 	62 	156 	155 
000704 	250 	62 	156 	155 
000705 	250 	62 	156 	155 
000706 	250 	62 	156 	155 
000707 	250 	62 	156 	155 
000708 	250 	62 	156 	155 
000709 	233 	79 	156 	156 
000710 	233 	79 	156 	156 
000711 	197 	53 	187 	187 
000712 	197 	53 	187 	187 
000713 	233 	79 	156 	156 
000714 	197 	53 	187 	187 
000715 	197 	53 	187 	187 
000716 	216 	79 	156 	156 
000717 	216 	79 	156 	156 
000718 	216 	79 	156 	156 
000719 	216 	79 	156 	156 
000720 	216 	79 	156 	156 
000721 	216 	79 	156 	156 
000722 	216 	79 	156 	156 
000723 	216 	79 	156 	156 
000724 	216 	79 	156 	156 
000725 	216 	79 	156 	156 
000726 	216 	79 	156 	156 
000727 	216 	79 	156 	156 
000728 	216 	79 	156 	156 
000729 	216 	79 	156 	156 
000730 	216 	79 	156 	156 
000731 	216 	79 	156 	156 
000732 	216 	79 	156 	156 
000733 	216 	79 	156 	156 
000734 	216 	79 	156 	156 
000735 	216 	79 	156 	156 
000736 	216 	79 	156 	156 
000737 	216 	79 	156 	156 
000738 	216 	79 	156 	156 
000739 	216 	79 	156 	156 
000740 	216 	79 	156 	156 
000741 	216 	79 	156 	156 
000742 	216 	79 	156 	156 
000743 	216 	79 	156 	156 
000744 	216 	79 	156 	156 
000745 	216 	79 	156 	156 
000746 	216 	79 	156 	156 
000747 	216 	79 	156 	156 
000748 	216 	79 	156 	156 
000749 	216 	79 	156 	156 
000750 	216 	79 	156 	156 
000751 	233 	79 	156 	156 
000752 	233 	79 	156 	156 
000753 	233 	96 	156 	156 
000754 	233 	96 	156 	156 
000755 	233 	79 	156 	156 
000756 	233 	79 	156 	156 
000757 	233 	79 	156 	156 
000758 	233 	79 	156 	156 
000759 	233 	79 	156 	156 
000760 	233 	79 	156 	156 
000761 	233 	79 	156 	156 
000762 	233 	79 	156 	156 
000763 	233 	79 	156 	156 
000764 	233 	79 	156 	156 
000765 	233 	79 	156 	156 
000766 	233 	79 	156 	156 
000767 	233 	79 	156 	156 
000768 	233 	79 	156 	156 
000769 	233 	79 	156 	156 
000770 	233 	79 	156 	156 
000771 	233 	79 	156 	156 
000772 	233 	79 	156 	156 
000773 	233 	79 	156 	156 
000774 	233 	79 	156 	156 
000775 	233 	79 	156 	156 
000776 	233 	96 	156 	156 
000777 	233 	96 	156 	156 
000778 	233 	96 	156 	156 
000779 	233 	96 	156 	156 
000780 	233 	96 	156 	156 
000781 	233 	96 	156 	156 
000782 	233 	96 	156 	156 
000783 	233 	96 	156 	156 
000784 	233 	96 	156 	156 
000785 	233 	96 	156 	156 
000786 	250 	113 	156 	156 
000787 	250 	113 	156 	156 
000788 	250 	113 	156 	156 
000789 	250 	113 	156 	156 
000790 	250 	113 	156 	156 
000791 	250 	113 	156 	156 
000792 	250 	113 	156 	156 
000793 	250 	113 	156 	156 
000794 	250 	113 	156 	156 
000795 	250 	113 	156 	156 
000796 	250 	113 	156 	156 
000797 	250 	113 	156 	156 
000798 	250 	113 	156 	156 
000799 	250 	113 	156 	156 
000800 	250 	113 	156 	156 
000801 	250 	113 	156 	156 
000802 	250 	113 	156 	156 
000803 	250 	113 	156 	156 
000804 	250 	113 	156 	156 
000805 	250 	113 	156 	156 
000806 	250 	113 	156 	156 
000807 	250 	113 	156 	156 
000808 	250 	113 	156 	156 
000809 	250 	113 	156 	156 
000810 	250 	113 	156 	156 
000811 	250 	113 	156 	156 
000812 	250 	113 	156 	156 
000813 	250 	113 	156 	156 
000814 	250 	113 	156 	156 
000815 	250 	113 	156 	156 
000816 	250 	113 	156 	156 
000817 	250 	113 	156 	156 
000818 	250 	113 	156 	156 
000819 	250 	113 	156 	156 
000820 	250 	113 	156 	156 
000821 	250 	113 	156 	156 
000822 	250 	113 	156 	156 
000823 	250 	113 	156 	156 
000824 	250 	113 	156 	156 
000825 	250 	113 	156 	156 
000826 	250 	113 	156 	156 
000827 	250 	113 	156 	156 
000828 	250 	113 	156 	156 
000829 	250 	113 	156 	156 
000830 	250 	113 	156 	156 
