Identity  : 	id10309
Reference : 	0cYFdtyWVds
Offset    : 	-1
FV Conf   : 	15.770
ASD Conf  : 	8.038

FRAME 	X 	Y 	W 	H 
003431 	373 	85 	91 	91 
003432 	373 	85 	91 	91 
003433 	365 	78 	108 	109 
003434 	365 	78 	108 	109 
003435 	373 	95 	91 	91 
003436 	373 	95 	91 	91 
003437 	373 	95 	91 	91 
003438 	373 	95 	91 	91 
003439 	373 	95 	91 	91 
003440 	383 	95 	91 	91 
003441 	383 	95 	91 	91 
003442 	383 	105 	91 	91 
003443 	383 	105 	91 	91 
003444 	383 	105 	91 	91 
003445 	383 	105 	91 	91 
003446 	383 	105 	91 	91 
003447 	383 	105 	91 	91 
003448 	383 	105 	91 	91 
003449 	383 	115 	91 	91 
003450 	383 	115 	91 	91 
003451 	383 	115 	91 	91 
003452 	383 	105 	91 	91 
003453 	373 	105 	91 	91 
003454 	373 	105 	91 	91 
003455 	365 	90 	108 	109 
003456 	365 	90 	108 	109 
003457 	365 	90 	108 	109 
003458 	365 	90 	108 	109 
003459 	365 	90 	108 	109 
003460 	383 	105 	91 	91 
003461 	383 	105 	91 	91 
003462 	383 	105 	91 	91 
003463 	376 	102 	109 	109 
003464 	383 	115 	91 	91 
003465 	383 	115 	91 	91 
003466 	383 	115 	91 	91 
003467 	383 	115 	91 	91 
003468 	383 	115 	91 	91 
003469 	383 	115 	91 	91 
003470 	383 	115 	91 	91 
003471 	393 	115 	91 	91 
003472 	393 	115 	91 	91 
003473 	393 	115 	91 	91 
003474 	393 	115 	91 	91 
003475 	393 	115 	91 	91 
003476 	393 	115 	91 	91 
003477 	393 	115 	91 	91 
003478 	393 	115 	91 	91 
003479 	393 	115 	91 	91 
003480 	393 	115 	91 	91 
003481 	393 	115 	91 	91 
003482 	393 	115 	91 	91 
003483 	393 	115 	91 	91 
003484 	393 	115 	91 	91 
003485 	393 	115 	91 	91 
003486 	393 	115 	91 	91 
003487 	393 	115 	91 	91 
003488 	393 	115 	91 	91 
003489 	393 	115 	91 	91 
003490 	383 	115 	91 	91 
003491 	383 	115 	91 	91 
003492 	383 	115 	91 	91 
003493 	383 	115 	91 	91 
003494 	373 	105 	91 	91 
003495 	373 	105 	91 	91 
003496 	373 	105 	91 	91 
003497 	353 	90 	108 	109 
003498 	353 	90 	108 	109 
003499 	353 	95 	91 	91 
003500 	353 	95 	91 	91 
003501 	353 	95 	91 	91 
003502 	341 	78 	108 	109 
003503 	341 	78 	108 	109 
003504 	341 	78 	108 	109 
003505 	341 	78 	108 	109 
003506 	353 	78 	108 	109 
003507 	353 	78 	108 	109 
003508 	353 	78 	108 	109 
003509 	373 	85 	91 	91 
003510 	373 	85 	91 	91 
003511 	373 	85 	91 	91 
003512 	373 	85 	91 	91 
003513 	365 	78 	108 	109 
003514 	373 	85 	91 	91 
003515 	373 	85 	91 	91 
003516 	373 	85 	91 	91 
003517 	373 	85 	91 	91 
003518 	365 	66 	108 	109 
003519 	365 	66 	108 	109 
003520 	365 	66 	108 	109 
003521 	365 	66 	108 	109 
003522 	373 	85 	91 	91 
003523 	353 	66 	108 	109 
003524 	347 	72 	108 	109 
003525 	341 	78 	108 	109 
003526 	341 	78 	108 	109 
003527 	341 	78 	108 	109 
003528 	341 	78 	108 	109 
003529 	341 	78 	108 	109 
003530 	341 	78 	108 	109 
003531 	353 	78 	108 	109 
003532 	353 	78 	108 	109 
003533 	353 	78 	108 	109 
003534 	373 	85 	91 	91 
003535 	373 	85 	91 	91 
003536 	373 	85 	91 	91 
003537 	373 	85 	91 	91 
003538 	373 	85 	91 	91 
003539 	373 	85 	91 	91 
003540 	365 	66 	108 	109 
003541 	365 	66 	108 	109 
003542 	365 	66 	108 	109 
003543 	365 	66 	108 	109 
003544 	373 	75 	91 	91 
003545 	373 	75 	91 	91 
003546 	373 	75 	91 	91 
003547 	365 	66 	108 	109 
003548 	365 	66 	108 	109 
003549 	365 	66 	108 	109 
003550 	365 	66 	108 	109 
003551 	365 	66 	108 	109 
003552 	365 	66 	108 	109 
003553 	365 	66 	108 	109 
003554 	365 	66 	108 	109 
003555 	365 	66 	108 	109 
003556 	373 	85 	91 	91 
003557 	373 	85 	91 	91 
003558 	373 	85 	91 	91 
003559 	373 	85 	91 	91 
003560 	373 	85 	91 	91 
003561 	353 	78 	108 	109 
003562 	353 	78 	108 	109 
003563 	353 	78 	108 	109 
003564 	363 	85 	91 	91 
003565 	353 	85 	91 	91 
003566 	353 	66 	108 	109 
003567 	353 	66 	108 	109 
003568 	373 	85 	91 	91 
003569 	373 	85 	91 	91 
003570 	365 	78 	108 	109 
003571 	383 	95 	91 	91 
003572 	373 	95 	91 	91 
003573 	373 	95 	91 	91 
003574 	373 	95 	91 	91 
003575 	353 	90 	108 	109 
003576 	353 	90 	108 	109 
003577 	363 	105 	91 	91 
003578 	363 	105 	91 	91 
003579 	363 	105 	91 	91 
003580 	363 	105 	91 	91 
003581 	363 	105 	91 	91 
003582 	353 	90 	108 	109 
003583 	353 	90 	108 	109 
003584 	353 	90 	108 	109 
003585 	353 	90 	108 	109 
003586 	363 	105 	91 	91 
003587 	353 	90 	108 	109 
003588 	353 	90 	108 	109 
003589 	353 	90 	108 	109 
003590 	353 	90 	108 	109 
003591 	353 	90 	108 	109 
003592 	353 	90 	108 	109 
003593 	353 	90 	108 	109 
003594 	353 	90 	108 	109 
003595 	353 	90 	108 	109 
003596 	353 	90 	108 	109 
003597 	353 	90 	108 	109 
003598 	353 	90 	108 	109 
003599 	353 	90 	108 	109 
003600 	341 	90 	108 	109 
003601 	341 	90 	108 	109 
003602 	341 	90 	108 	109 
003603 	341 	90 	108 	109 
003604 	341 	90 	108 	109 
003605 	341 	90 	108 	109 
003606 	341 	90 	108 	109 
003607 	341 	90 	108 	109 
003608 	341 	90 	108 	109 
003609 	341 	90 	108 	109 
003610 	341 	90 	108 	109 
003611 	341 	90 	108 	109 
003612 	341 	90 	108 	109 
003613 	341 	90 	108 	109 
003614 	353 	95 	91 	91 
003615 	353 	95 	91 	91 
003616 	353 	95 	91 	91 
003617 	353 	95 	91 	91 
003618 	341 	78 	108 	109 
003619 	341 	78 	108 	109 
003620 	341 	78 	108 	109 
003621 	341 	78 	108 	109 
003622 	341 	78 	108 	109 
003623 	341 	78 	108 	109 
003624 	341 	78 	108 	109 
003625 	341 	78 	108 	109 
003626 	341 	78 	108 	109 
003627 	341 	78 	108 	109 
003628 	341 	78 	108 	109 
003629 	353 	78 	108 	109 
003630 	341 	78 	108 	109 
003631 	353 	78 	108 	109 
003632 	353 	85 	91 	91 
003633 	363 	85 	91 	91 
003634 	363 	85 	91 	91 
003635 	363 	85 	91 	91 
003636 	363 	85 	91 	91 
003637 	363 	85 	91 	91 
003638 	363 	85 	91 	91 
003639 	363 	85 	91 	91 
003640 	363 	85 	91 	91 
003641 	363 	85 	91 	91 
003642 	363 	85 	91 	91 
003643 	363 	85 	91 	91 
003644 	363 	85 	91 	91 
003645 	363 	85 	91 	91 
003646 	363 	85 	91 	91 
003647 	363 	85 	91 	91 
003648 	363 	85 	91 	91 
003649 	353 	85 	91 	91 
003650 	353 	85 	91 	91 
003651 	353 	85 	91 	91 
003652 	353 	85 	91 	91 
003653 	353 	66 	108 	109 
003654 	353 	66 	108 	109 
003655 	353 	66 	108 	109 
003656 	353 	66 	108 	109 
003657 	353 	66 	108 	109 
003658 	353 	66 	108 	109 
003659 	353 	66 	108 	109 
003660 	353 	66 	108 	109 
003661 	353 	66 	108 	109 
003662 	353 	66 	108 	109 
003663 	353 	66 	108 	109 
003664 	353 	66 	108 	109 
003665 	363 	85 	91 	91 
003666 	353 	78 	108 	109 
003667 	353 	78 	108 	109 
003668 	363 	95 	91 	91 
003669 	363 	95 	91 	91 
003670 	363 	95 	91 	91 
003671 	363 	95 	91 	91 
003672 	353 	78 	108 	109 
003673 	363 	85 	91 	91 
003674 	363 	85 	91 	91 
003675 	363 	85 	91 	91 
003676 	363 	85 	91 	91 
003677 	363 	75 	91 	91 
003678 	363 	75 	91 	91 
003679 	353 	66 	108 	109 
003680 	363 	75 	91 	91 
003681 	363 	75 	91 	91 
003682 	363 	75 	91 	91 
003683 	353 	66 	108 	109 
003684 	353 	66 	108 	109 
003685 	353 	66 	108 	109 
003686 	353 	66 	108 	109 
003687 	353 	66 	108 	109 
003688 	373 	75 	91 	91 
003689 	373 	75 	91 	91 
003690 	373 	75 	91 	91 
003691 	373 	75 	91 	91 
003692 	365 	54 	108 	109 
003693 	365 	54 	108 	109 
003694 	365 	54 	108 	109 
003695 	373 	75 	91 	91 
003696 	365 	66 	108 	109 
003697 	365 	66 	108 	109 
003698 	365 	66 	108 	109 
003699 	365 	66 	108 	109 
003700 	365 	66 	108 	109 
003701 	365 	66 	108 	109 
003702 	365 	66 	108 	109 
003703 	365 	66 	108 	109 
003704 	365 	66 	108 	109 
003705 	365 	66 	108 	109 
003706 	365 	66 	108 	109 
003707 	365 	66 	108 	109 
003708 	365 	66 	108 	109 
003709 	373 	85 	91 	91 
003710 	373 	85 	91 	91 
003711 	373 	85 	91 	91 
003712 	373 	85 	91 	91 
003713 	373 	85 	91 	91 
003714 	373 	85 	91 	91 
003715 	373 	85 	91 	91 
003716 	373 	85 	91 	91 
003717 	353 	66 	108 	109 
003718 	353 	66 	108 	109 
003719 	353 	66 	108 	109 
003720 	353 	66 	108 	109 
003721 	353 	66 	108 	109 
003722 	363 	75 	91 	91 
003723 	363 	75 	91 	91 
003724 	363 	75 	91 	91 
003725 	341 	66 	108 	109 
003726 	341 	66 	108 	109 
003727 	341 	66 	108 	109 
003728 	341 	66 	108 	109 
003729 	363 	75 	91 	91 
003730 	353 	54 	108 	109 
003731 	363 	65 	91 	91 
003732 	363 	65 	91 	91 
003733 	353 	54 	108 	109 
003734 	353 	54 	108 	109 
003735 	373 	75 	91 	91 
003736 	373 	75 	91 	91 
003737 	373 	75 	91 	91 
003738 	365 	66 	108 	109 
003739 	365 	66 	108 	109 
003740 	365 	66 	108 	109 
003741 	365 	66 	108 	109 
003742 	365 	66 	108 	109 
003743 	383 	75 	91 	91 
003744 	383 	75 	91 	91 
003745 	383 	75 	91 	91 
003746 	383 	75 	91 	91 
003747 	383 	75 	91 	91 
003748 	383 	75 	91 	91 
003749 	383 	85 	91 	91 
003750 	383 	85 	91 	91 
003751 	383 	85 	91 	91 
003752 	383 	85 	91 	91 
003753 	383 	85 	91 	91 
003754 	365 	66 	108 	109 
003755 	365 	66 	108 	109 
003756 	373 	85 	91 	91 
003757 	373 	85 	91 	91 
003758 	373 	85 	91 	91 
003759 	365 	66 	108 	109 
003760 	373 	75 	91 	91 
003761 	373 	75 	91 	91 
003762 	373 	70 	91 	91 
003763 	373 	65 	91 	91 
003764 	373 	65 	91 	91 
003765 	373 	65 	91 	91 
003766 	373 	65 	91 	91 
003767 	373 	65 	91 	91 
003768 	373 	65 	91 	91 
003769 	373 	65 	91 	91 
003770 	365 	54 	108 	109 
003771 	373 	75 	91 	91 
003772 	373 	75 	91 	91 
003773 	353 	66 	108 	109 
003774 	353 	66 	108 	109 
003775 	365 	66 	108 	109 
003776 	365 	66 	108 	109 
003777 	365 	66 	108 	109 
003778 	365 	66 	108 	109 
003779 	383 	85 	91 	91 
003780 	383 	85 	91 	91 
003781 	376 	66 	109 	109 
003782 	376 	66 	109 	109 
003783 	376 	66 	109 	109 
003784 	376 	66 	109 	109 
003785 	376 	66 	109 	109 
003786 	383 	85 	91 	91 
003787 	376 	78 	109 	109 
003788 	376 	78 	109 	109 
003789 	383 	85 	91 	91 
003790 	383 	85 	91 	91 
003791 	383 	85 	91 	91 
003792 	383 	85 	91 	91 
003793 	383 	85 	91 	91 
003794 	383 	85 	91 	91 
003795 	383 	85 	91 	91 
003796 	383 	85 	91 	91 
003797 	383 	75 	91 	91 
003798 	383 	75 	91 	91 
003799 	383 	75 	91 	91 
003800 	383 	75 	91 	91 
003801 	383 	75 	91 	91 
003802 	383 	75 	91 	91 
003803 	383 	75 	91 	91 
003804 	383 	75 	91 	91 
003805 	383 	75 	91 	91 
003806 	383 	85 	91 	91 
003807 	383 	85 	91 	91 
003808 	383 	85 	91 	91 
003809 	383 	85 	91 	91 
003810 	365 	66 	108 	109 
003811 	365 	66 	108 	109 
003812 	365 	66 	108 	109 
003813 	365 	66 	108 	109 
003814 	365 	66 	108 	109 
003815 	365 	66 	108 	109 
003816 	365 	66 	108 	109 
003817 	365 	66 	108 	109 
003818 	373 	85 	91 	91 
003819 	373 	85 	91 	91 
003820 	373 	85 	91 	91 
003821 	373 	85 	91 	91 
003822 	373 	85 	91 	91 
003823 	373 	85 	91 	91 
003824 	373 	85 	91 	91 
003825 	373 	85 	91 	91 
003826 	373 	85 	91 	91 
003827 	363 	85 	91 	91 
003828 	363 	85 	91 	91 
003829 	363 	85 	91 	91 
003830 	353 	78 	108 	109 
003831 	363 	85 	91 	91 
003832 	353 	78 	108 	109 
003833 	353 	78 	108 	109 
003834 	363 	85 	91 	91 
003835 	353 	66 	108 	109 
003836 	353 	66 	108 	109 
