Identity  : 	id10309
Reference : 	rqaAm4bEsXc
Offset    : 	-1
FV Conf   : 	17.206
ASD Conf  : 	5.705

FRAME 	X 	Y 	W 	H 
001821 	174 	75 	91 	91 
001822 	174 	75 	91 	91 
001823 	174 	75 	91 	91 
001824 	174 	75 	91 	91 
001825 	174 	75 	91 	91 
001826 	173 	54 	109 	109 
001827 	174 	65 	91 	91 
001828 	174 	65 	91 	91 
001829 	174 	55 	91 	91 
001830 	174 	55 	91 	91 
001831 	161 	43 	109 	108 
001832 	161 	43 	109 	108 
001833 	161 	43 	109 	108 
001834 	161 	43 	109 	108 
001835 	164 	55 	91 	91 
001836 	164 	55 	91 	91 
001837 	150 	54 	108 	109 
001838 	150 	54 	108 	109 
001839 	154 	65 	91 	91 
001840 	154 	65 	91 	91 
001841 	144 	65 	91 	91 
001842 	144 	65 	91 	91 
001843 	144 	65 	91 	91 
001844 	144 	65 	91 	91 
001845 	144 	65 	91 	91 
001846 	144 	65 	91 	91 
001847 	144 	65 	91 	91 
001848 	144 	65 	91 	91 
001849 	144 	65 	91 	91 
001850 	144 	65 	91 	91 
001851 	134 	65 	91 	91 
001852 	134 	55 	91 	91 
001853 	124 	55 	91 	91 
001854 	124 	55 	91 	91 
001855 	124 	45 	91 	91 
001856 	114 	55 	91 	91 
001857 	114 	55 	91 	91 
001858 	114 	55 	91 	91 
001859 	114 	55 	91 	91 
001860 	114 	55 	91 	91 
001861 	114 	55 	91 	91 
001862 	114 	55 	91 	91 
001863 	114 	55 	91 	91 
001864 	114 	55 	91 	91 
001865 	114 	55 	91 	91 
001866 	114 	45 	91 	91 
001867 	114 	45 	91 	91 
001868 	114 	45 	91 	91 
001869 	114 	45 	91 	91 
001870 	124 	45 	91 	91 
001871 	134 	45 	91 	91 
001872 	134 	45 	91 	91 
001873 	134 	45 	91 	91 
001874 	134 	45 	91 	91 
001875 	134 	45 	91 	91 
001876 	134 	45 	91 	91 
001877 	134 	45 	91 	91 
001878 	134 	45 	91 	91 
001879 	134 	35 	91 	91 
001880 	134 	35 	91 	91 
001881 	134 	35 	91 	91 
001882 	134 	35 	91 	91 
001883 	144 	35 	91 	91 
001884 	144 	45 	91 	91 
001885 	144 	45 	91 	91 
001886 	154 	45 	91 	91 
001887 	154 	45 	91 	91 
001888 	154 	45 	91 	91 
001889 	154 	45 	91 	91 
001890 	154 	45 	91 	91 
001891 	154 	45 	91 	91 
001892 	154 	35 	91 	91 
001893 	154 	45 	91 	91 
001894 	154 	45 	91 	91 
001895 	154 	45 	91 	91 
001896 	154 	45 	91 	91 
001897 	154 	45 	91 	91 
001898 	154 	45 	91 	91 
001899 	154 	45 	91 	91 
001900 	154 	45 	91 	91 
001901 	154 	45 	91 	91 
001902 	154 	45 	91 	91 
001903 	154 	45 	91 	91 
001904 	154 	45 	91 	91 
001905 	154 	45 	91 	91 
001906 	154 	45 	91 	91 
001907 	154 	45 	91 	91 
001908 	150 	31 	108 	108 
001909 	154 	35 	91 	91 
001910 	154 	35 	91 	91 
001911 	154 	35 	91 	91 
001912 	154 	35 	91 	91 
001913 	154 	35 	91 	91 
001914 	154 	35 	91 	91 
001915 	154 	35 	91 	91 
001916 	154 	45 	91 	91 
001917 	154 	45 	91 	91 
001918 	154 	35 	91 	91 
001919 	154 	35 	91 	91 
001920 	154 	35 	91 	91 
001921 	154 	35 	91 	91 
001922 	154 	35 	91 	91 
001923 	154 	35 	91 	91 
001924 	154 	35 	91 	91 
001925 	154 	35 	91 	91 
001926 	154 	45 	91 	91 
001927 	154 	45 	91 	91 
