Identity  : 	id10309
Reference : 	rxnN8thYzEQ
Offset    : 	-1
FV Conf   : 	21.731
ASD Conf  : 	5.359

FRAME 	X 	Y 	W 	H 
017661 	170 	54 	75 	76 
017662 	170 	54 	75 	76 
017663 	170 	54 	75 	76 
017664 	170 	54 	75 	76 
017665 	164 	45 	91 	91 
017666 	170 	54 	75 	76 
017667 	170 	54 	75 	76 
017668 	170 	54 	75 	76 
017669 	170 	54 	75 	76 
017670 	170 	54 	75 	76 
017671 	170 	54 	75 	76 
017672 	170 	54 	75 	76 
017673 	170 	54 	75 	76 
017674 	170 	54 	75 	76 
017675 	170 	54 	75 	76 
017676 	170 	54 	75 	76 
017677 	170 	54 	75 	76 
017678 	170 	54 	75 	76 
017679 	170 	54 	75 	76 
017680 	170 	54 	75 	76 
017681 	170 	54 	75 	76 
017682 	170 	54 	75 	76 
017683 	170 	54 	75 	76 
017684 	170 	54 	75 	76 
017685 	170 	54 	75 	76 
017686 	170 	54 	75 	76 
017687 	170 	54 	75 	76 
017688 	170 	54 	75 	76 
017689 	170 	54 	75 	76 
017690 	170 	54 	75 	76 
017691 	170 	54 	75 	76 
017692 	162 	54 	75 	76 
017693 	170 	54 	75 	76 
017694 	162 	54 	75 	76 
017695 	162 	54 	75 	76 
017696 	162 	54 	75 	76 
017697 	162 	54 	75 	76 
017698 	162 	54 	75 	76 
017699 	162 	54 	75 	76 
017700 	162 	54 	75 	76 
017701 	162 	54 	75 	76 
017702 	162 	54 	75 	76 
017703 	162 	54 	75 	76 
017704 	162 	54 	75 	76 
017705 	162 	54 	75 	76 
017706 	162 	54 	75 	76 
017707 	162 	54 	75 	76 
017708 	162 	54 	75 	76 
017709 	162 	54 	75 	76 
017710 	162 	54 	75 	76 
017711 	162 	54 	75 	76 
017712 	162 	54 	75 	76 
017713 	162 	54 	75 	76 
017714 	162 	54 	75 	76 
017715 	162 	54 	75 	76 
017716 	162 	54 	75 	76 
017717 	162 	54 	75 	76 
017718 	162 	54 	75 	76 
017719 	162 	54 	75 	76 
017720 	162 	54 	75 	76 
017721 	162 	46 	75 	76 
017722 	162 	46 	75 	76 
017723 	162 	46 	75 	76 
017724 	162 	46 	75 	76 
017725 	162 	46 	75 	76 
017726 	162 	46 	75 	76 
017727 	162 	46 	75 	76 
017728 	162 	46 	75 	76 
017729 	162 	46 	75 	76 
017730 	162 	46 	75 	76 
017731 	162 	46 	75 	76 
017732 	154 	45 	91 	91 
017733 	162 	46 	75 	76 
017734 	154 	45 	91 	91 
017735 	154 	45 	91 	91 
017736 	154 	45 	91 	91 
017737 	154 	45 	91 	91 
017738 	154 	45 	91 	91 
017739 	154 	45 	91 	91 
017740 	154 	45 	91 	91 
017741 	154 	45 	91 	91 
017742 	144 	45 	91 	91 
017743 	144 	35 	91 	91 
017744 	144 	35 	91 	91 
017745 	144 	35 	91 	91 
017746 	144 	45 	91 	91 
017747 	144 	45 	91 	91 
017748 	144 	45 	91 	91 
017749 	144 	45 	91 	91 
017750 	144 	45 	91 	91 
017751 	144 	45 	91 	91 
017752 	144 	45 	91 	91 
017753 	144 	35 	91 	91 
017754 	144 	35 	91 	91 
