Identity  : 	id10309
Reference : 	vobW27_-JyQ
Offset    : 	-2
FV Conf   : 	16.471
ASD Conf  : 	7.723

FRAME 	X 	Y 	W 	H 
006466 	194 	55 	91 	91 
006467 	204 	55 	91 	91 
006468 	204 	55 	91 	91 
006469 	204 	55 	91 	91 
006470 	204 	55 	91 	91 
006471 	204 	55 	91 	91 
006472 	204 	55 	91 	91 
006473 	204 	55 	91 	91 
006474 	204 	55 	91 	91 
006475 	204 	55 	91 	91 
006476 	204 	55 	91 	91 
006477 	204 	55 	91 	91 
006478 	204 	55 	91 	91 
006479 	204 	55 	91 	91 
006480 	204 	55 	91 	91 
006481 	204 	55 	91 	91 
006482 	204 	55 	91 	91 
006483 	204 	55 	91 	91 
006484 	204 	55 	91 	91 
006485 	204 	55 	91 	91 
006486 	204 	55 	91 	91 
006487 	204 	65 	91 	91 
006488 	204 	65 	91 	91 
006489 	204 	65 	91 	91 
006490 	204 	65 	91 	91 
006491 	204 	65 	91 	91 
006492 	204 	65 	91 	91 
006493 	204 	65 	91 	91 
006494 	204 	65 	91 	91 
006495 	204 	65 	91 	91 
006496 	204 	65 	91 	91 
006497 	204 	65 	91 	91 
006498 	204 	65 	91 	91 
006499 	204 	65 	91 	91 
006500 	204 	65 	91 	91 
006501 	204 	65 	91 	91 
006502 	204 	65 	91 	91 
006503 	204 	65 	91 	91 
006504 	204 	65 	91 	91 
006505 	204 	65 	91 	91 
006506 	204 	65 	91 	91 
006507 	204 	65 	91 	91 
006508 	204 	65 	91 	91 
006509 	204 	65 	91 	91 
006510 	204 	65 	91 	91 
006511 	204 	65 	91 	91 
006512 	204 	75 	91 	91 
006513 	204 	75 	91 	91 
006514 	204 	65 	91 	91 
006515 	204 	65 	91 	91 
006516 	194 	65 	91 	91 
006517 	194 	65 	91 	91 
006518 	194 	65 	91 	91 
006519 	194 	65 	91 	91 
006520 	194 	65 	91 	91 
006521 	194 	65 	91 	91 
006522 	194 	75 	91 	91 
006523 	194 	75 	91 	91 
006524 	194 	75 	91 	91 
006525 	185 	66 	109 	109 
006526 	194 	85 	91 	91 
006527 	194 	85 	91 	91 
006528 	185 	78 	109 	109 
006529 	185 	78 	109 	109 
006530 	194 	95 	91 	91 
006531 	194 	95 	91 	91 
006532 	194 	95 	91 	91 
006533 	194 	95 	91 	91 
006534 	185 	90 	109 	109 
006535 	185 	90 	109 	109 
006536 	185 	90 	109 	109 
006537 	185 	90 	109 	109 
006538 	185 	90 	109 	109 
006539 	185 	90 	109 	109 
006540 	194 	95 	91 	91 
006541 	185 	90 	109 	109 
006542 	194 	95 	91 	91 
006543 	194 	95 	91 	91 
006544 	194 	95 	91 	91 
006545 	194 	95 	91 	91 
006546 	194 	95 	91 	91 
006547 	185 	78 	109 	109 
006548 	185 	78 	109 	109 
006549 	185 	78 	109 	109 
006550 	185 	78 	109 	109 
006551 	185 	78 	109 	109 
006552 	194 	85 	91 	91 
006553 	185 	66 	109 	109 
006554 	194 	75 	91 	91 
006555 	194 	75 	91 	91 
006556 	194 	65 	91 	91 
006557 	194 	65 	91 	91 
006558 	194 	65 	91 	91 
006559 	185 	54 	109 	109 
006560 	185 	54 	109 	109 
006561 	194 	55 	91 	91 
006562 	194 	55 	91 	91 
006563 	184 	55 	91 	91 
006564 	184 	55 	91 	91 
006565 	184 	55 	91 	91 
006566 	184 	65 	91 	91 
006567 	184 	65 	91 	91 
006568 	184 	65 	91 	91 
006569 	184 	65 	91 	91 
006570 	184 	65 	91 	91 
006571 	184 	65 	91 	91 
006572 	184 	65 	91 	91 
006573 	184 	65 	91 	91 
006574 	184 	75 	91 	91 
006575 	184 	75 	91 	91 
006576 	184 	75 	91 	91 
006577 	184 	75 	91 	91 
006578 	184 	85 	91 	91 
006579 	184 	85 	91 	91 
006580 	184 	85 	91 	91 
006581 	184 	85 	91 	91 
006582 	184 	85 	91 	91 
006583 	184 	85 	91 	91 
006584 	173 	66 	109 	109 
006585 	173 	66 	109 	109 
006586 	173 	66 	109 	109 
006587 	184 	75 	91 	91 
006588 	184 	75 	91 	91 
006589 	184 	75 	91 	91 
006590 	184 	75 	91 	91 
006591 	184 	75 	91 	91 
006592 	184 	75 	91 	91 
006593 	184 	75 	91 	91 
006594 	184 	75 	91 	91 
006595 	184 	75 	91 	91 
006596 	184 	75 	91 	91 
006597 	184 	75 	91 	91 
006598 	184 	75 	91 	91 
006599 	184 	75 	91 	91 
006600 	173 	66 	109 	109 
006601 	173 	66 	109 	109 
006602 	173 	66 	109 	109 
006603 	173 	66 	109 	109 
006604 	173 	66 	109 	109 
006605 	174 	75 	91 	91 
006606 	174 	75 	91 	91 
006607 	174 	75 	91 	91 
006608 	174 	75 	91 	91 
006609 	174 	75 	91 	91 
006610 	174 	75 	91 	91 
006611 	174 	75 	91 	91 
006612 	174 	75 	91 	91 
006613 	174 	75 	91 	91 
006614 	174 	75 	91 	91 
006615 	174 	75 	91 	91 
006616 	174 	75 	91 	91 
006617 	174 	75 	91 	91 
006618 	174 	75 	91 	91 
006619 	174 	75 	91 	91 
006620 	173 	66 	109 	109 
006621 	173 	66 	109 	109 
006622 	173 	66 	109 	109 
006623 	173 	66 	109 	109 
006624 	173 	66 	109 	109 
006625 	173 	66 	109 	109 
006626 	184 	75 	91 	91 
006627 	184 	75 	91 	91 
006628 	184 	75 	91 	91 
006629 	184 	75 	91 	91 
006630 	184 	75 	91 	91 
006631 	184 	75 	91 	91 
006632 	184 	75 	91 	91 
006633 	184 	75 	91 	91 
006634 	173 	66 	109 	109 
006635 	173 	66 	109 	109 
006636 	184 	75 	91 	91 
006637 	184 	75 	91 	91 
006638 	184 	75 	91 	91 
006639 	184 	75 	91 	91 
006640 	173 	66 	109 	109 
006641 	173 	66 	109 	109 
