Identity  : 	id10324
Reference : 	QqWuHAKpeeE
Offset    : 	-3
FV Conf   : 	16.138
ASD Conf  : 	6.270

FRAME 	X 	Y 	W 	H 
001686 	371 	96 	155 	156 
001687 	371 	96 	155 	156 
001688 	371 	96 	155 	156 
001689 	371 	96 	155 	156 
001690 	371 	96 	155 	156 
001691 	371 	96 	155 	156 
001692 	371 	96 	155 	156 
001693 	371 	96 	155 	156 
001694 	363 	74 	186 	187 
001695 	363 	74 	186 	187 
001696 	388 	96 	156 	156 
001697 	363 	95 	186 	186 
001698 	363 	95 	186 	186 
001699 	363 	95 	186 	186 
001700 	363 	95 	186 	186 
001701 	388 	113 	156 	156 
001702 	388 	113 	156 	156 
001703 	388 	113 	156 	156 
001704 	371 	96 	155 	156 
001705 	388 	113 	156 	156 
001706 	371 	96 	155 	156 
001707 	371 	96 	155 	156 
001708 	371 	96 	155 	156 
001709 	371 	96 	155 	156 
001710 	371 	96 	155 	156 
001711 	342 	95 	187 	186 
001712 	342 	95 	187 	186 
001713 	342 	95 	187 	186 
001714 	371 	113 	155 	156 
001715 	371 	113 	155 	156 
001716 	371 	113 	155 	156 
001717 	371 	113 	155 	156 
001718 	363 	95 	186 	186 
001719 	363 	95 	186 	186 
001720 	388 	113 	156 	156 
001721 	388 	113 	156 	156 
001722 	383 	95 	187 	186 
001723 	383 	95 	187 	186 
001724 	383 	95 	187 	186 
001725 	383 	95 	187 	186 
001726 	383 	95 	187 	186 
001727 	383 	95 	187 	186 
001728 	383 	95 	187 	186 
001729 	383 	95 	187 	186 
001730 	383 	115 	187 	187 
001731 	383 	115 	187 	187 
001732 	383 	115 	187 	187 
001733 	388 	130 	156 	156 
001734 	388 	130 	156 	156 
001735 	388 	130 	156 	156 
001736 	388 	130 	156 	156 
001737 	388 	130 	156 	156 
001738 	388 	130 	156 	156 
001739 	388 	130 	156 	156 
001740 	388 	130 	156 	156 
001741 	388 	130 	156 	156 
001742 	388 	130 	156 	156 
001743 	388 	130 	156 	156 
001744 	388 	130 	156 	156 
001745 	388 	130 	156 	156 
001746 	388 	130 	156 	156 
001747 	388 	130 	156 	156 
001748 	388 	130 	156 	156 
001749 	388 	130 	156 	156 
001750 	388 	130 	156 	156 
001751 	388 	130 	156 	156 
001752 	388 	130 	156 	156 
001753 	363 	115 	186 	187 
001754 	363 	115 	186 	187 
001755 	363 	115 	186 	187 
001756 	371 	130 	155 	156 
001757 	371 	130 	155 	156 
001758 	371 	130 	155 	156 
001759 	371 	130 	155 	156 
001760 	371 	130 	155 	156 
001761 	371 	113 	155 	156 
001762 	371 	113 	155 	156 
001763 	371 	113 	155 	156 
001764 	371 	113 	155 	156 
001765 	371 	113 	155 	156 
001766 	371 	113 	155 	156 
001767 	363 	95 	186 	186 
001768 	388 	113 	156 	156 
001769 	388 	113 	156 	156 
001770 	388 	113 	156 	156 
001771 	363 	115 	186 	187 
001772 	388 	113 	156 	156 
001773 	388 	113 	156 	156 
001774 	388 	113 	156 	156 
001775 	388 	113 	156 	156 
001776 	388 	113 	156 	156 
001777 	388 	113 	156 	156 
001778 	363 	95 	186 	186 
001779 	363 	95 	186 	186 
001780 	363 	95 	186 	186 
001781 	363 	95 	186 	186 
001782 	371 	113 	155 	156 
001783 	371 	113 	155 	156 
001784 	371 	130 	155 	156 
001785 	371 	130 	155 	156 
001786 	371 	130 	155 	156 
001787 	371 	130 	155 	156 
001788 	342 	115 	187 	187 
001789 	342 	115 	187 	187 
001790 	342 	95 	187 	186 
001791 	342 	115 	187 	187 
001792 	342 	115 	187 	187 
001793 	353 	130 	156 	156 
001794 	321 	115 	187 	187 
001795 	321 	115 	187 	187 
001796 	321 	115 	187 	187 
001797 	336 	113 	156 	156 
001798 	336 	113 	156 	156 
001799 	336 	113 	156 	156 
001800 	336 	113 	156 	156 
001801 	321 	95 	187 	186 
001802 	336 	113 	156 	156 
001803 	336 	113 	156 	156 
001804 	336 	113 	156 	156 
001805 	319 	113 	156 	156 
001806 	319 	113 	156 	156 
001807 	319 	113 	156 	156 
001808 	319 	113 	156 	156 
001809 	319 	113 	156 	156 
001810 	319 	113 	156 	156 
001811 	319 	113 	156 	156 
001812 	301 	95 	186 	186 
001813 	301 	95 	186 	186 
001814 	301 	95 	186 	186 
001815 	301 	95 	186 	186 
001816 	301 	95 	186 	186 
001817 	302 	113 	156 	156 
001818 	302 	113 	156 	156 
001819 	302 	96 	156 	156 
001820 	301 	95 	186 	186 
001821 	319 	96 	156 	156 
001822 	319 	96 	156 	156 
001823 	321 	95 	187 	186 
001824 	336 	113 	156 	156 
