Identity  : 	id10324
Reference : 	q68hf87novc
Offset    : 	-3
FV Conf   : 	14.107
ASD Conf  : 	6.307

FRAME 	X 	Y 	W 	H 
000373 	165 	51 	130 	130 
000374 	165 	51 	130 	130 
000375 	165 	51 	130 	130 
000376 	151 	51 	130 	130 
000377 	151 	51 	130 	130 
000378 	165 	37 	130 	130 
000379 	165 	37 	130 	130 
000380 	180 	37 	130 	130 
000381 	180 	37 	130 	130 
000382 	180 	37 	130 	130 
000383 	180 	37 	130 	130 
000384 	180 	51 	130 	130 
000385 	180 	51 	130 	130 
000386 	180 	51 	130 	130 
000387 	180 	51 	130 	130 
000388 	180 	51 	130 	130 
000389 	180 	51 	130 	130 
000390 	180 	51 	130 	130 
000391 	165 	51 	130 	130 
000392 	165 	51 	130 	130 
000393 	165 	51 	130 	130 
000394 	165 	51 	130 	130 
000395 	165 	51 	130 	130 
000396 	165 	51 	130 	130 
000397 	165 	51 	130 	130 
000398 	165 	51 	130 	130 
000399 	165 	51 	130 	130 
000400 	165 	51 	130 	130 
000401 	165 	51 	130 	130 
000402 	165 	51 	130 	130 
000403 	165 	51 	130 	130 
000404 	165 	51 	130 	130 
000405 	165 	51 	130 	130 
000406 	165 	51 	130 	130 
000407 	165 	51 	130 	130 
000408 	165 	51 	130 	130 
000409 	165 	51 	130 	130 
000410 	165 	51 	130 	130 
000411 	165 	51 	130 	130 
000412 	165 	51 	130 	130 
000413 	165 	51 	130 	130 
000414 	165 	51 	130 	130 
000415 	165 	51 	130 	130 
000416 	165 	51 	130 	130 
000417 	165 	51 	130 	130 
000418 	165 	51 	130 	130 
000419 	165 	51 	130 	130 
000420 	165 	51 	130 	130 
000421 	180 	51 	130 	130 
000422 	180 	51 	130 	130 
000423 	180 	51 	130 	130 
000424 	180 	51 	130 	130 
000425 	180 	51 	130 	130 
000426 	180 	51 	130 	130 
000427 	180 	51 	130 	130 
000428 	180 	51 	130 	130 
000429 	180 	51 	130 	130 
000430 	180 	51 	130 	130 
000431 	180 	51 	130 	130 
000432 	180 	51 	130 	130 
000433 	180 	51 	130 	130 
000434 	180 	51 	130 	130 
000435 	180 	51 	130 	130 
000436 	180 	51 	130 	130 
000437 	180 	37 	130 	130 
000438 	180 	37 	130 	130 
000439 	180 	37 	130 	130 
000440 	180 	37 	130 	130 
000441 	180 	37 	130 	130 
000442 	180 	37 	130 	130 
000443 	180 	37 	130 	130 
