Identity  : 	id10324
Reference : 	ys0-pLK_Ygs
Offset    : 	-2
FV Conf   : 	20.331
ASD Conf  : 	6.829

FRAME 	X 	Y 	W 	H 
001745 	114 	78 	108 	109 
001746 	114 	78 	108 	109 
001747 	114 	78 	108 	109 
001748 	124 	85 	91 	91 
001749 	124 	85 	91 	91 
001750 	124 	85 	91 	91 
001751 	124 	85 	91 	91 
001752 	124 	85 	91 	91 
001753 	124 	85 	91 	91 
001754 	124 	85 	91 	91 
001755 	124 	85 	91 	91 
001756 	114 	78 	108 	109 
001757 	114 	78 	108 	109 
001758 	124 	85 	91 	91 
001759 	124 	85 	91 	91 
001760 	124 	85 	91 	91 
001761 	114 	78 	108 	109 
001762 	124 	85 	91 	91 
001763 	124 	85 	91 	91 
001764 	114 	78 	108 	109 
001765 	124 	85 	91 	91 
001766 	124 	85 	91 	91 
001767 	124 	85 	91 	91 
001768 	124 	85 	91 	91 
001769 	124 	85 	91 	91 
001770 	114 	78 	108 	109 
001771 	114 	78 	108 	109 
001772 	124 	75 	91 	91 
001773 	126 	66 	108 	109 
001774 	126 	66 	108 	109 
001775 	134 	65 	91 	91 
001776 	134 	65 	91 	91 
001777 	126 	66 	108 	109 
001778 	144 	65 	91 	91 
001779 	126 	66 	108 	109 
001780 	126 	66 	108 	109 
001781 	144 	75 	91 	91 
001782 	144 	75 	91 	91 
001783 	126 	66 	108 	109 
001784 	126 	66 	108 	109 
001785 	134 	75 	91 	91 
001786 	126 	78 	108 	109 
001787 	126 	78 	108 	109 
001788 	126 	78 	108 	109 
001789 	126 	78 	108 	109 
001790 	126 	78 	108 	109 
001791 	126 	78 	108 	109 
001792 	126 	78 	108 	109 
001793 	126 	78 	108 	109 
001794 	126 	78 	108 	109 
001795 	126 	78 	108 	109 
001796 	144 	85 	91 	91 
001797 	144 	85 	91 	91 
001798 	144 	85 	91 	91 
001799 	144 	75 	91 	91 
001800 	144 	75 	91 	91 
001801 	144 	75 	91 	91 
001802 	138 	66 	108 	109 
001803 	138 	66 	108 	109 
001804 	138 	66 	108 	109 
001805 	154 	75 	91 	91 
001806 	154 	75 	91 	91 
001807 	154 	75 	91 	91 
001808 	154 	75 	91 	91 
001809 	154 	75 	91 	91 
001810 	154 	75 	91 	91 
001811 	154 	75 	91 	91 
001812 	154 	75 	91 	91 
001813 	154 	85 	91 	91 
001814 	154 	85 	91 	91 
001815 	154 	85 	91 	91 
001816 	154 	85 	91 	91 
001817 	154 	85 	91 	91 
001818 	154 	85 	91 	91 
001819 	154 	85 	91 	91 
001820 	150 	78 	108 	109 
001821 	150 	78 	108 	109 
001822 	150 	78 	108 	109 
001823 	150 	78 	108 	109 
001824 	150 	66 	108 	109 
001825 	150 	66 	108 	109 
001826 	154 	85 	91 	91 
001827 	154 	85 	91 	91 
001828 	154 	85 	91 	91 
001829 	154 	85 	91 	91 
001830 	154 	85 	91 	91 
001831 	154 	85 	91 	91 
001832 	154 	85 	91 	91 
001833 	154 	85 	91 	91 
001834 	154 	85 	91 	91 
001835 	154 	85 	91 	91 
001836 	154 	85 	91 	91 
001837 	154 	85 	91 	91 
001838 	154 	85 	91 	91 
001839 	154 	85 	91 	91 
001840 	154 	85 	91 	91 
001841 	154 	85 	91 	91 
001842 	154 	85 	91 	91 
001843 	154 	85 	91 	91 
001844 	154 	85 	91 	91 
001845 	154 	85 	91 	91 
001846 	154 	85 	91 	91 
001847 	154 	85 	91 	91 
001848 	154 	85 	91 	91 
001849 	154 	85 	91 	91 
001850 	138 	78 	108 	109 
001851 	138 	78 	108 	109 
001852 	138 	78 	108 	109 
001853 	138 	78 	108 	109 
001854 	138 	78 	108 	109 
001855 	138 	78 	108 	109 
001856 	138 	78 	108 	109 
001857 	138 	78 	108 	109 
001858 	138 	78 	108 	109 
001859 	138 	78 	108 	109 
