Identity  : 	id10352
Reference : 	47enE06uMLU
Offset    : 	-3
FV Conf   : 	22.544
ASD Conf  : 	6.438

FRAME 	X 	Y 	W 	H 
010180 	329 	54 	108 	109 
010181 	329 	54 	108 	109 
010182 	329 	54 	108 	109 
010183 	329 	54 	108 	109 
010184 	329 	54 	108 	109 
010185 	329 	54 	108 	109 
010186 	329 	54 	108 	109 
010187 	329 	54 	108 	109 
010188 	329 	54 	108 	109 
010189 	329 	54 	108 	109 
010190 	329 	54 	108 	109 
010191 	309 	51 	130 	130 
010192 	309 	51 	130 	130 
010193 	309 	51 	130 	130 
010194 	329 	66 	108 	109 
010195 	329 	66 	108 	109 
010196 	329 	66 	108 	109 
010197 	329 	66 	108 	109 
010198 	329 	54 	108 	109 
010199 	323 	51 	130 	130 
010200 	329 	54 	108 	109 
010201 	329 	54 	108 	109 
010202 	309 	51 	130 	130 
010203 	309 	51 	130 	130 
010204 	309 	51 	130 	130 
010205 	309 	51 	130 	130 
010206 	309 	51 	130 	130 
010207 	309 	51 	130 	130 
010208 	309 	51 	130 	130 
010209 	309 	51 	130 	130 
010210 	317 	54 	108 	109 
010211 	309 	51 	130 	130 
010212 	309 	51 	130 	130 
010213 	294 	37 	130 	130 
010214 	294 	37 	130 	130 
010215 	305 	54 	108 	109 
010216 	294 	51 	130 	130 
010217 	294 	51 	130 	130 
010218 	280 	51 	130 	130 
010219 	280 	51 	130 	130 
010220 	280 	51 	130 	130 
010221 	280 	51 	130 	130 
010222 	280 	51 	130 	130 
010223 	280 	51 	130 	130 
010224 	280 	51 	130 	130 
010225 	280 	51 	130 	130 
010226 	280 	51 	130 	130 
010227 	280 	51 	130 	130 
010228 	280 	51 	130 	130 
010229 	280 	51 	130 	130 
010230 	280 	51 	130 	130 
010231 	305 	78 	108 	109 
010232 	294 	66 	130 	130 
010233 	294 	66 	130 	130 
010234 	294 	66 	130 	130 
010235 	294 	66 	130 	130 
010236 	294 	66 	130 	130 
010237 	294 	66 	130 	130 
010238 	294 	66 	130 	130 
010239 	294 	66 	130 	130 
010240 	294 	66 	130 	130 
010241 	294 	66 	130 	130 
010242 	305 	66 	108 	109 
010243 	294 	66 	130 	130 
010244 	294 	66 	130 	130 
010245 	280 	51 	130 	130 
010246 	280 	51 	130 	130 
010247 	305 	66 	108 	109 
010248 	305 	66 	108 	109 
010249 	294 	66 	130 	130 
010250 	305 	66 	108 	109 
010251 	305 	66 	108 	109 
010252 	305 	66 	108 	109 
010253 	305 	66 	108 	109 
010254 	294 	51 	130 	130 
010255 	294 	51 	130 	130 
010256 	294 	51 	130 	130 
010257 	305 	66 	108 	109 
010258 	305 	66 	108 	109 
010259 	305 	66 	108 	109 
010260 	305 	66 	108 	109 
010261 	305 	66 	108 	109 
010262 	280 	51 	130 	130 
010263 	305 	66 	108 	109 
010264 	305 	54 	108 	109 
010265 	305 	54 	108 	109 
010266 	305 	54 	108 	109 
010267 	305 	54 	108 	109 
010268 	305 	54 	108 	109 
010269 	305 	66 	108 	109 
010270 	305 	66 	108 	109 
010271 	305 	66 	108 	109 
010272 	305 	66 	108 	109 
010273 	280 	51 	130 	130 
010274 	280 	51 	130 	130 
010275 	280 	51 	130 	130 
010276 	294 	66 	130 	130 
010277 	280 	51 	130 	130 
010278 	294 	66 	130 	130 
010279 	280 	51 	130 	130 
010280 	280 	51 	130 	130 
010281 	294 	66 	130 	130 
010282 	294 	66 	130 	130 
010283 	305 	66 	108 	109 
010284 	294 	51 	130 	130 
010285 	294 	51 	130 	130 
010286 	294 	51 	130 	130 
010287 	305 	54 	108 	109 
010288 	280 	51 	130 	130 
010289 	293 	54 	108 	109 
010290 	293 	54 	108 	109 
010291 	293 	66 	108 	109 
010292 	281 	66 	108 	109 
010293 	281 	66 	108 	109 
010294 	281 	66 	108 	109 
010295 	281 	66 	108 	109 
