Identity  : 	id10352
Reference : 	m0pirbsgB-c
Offset    : 	-1
FV Conf   : 	31.487
ASD Conf  : 	6.193

FRAME 	X 	Y 	W 	H 
061036 	344 	54 	76 	76 
061037 	344 	54 	76 	76 
061038 	344 	54 	76 	76 
061039 	344 	54 	76 	76 
061040 	344 	54 	76 	76 
061041 	344 	54 	76 	76 
061042 	344 	54 	76 	76 
061043 	344 	54 	76 	76 
061044 	344 	54 	76 	76 
061045 	344 	54 	76 	76 
061046 	344 	54 	76 	76 
061047 	344 	46 	76 	76 
061048 	344 	46 	76 	76 
061049 	344 	46 	76 	76 
061050 	344 	46 	76 	76 
061051 	344 	46 	76 	76 
061052 	344 	46 	76 	76 
061053 	344 	46 	76 	76 
061054 	344 	46 	76 	76 
061055 	344 	46 	76 	76 
061056 	344 	46 	76 	76 
061057 	344 	46 	76 	76 
061058 	344 	46 	76 	76 
061059 	344 	46 	76 	76 
061060 	344 	46 	76 	76 
061061 	344 	46 	76 	76 
061062 	352 	46 	76 	76 
061063 	352 	46 	76 	76 
061064 	352 	46 	76 	76 
061065 	352 	46 	76 	76 
061066 	362 	52 	64 	63 
061067 	362 	52 	64 	63 
061068 	361 	46 	75 	76 
061069 	361 	46 	75 	76 
061070 	361 	46 	75 	76 
061071 	369 	52 	64 	63 
061072 	369 	46 	76 	76 
061073 	369 	46 	76 	76 
061074 	369 	46 	76 	76 
061075 	369 	46 	76 	76 
061076 	369 	46 	76 	76 
061077 	369 	46 	76 	76 
061078 	369 	46 	76 	76 
061079 	369 	46 	76 	76 
061080 	369 	46 	76 	76 
061081 	369 	46 	76 	76 
061082 	361 	46 	75 	76 
061083 	361 	46 	75 	76 
061084 	361 	46 	75 	76 
061085 	361 	54 	75 	76 
061086 	362 	52 	64 	63 
061087 	362 	52 	64 	63 
061088 	352 	46 	76 	76 
061089 	352 	46 	76 	76 
061090 	352 	46 	76 	76 
061091 	352 	46 	76 	76 
061092 	352 	46 	76 	76 
061093 	352 	46 	76 	76 
061094 	362 	52 	64 	63 
061095 	362 	52 	64 	63 
061096 	362 	52 	64 	63 
061097 	362 	52 	64 	63 
061098 	362 	52 	64 	63 
061099 	361 	54 	75 	76 
061100 	361 	54 	75 	76 
061101 	361 	54 	75 	76 
061102 	361 	54 	75 	76 
061103 	369 	54 	76 	76 
061104 	369 	54 	76 	76 
061105 	369 	54 	76 	76 
061106 	369 	54 	76 	76 
061107 	369 	54 	76 	76 
061108 	369 	54 	76 	76 
061109 	369 	54 	76 	76 
061110 	369 	54 	76 	76 
061111 	369 	54 	76 	76 
061112 	369 	54 	76 	76 
061113 	369 	54 	76 	76 
061114 	369 	54 	76 	76 
061115 	369 	54 	76 	76 
061116 	369 	54 	76 	76 
061117 	369 	54 	76 	76 
061118 	361 	54 	75 	76 
061119 	361 	54 	75 	76 
061120 	361 	54 	75 	76 
061121 	361 	54 	75 	76 
061122 	361 	54 	75 	76 
061123 	361 	54 	75 	76 
061124 	361 	54 	75 	76 
061125 	361 	54 	75 	76 
061126 	361 	54 	75 	76 
061127 	361 	54 	75 	76 
061128 	361 	54 	75 	76 
061129 	362 	52 	64 	63 
061130 	362 	52 	64 	63 
061131 	361 	46 	75 	76 
061132 	361 	46 	75 	76 
061133 	361 	46 	75 	76 
061134 	369 	46 	76 	76 
061135 	369 	46 	76 	76 
061136 	369 	46 	76 	76 
061137 	369 	54 	76 	76 
061138 	369 	54 	76 	76 
061139 	369 	54 	76 	76 
061140 	369 	54 	76 	76 
061141 	369 	54 	76 	76 
061142 	369 	62 	76 	76 
061143 	369 	62 	76 	76 
061144 	369 	62 	76 	76 
061145 	376 	73 	64 	63 
061146 	369 	71 	76 	75 
061147 	369 	71 	76 	75 
061148 	377 	71 	76 	75 
061149 	377 	71 	76 	75 
061150 	377 	71 	76 	75 
061151 	377 	71 	76 	75 
061152 	377 	71 	76 	75 
061153 	377 	62 	76 	76 
061154 	377 	62 	76 	76 
061155 	377 	62 	76 	76 
061156 	377 	62 	76 	76 
061157 	377 	62 	76 	76 
061158 	377 	62 	76 	76 
061159 	377 	62 	76 	76 
061160 	377 	62 	76 	76 
061161 	377 	62 	76 	76 
061162 	369 	62 	76 	76 
