Identity  : 	id10369
Reference : 	6POKNa7L3uM
Offset    : 	0
FV Conf   : 	14.544
ASD Conf  : 	7.743

FRAME 	X 	Y 	W 	H 
001740 	262 	39 	224 	224 
001741 	262 	39 	224 	224 
001742 	262 	39 	224 	224 
001743 	262 	39 	224 	224 
001744 	262 	39 	224 	224 
001745 	262 	39 	224 	224 
001746 	262 	39 	224 	224 
001747 	262 	39 	224 	224 
001748 	262 	39 	224 	224 
001749 	262 	39 	224 	224 
001750 	262 	39 	224 	224 
001751 	262 	39 	224 	224 
001752 	262 	39 	224 	224 
001753 	262 	39 	224 	224 
001754 	262 	39 	224 	224 
001755 	262 	39 	224 	224 
001756 	262 	39 	224 	224 
001757 	262 	39 	224 	224 
001758 	262 	39 	224 	224 
001759 	262 	39 	224 	224 
001760 	262 	39 	224 	224 
001761 	280 	74 	187 	187 
001762 	301 	74 	186 	187 
001763 	301 	74 	186 	187 
001764 	301 	74 	186 	187 
001765 	301 	74 	186 	187 
001766 	301 	74 	186 	187 
001767 	301 	74 	186 	187 
001768 	301 	74 	186 	187 
001769 	301 	74 	186 	187 
001770 	301 	74 	186 	187 
001771 	301 	74 	186 	187 
001772 	301 	74 	186 	187 
001773 	301 	95 	186 	186 
001774 	262 	64 	224 	224 
001775 	280 	95 	187 	186 
001776 	280 	95 	187 	186 
001777 	280 	95 	187 	186 
001778 	280 	95 	187 	186 
001779 	280 	95 	187 	186 
001780 	280 	95 	187 	186 
001781 	280 	95 	187 	186 
001782 	280 	95 	187 	186 
001783 	280 	95 	187 	186 
001784 	280 	95 	187 	186 
001785 	280 	95 	187 	186 
001786 	301 	95 	186 	186 
001787 	301 	95 	186 	186 
001788 	301 	95 	186 	186 
001789 	301 	95 	186 	186 
001790 	301 	95 	186 	186 
001791 	301 	95 	186 	186 
001792 	301 	95 	186 	186 
001793 	301 	95 	186 	186 
001794 	301 	95 	186 	186 
001795 	301 	95 	186 	186 
001796 	301 	95 	186 	186 
001797 	301 	95 	186 	186 
001798 	287 	64 	224 	224 
001799 	287 	64 	224 	224 
001800 	321 	95 	187 	186 
001801 	321 	95 	187 	186 
001802 	321 	95 	187 	186 
001803 	321 	95 	187 	186 
001804 	321 	95 	187 	186 
001805 	321 	95 	187 	186 
001806 	287 	64 	224 	224 
001807 	287 	64 	224 	224 
001808 	287 	64 	224 	224 
001809 	287 	64 	224 	224 
001810 	287 	64 	224 	224 
001811 	301 	95 	186 	186 
001812 	301 	95 	186 	186 
001813 	301 	95 	186 	186 
001814 	262 	64 	224 	224 
001815 	262 	64 	224 	224 
001816 	280 	95 	187 	186 
001817 	280 	95 	187 	186 
001818 	280 	95 	187 	186 
001819 	262 	64 	224 	224 
001820 	262 	64 	224 	224 
001821 	280 	95 	187 	186 
001822 	280 	95 	187 	186 
001823 	280 	95 	187 	186 
001824 	280 	95 	187 	186 
001825 	280 	95 	187 	186 
001826 	280 	74 	187 	187 
001827 	280 	74 	187 	187 
001828 	280 	74 	187 	187 
001829 	280 	74 	187 	187 
001830 	280 	74 	187 	187 
001831 	280 	74 	187 	187 
001832 	280 	74 	187 	187 
001833 	280 	74 	187 	187 
001834 	280 	74 	187 	187 
001835 	280 	74 	187 	187 
001836 	280 	74 	187 	187 
001837 	280 	74 	187 	187 
001838 	262 	39 	224 	224 
001839 	262 	39 	224 	224 
001840 	301 	74 	186 	187 
001841 	301 	74 	186 	187 
001842 	301 	74 	186 	187 
001843 	301 	74 	186 	187 
001844 	301 	74 	186 	187 
001845 	301 	95 	186 	186 
001846 	301 	95 	186 	186 
001847 	301 	95 	186 	186 
001848 	302 	96 	156 	156 
001849 	302 	96 	156 	156 
001850 	302 	96 	156 	156 
001851 	262 	64 	224 	224 
001852 	280 	95 	187 	186 
001853 	262 	64 	224 	224 
001854 	262 	64 	224 	224 
001855 	262 	64 	224 	224 
001856 	280 	74 	187 	187 
001857 	280 	74 	187 	187 
001858 	280 	74 	187 	187 
001859 	280 	74 	187 	187 
001860 	280 	74 	187 	187 
001861 	262 	39 	224 	224 
001862 	262 	39 	224 	224 
001863 	262 	39 	224 	224 
001864 	262 	39 	224 	224 
001865 	262 	39 	224 	224 
001866 	262 	39 	224 	224 
001867 	262 	64 	224 	224 
001868 	262 	64 	224 	224 
001869 	262 	64 	224 	224 
001870 	262 	64 	224 	224 
001871 	262 	64 	224 	224 
001872 	262 	64 	224 	224 
001873 	262 	64 	224 	224 
001874 	262 	64 	224 	224 
001875 	262 	64 	224 	224 
001876 	262 	64 	224 	224 
001877 	262 	64 	224 	224 
001878 	262 	64 	224 	224 
001879 	262 	64 	224 	224 
001880 	262 	64 	224 	224 
001881 	262 	64 	224 	224 
001882 	262 	64 	224 	224 
001883 	262 	64 	224 	224 
001884 	262 	64 	224 	224 
001885 	262 	64 	224 	224 
001886 	262 	64 	224 	224 
001887 	262 	64 	224 	224 
001888 	262 	64 	224 	224 
001889 	262 	64 	224 	224 
001890 	262 	64 	224 	224 
001891 	280 	95 	187 	186 
001892 	280 	95 	187 	186 
001893 	262 	64 	224 	224 
001894 	280 	95 	187 	186 
001895 	280 	95 	187 	186 
001896 	280 	95 	187 	186 
001897 	285 	96 	155 	156 
001898 	280 	74 	187 	187 
001899 	280 	74 	187 	187 
001900 	280 	74 	187 	187 
001901 	280 	74 	187 	187 
001902 	280 	74 	187 	187 
001903 	280 	74 	187 	187 
001904 	262 	39 	224 	224 
001905 	285 	79 	155 	156 
001906 	262 	39 	224 	224 
001907 	262 	39 	224 	224 
001908 	262 	39 	224 	224 
001909 	262 	39 	224 	224 
001910 	280 	74 	187 	187 
001911 	280 	74 	187 	187 
001912 	280 	95 	187 	186 
001913 	280 	95 	187 	186 
001914 	280 	95 	187 	186 
001915 	280 	95 	187 	186 
001916 	280 	95 	187 	186 
001917 	280 	95 	187 	186 
001918 	280 	95 	187 	186 
001919 	280 	95 	187 	186 
001920 	280 	74 	187 	187 
001921 	280 	74 	187 	187 
001922 	280 	74 	187 	187 
001923 	301 	74 	186 	187 
001924 	301 	74 	186 	187 
001925 	301 	74 	186 	187 
001926 	301 	74 	186 	187 
001927 	319 	79 	156 	156 
001928 	301 	74 	186 	187 
001929 	301 	74 	186 	187 
001930 	301 	74 	186 	187 
001931 	301 	74 	186 	187 
001932 	301 	74 	186 	187 
001933 	301 	95 	186 	186 
001934 	301 	95 	186 	186 
001935 	301 	95 	186 	186 
001936 	301 	95 	186 	186 
001937 	301 	95 	186 	186 
001938 	301 	95 	186 	186 
001939 	301 	95 	186 	186 
001940 	301 	95 	186 	186 
001941 	301 	95 	186 	186 
001942 	287 	64 	224 	224 
001943 	301 	95 	186 	186 
001944 	301 	95 	186 	186 
001945 	301 	95 	186 	186 
001946 	301 	95 	186 	186 
001947 	301 	95 	186 	186 
001948 	301 	95 	186 	186 
001949 	301 	95 	186 	186 
001950 	301 	95 	186 	186 
001951 	301 	95 	186 	186 
001952 	302 	96 	156 	156 
001953 	301 	74 	186 	187 
001954 	301 	74 	186 	187 
001955 	301 	74 	186 	187 
001956 	301 	74 	186 	187 
