Identity  : 	id10369
Reference : 	kXa_udMniS8
Offset    : 	1
FV Conf   : 	20.065
ASD Conf  : 	7.414

FRAME 	X 	Y 	W 	H 
001400 	147 	62 	156 	155 
001401 	147 	62 	156 	155 
001402 	135 	53 	187 	187 
001403 	164 	79 	156 	156 
001404 	135 	53 	187 	187 
001405 	135 	53 	187 	187 
001406 	147 	79 	156 	156 
001407 	147 	79 	156 	156 
001408 	147 	79 	156 	156 
001409 	147 	79 	156 	156 
001410 	147 	79 	156 	156 
001411 	147 	79 	156 	156 
001412 	147 	79 	156 	156 
001413 	164 	79 	156 	156 
001414 	164 	79 	156 	156 
001415 	164 	79 	156 	156 
001416 	164 	79 	156 	156 
001417 	164 	79 	156 	156 
001418 	164 	79 	156 	156 
001419 	164 	79 	156 	156 
001420 	164 	79 	156 	156 
001421 	164 	79 	156 	156 
001422 	164 	79 	156 	156 
001423 	164 	79 	156 	156 
001424 	147 	79 	156 	156 
001425 	147 	79 	156 	156 
001426 	147 	79 	156 	156 
001427 	147 	79 	156 	156 
001428 	147 	79 	156 	156 
001429 	164 	79 	156 	156 
001430 	164 	79 	156 	156 
001431 	164 	79 	156 	156 
001432 	164 	79 	156 	156 
001433 	147 	79 	156 	156 
001434 	147 	79 	156 	156 
001435 	147 	79 	156 	156 
001436 	147 	79 	156 	156 
001437 	147 	79 	156 	156 
001438 	135 	74 	187 	187 
001439 	164 	79 	156 	156 
001440 	164 	79 	156 	156 
001441 	164 	79 	156 	156 
001442 	164 	79 	156 	156 
001443 	164 	79 	156 	156 
001444 	135 	74 	187 	187 
001445 	147 	96 	156 	156 
001446 	147 	96 	156 	156 
001447 	164 	96 	156 	156 
001448 	164 	96 	156 	156 
001449 	164 	96 	156 	156 
001450 	164 	96 	156 	156 
001451 	164 	96 	156 	156 
001452 	164 	96 	156 	156 
001453 	164 	96 	156 	156 
001454 	164 	96 	156 	156 
001455 	164 	96 	156 	156 
001456 	164 	96 	156 	156 
001457 	164 	96 	156 	156 
001458 	164 	96 	156 	156 
001459 	164 	96 	156 	156 
001460 	164 	96 	156 	156 
001461 	164 	96 	156 	156 
001462 	164 	96 	156 	156 
001463 	164 	96 	156 	156 
001464 	164 	96 	156 	156 
001465 	164 	96 	156 	156 
001466 	164 	96 	156 	156 
001467 	164 	96 	156 	156 
001468 	164 	96 	156 	156 
001469 	164 	96 	156 	156 
001470 	164 	96 	156 	156 
001471 	164 	96 	156 	156 
001472 	156 	74 	187 	187 
001473 	156 	74 	187 	187 
001474 	180 	94 	130 	130 
001475 	164 	79 	156 	156 
001476 	164 	79 	156 	156 
001477 	164 	79 	156 	156 
001478 	164 	79 	156 	156 
001479 	164 	79 	156 	156 
001480 	164 	79 	156 	156 
001481 	164 	62 	156 	155 
001482 	164 	62 	156 	155 
001483 	164 	62 	156 	155 
001484 	147 	62 	156 	155 
001485 	147 	62 	156 	155 
001486 	147 	62 	156 	155 
001487 	147 	62 	156 	155 
001488 	147 	62 	156 	155 
001489 	147 	62 	156 	155 
001490 	147 	62 	156 	155 
001491 	147 	79 	156 	156 
001492 	147 	79 	156 	156 
001493 	147 	79 	156 	156 
001494 	164 	79 	156 	156 
001495 	164 	79 	156 	156 
001496 	135 	74 	187 	187 
001497 	135 	74 	187 	187 
001498 	135 	74 	187 	187 
001499 	147 	96 	156 	156 
001500 	135 	74 	187 	187 
001501 	135 	74 	187 	187 
001502 	135 	74 	187 	187 
001503 	135 	74 	187 	187 
001504 	147 	96 	156 	156 
001505 	147 	96 	156 	156 
001506 	147 	96 	156 	156 
001507 	147 	96 	156 	156 
001508 	147 	96 	156 	156 
001509 	147 	96 	156 	156 
001510 	147 	96 	156 	156 
001511 	147 	96 	156 	156 
001512 	147 	79 	156 	156 
001513 	147 	79 	156 	156 
001514 	147 	79 	156 	156 
