Identity  : 	id10376
Reference : 	R9MnSbVgqjs
Offset    : 	0
FV Conf   : 	18.632
ASD Conf  : 	6.789

FRAME 	X 	Y 	W 	H 
002325 	383 	55 	91 	91 
002326 	383 	55 	91 	91 
002327 	383 	55 	91 	91 
002328 	383 	55 	91 	91 
002329 	383 	55 	91 	91 
002330 	383 	55 	91 	91 
002331 	383 	55 	91 	91 
002332 	383 	55 	91 	91 
002333 	383 	55 	91 	91 
002334 	383 	55 	91 	91 
002335 	383 	55 	91 	91 
002336 	383 	55 	91 	91 
002337 	383 	55 	91 	91 
002338 	383 	55 	91 	91 
002339 	383 	55 	91 	91 
002340 	383 	55 	91 	91 
002341 	383 	55 	91 	91 
002342 	383 	55 	91 	91 
002343 	383 	55 	91 	91 
002344 	383 	55 	91 	91 
002345 	383 	55 	91 	91 
002346 	383 	55 	91 	91 
002347 	383 	55 	91 	91 
002348 	383 	55 	91 	91 
002349 	383 	55 	91 	91 
002350 	383 	55 	91 	91 
002351 	383 	55 	91 	91 
002352 	383 	55 	91 	91 
002353 	383 	55 	91 	91 
002354 	383 	55 	91 	91 
002355 	383 	55 	91 	91 
002356 	383 	55 	91 	91 
002357 	383 	55 	91 	91 
002358 	383 	55 	91 	91 
002359 	383 	55 	91 	91 
002360 	383 	55 	91 	91 
002361 	383 	55 	91 	91 
002362 	383 	55 	91 	91 
002363 	383 	55 	91 	91 
002364 	383 	55 	91 	91 
002365 	383 	55 	91 	91 
002366 	383 	55 	91 	91 
002367 	383 	55 	91 	91 
002368 	383 	55 	91 	91 
002369 	383 	55 	91 	91 
002370 	383 	55 	91 	91 
002371 	383 	55 	91 	91 
002372 	383 	55 	91 	91 
002373 	383 	55 	91 	91 
002374 	383 	55 	91 	91 
002375 	383 	55 	91 	91 
002376 	383 	55 	91 	91 
002377 	383 	55 	91 	91 
002378 	383 	55 	91 	91 
002379 	383 	55 	91 	91 
002380 	383 	55 	91 	91 
002381 	383 	55 	91 	91 
002382 	383 	55 	91 	91 
002383 	383 	55 	91 	91 
002384 	383 	55 	91 	91 
002385 	383 	55 	91 	91 
002386 	383 	55 	91 	91 
002387 	383 	55 	91 	91 
002388 	383 	55 	91 	91 
002389 	383 	55 	91 	91 
002390 	383 	55 	91 	91 
002391 	383 	55 	91 	91 
002392 	383 	55 	91 	91 
002393 	383 	55 	91 	91 
002394 	383 	55 	91 	91 
002395 	383 	55 	91 	91 
002396 	383 	55 	91 	91 
002397 	383 	55 	91 	91 
002398 	383 	55 	91 	91 
002399 	383 	55 	91 	91 
002400 	383 	55 	91 	91 
002401 	383 	55 	91 	91 
002402 	383 	55 	91 	91 
002403 	383 	55 	91 	91 
002404 	383 	55 	91 	91 
002405 	383 	55 	91 	91 
002406 	383 	55 	91 	91 
002407 	383 	55 	91 	91 
002408 	383 	55 	91 	91 
002409 	383 	55 	91 	91 
002410 	383 	55 	91 	91 
002411 	383 	55 	91 	91 
002412 	383 	55 	91 	91 
002413 	383 	55 	91 	91 
002414 	383 	55 	91 	91 
002415 	383 	55 	91 	91 
002416 	383 	55 	91 	91 
002417 	383 	55 	91 	91 
002418 	383 	55 	91 	91 
002419 	383 	55 	91 	91 
002420 	383 	55 	91 	91 
002421 	383 	55 	91 	91 
002422 	383 	55 	91 	91 
002423 	383 	55 	91 	91 
002424 	383 	55 	91 	91 
002425 	383 	55 	91 	91 
002426 	383 	55 	91 	91 
002427 	383 	55 	91 	91 
002428 	383 	55 	91 	91 
002429 	383 	55 	91 	91 
002430 	383 	55 	91 	91 
002431 	383 	55 	91 	91 
002432 	383 	55 	91 	91 
002433 	383 	55 	91 	91 
002434 	383 	55 	91 	91 
002435 	383 	55 	91 	91 
002436 	383 	55 	91 	91 
002437 	383 	55 	91 	91 
002438 	383 	55 	91 	91 
002439 	383 	55 	91 	91 
002440 	383 	55 	91 	91 
002441 	383 	55 	91 	91 
002442 	383 	55 	91 	91 
002443 	383 	55 	91 	91 
002444 	383 	55 	91 	91 
002445 	383 	55 	91 	91 
002446 	383 	55 	91 	91 
002447 	383 	55 	91 	91 
002448 	383 	55 	91 	91 
002449 	383 	55 	91 	91 
002450 	383 	55 	91 	91 
002451 	383 	55 	91 	91 
002452 	383 	55 	91 	91 
002453 	383 	55 	91 	91 
002454 	383 	55 	91 	91 
002455 	383 	55 	91 	91 
