Identity  : 	id10376
Reference : 	hwtznlwVgkg
Offset    : 	-2
FV Conf   : 	28.086
ASD Conf  : 	7.941

FRAME 	X 	Y 	W 	H 
007117 	435 	87 	76 	76 
007118 	435 	87 	76 	76 
007119 	435 	87 	76 	76 
007120 	435 	87 	76 	76 
007121 	435 	87 	76 	76 
007122 	435 	87 	76 	76 
007123 	435 	87 	76 	76 
007124 	435 	87 	76 	76 
007125 	435 	87 	76 	76 
007126 	435 	87 	76 	76 
007127 	435 	87 	76 	76 
007128 	435 	87 	76 	76 
007129 	435 	87 	76 	76 
007130 	435 	87 	76 	76 
007131 	435 	87 	76 	76 
007132 	435 	87 	76 	76 
007133 	435 	87 	76 	76 
007134 	435 	87 	76 	76 
007135 	435 	87 	76 	76 
007136 	435 	87 	76 	76 
007137 	435 	96 	76 	75 
007138 	435 	96 	76 	75 
007139 	435 	96 	76 	75 
007140 	435 	96 	76 	75 
007141 	435 	96 	76 	75 
007142 	435 	96 	76 	75 
007143 	435 	96 	76 	75 
007144 	435 	96 	76 	75 
007145 	433 	85 	91 	91 
007146 	433 	85 	91 	91 
007147 	423 	85 	91 	91 
007148 	435 	87 	76 	76 
007149 	435 	87 	76 	76 
007150 	435 	96 	76 	75 
007151 	435 	96 	76 	75 
007152 	435 	96 	76 	75 
007153 	435 	96 	76 	75 
007154 	435 	96 	76 	75 
007155 	435 	96 	76 	75 
007156 	435 	96 	76 	75 
007157 	435 	96 	76 	75 
007158 	435 	96 	76 	75 
007159 	435 	96 	76 	75 
007160 	435 	96 	76 	75 
007161 	435 	96 	76 	75 
007162 	435 	96 	76 	75 
007163 	435 	96 	76 	75 
007164 	435 	96 	76 	75 
007165 	435 	96 	76 	75 
007166 	435 	96 	76 	75 
007167 	435 	96 	76 	75 
007168 	435 	96 	76 	75 
007169 	435 	96 	76 	75 
007170 	435 	96 	76 	75 
007171 	435 	96 	76 	75 
007172 	435 	96 	76 	75 
007173 	435 	96 	76 	75 
007174 	435 	96 	76 	75 
007175 	435 	96 	76 	75 
007176 	435 	96 	76 	75 
007177 	435 	96 	76 	75 
007178 	435 	96 	76 	75 
007179 	435 	96 	76 	75 
007180 	435 	96 	76 	75 
007181 	435 	96 	76 	75 
007182 	435 	96 	76 	75 
007183 	435 	96 	76 	75 
007184 	435 	96 	76 	75 
007185 	435 	96 	76 	75 
007186 	435 	96 	76 	75 
007187 	435 	96 	76 	75 
007188 	423 	85 	91 	91 
007189 	423 	85 	91 	91 
007190 	423 	85 	91 	91 
007191 	423 	85 	91 	91 
007192 	427 	96 	76 	75 
007193 	427 	96 	76 	75 
007194 	427 	96 	76 	75 
007195 	427 	96 	76 	75 
007196 	413 	85 	91 	91 
007197 	413 	85 	91 	91 
007198 	413 	85 	91 	91 
007199 	419 	96 	75 	75 
007200 	419 	96 	75 	75 
007201 	403 	85 	91 	91 
007202 	403 	85 	91 	91 
007203 	403 	85 	91 	91 
007204 	410 	96 	76 	75 
007205 	403 	95 	91 	91 
007206 	403 	95 	91 	91 
007207 	403 	95 	91 	91 
007208 	403 	95 	91 	91 
007209 	403 	95 	91 	91 
007210 	403 	95 	91 	91 
007211 	403 	95 	91 	91 
007212 	419 	104 	75 	76 
007213 	419 	104 	75 	76 
007214 	413 	85 	91 	91 
007215 	413 	85 	91 	91 
007216 	413 	85 	91 	91 
007217 	427 	96 	76 	75 
007218 	427 	96 	76 	75 
007219 	413 	85 	91 	91 
007220 	427 	96 	76 	75 
007221 	413 	85 	91 	91 
007222 	427 	96 	76 	75 
007223 	427 	96 	76 	75 
007224 	427 	96 	76 	75 
007225 	427 	96 	76 	75 
007226 	427 	96 	76 	75 
007227 	427 	96 	76 	75 
007228 	427 	96 	76 	75 
007229 	427 	96 	76 	75 
007230 	413 	85 	91 	91 
007231 	413 	85 	91 	91 
007232 	413 	85 	91 	91 
007233 	413 	85 	91 	91 
007234 	413 	85 	91 	91 
007235 	427 	96 	76 	75 
007236 	427 	96 	76 	75 
007237 	427 	96 	76 	75 
007238 	427 	96 	76 	75 
007239 	427 	96 	76 	75 
007240 	427 	96 	76 	75 
007241 	427 	96 	76 	75 
007242 	427 	96 	76 	75 
007243 	427 	96 	76 	75 
007244 	427 	96 	76 	75 
007245 	427 	96 	76 	75 
007246 	427 	96 	76 	75 
007247 	427 	96 	76 	75 
007248 	423 	85 	91 	91 
007249 	423 	85 	91 	91 
007250 	423 	85 	91 	91 
007251 	435 	96 	76 	75 
007252 	435 	96 	76 	75 
007253 	423 	85 	91 	91 
007254 	435 	96 	76 	75 
007255 	435 	96 	76 	75 
007256 	435 	96 	76 	75 
007257 	433 	85 	91 	91 
007258 	433 	85 	91 	91 
007259 	433 	85 	91 	91 
007260 	433 	85 	91 	91 
007261 	433 	85 	91 	91 
007262 	433 	85 	91 	91 
007263 	433 	85 	91 	91 
007264 	435 	87 	76 	76 
007265 	435 	87 	76 	76 
007266 	435 	87 	76 	76 
007267 	435 	87 	76 	76 
007268 	435 	87 	76 	76 
007269 	435 	87 	76 	76 
007270 	423 	85 	91 	91 
007271 	423 	85 	91 	91 
007272 	423 	85 	91 	91 
007273 	435 	87 	76 	76 
007274 	435 	87 	76 	76 
007275 	423 	85 	91 	91 
007276 	423 	85 	91 	91 
007277 	423 	85 	91 	91 
007278 	423 	85 	91 	91 
007279 	423 	85 	91 	91 
007280 	423 	85 	91 	91 
007281 	423 	85 	91 	91 
007282 	423 	85 	91 	91 
007283 	423 	85 	91 	91 
007284 	427 	87 	76 	76 
007285 	427 	87 	76 	76 
007286 	427 	87 	76 	76 
007287 	427 	87 	76 	76 
007288 	427 	87 	76 	76 
007289 	427 	87 	76 	76 
007290 	427 	87 	76 	76 
007291 	427 	87 	76 	76 
007292 	427 	87 	76 	76 
007293 	427 	87 	76 	76 
007294 	427 	87 	76 	76 
007295 	427 	87 	76 	76 
007296 	427 	87 	76 	76 
007297 	419 	87 	75 	76 
007298 	419 	87 	75 	76 
007299 	419 	87 	75 	76 
007300 	413 	85 	91 	91 
007301 	413 	85 	91 	91 
007302 	413 	85 	91 	91 
007303 	419 	96 	75 	75 
007304 	419 	96 	75 	75 
007305 	419 	96 	75 	75 
007306 	419 	96 	75 	75 
007307 	419 	96 	75 	75 
007308 	419 	96 	75 	75 
007309 	413 	85 	91 	91 
007310 	413 	85 	91 	91 
007311 	419 	96 	75 	75 
007312 	419 	96 	75 	75 
007313 	419 	96 	75 	75 
007314 	419 	96 	75 	75 
007315 	419 	87 	75 	76 
007316 	419 	87 	75 	76 
007317 	419 	87 	75 	76 
007318 	419 	87 	75 	76 
007319 	419 	96 	75 	75 
007320 	419 	96 	75 	75 
007321 	419 	96 	75 	75 
007322 	419 	96 	75 	75 
007323 	419 	96 	75 	75 
007324 	419 	96 	75 	75 
007325 	419 	96 	75 	75 
007326 	419 	96 	75 	75 
007327 	419 	96 	75 	75 
007328 	419 	96 	75 	75 
007329 	419 	96 	75 	75 
007330 	419 	96 	75 	75 
007331 	419 	96 	75 	75 
007332 	410 	96 	76 	75 
007333 	410 	96 	76 	75 
007334 	410 	96 	76 	75 
007335 	410 	96 	76 	75 
007336 	410 	96 	76 	75 
007337 	410 	96 	76 	75 
007338 	410 	96 	76 	75 
007339 	403 	85 	91 	91 
007340 	410 	87 	76 	76 
007341 	403 	85 	91 	91 
007342 	410 	96 	76 	75 
007343 	410 	96 	76 	75 
007344 	419 	96 	75 	75 
