Identity  : 	id10381
Reference : 	1O5YJIGl1X4
Offset    : 	0
FV Conf   : 	13.534
ASD Conf  : 	7.029

FRAME 	X 	Y 	W 	H 
033926 	294 	87 	76 	76 
033927 	294 	87 	76 	76 
033928 	294 	87 	76 	76 
033929 	294 	87 	76 	76 
033930 	294 	87 	76 	76 
033931 	294 	87 	76 	76 
033932 	294 	87 	76 	76 
033933 	294 	87 	76 	76 
033934 	294 	87 	76 	76 
033935 	294 	87 	76 	76 
033936 	294 	87 	76 	76 
033937 	294 	87 	76 	76 
033938 	286 	87 	76 	76 
033939 	278 	87 	75 	76 
033940 	269 	96 	76 	75 
033941 	261 	96 	76 	75 
033942 	253 	87 	75 	76 
033943 	244 	87 	76 	76 
033944 	244 	87 	76 	76 
033945 	234 	75 	90 	91 
033946 	236 	87 	76 	76 
033947 	236 	87 	76 	76 
033948 	236 	87 	76 	76 
033949 	236 	87 	76 	76 
033950 	236 	87 	76 	76 
033951 	236 	87 	76 	76 
033952 	236 	87 	76 	76 
033953 	236 	87 	76 	76 
033954 	236 	87 	76 	76 
033955 	236 	87 	76 	76 
033956 	236 	87 	76 	76 
033957 	236 	87 	76 	76 
033958 	236 	87 	76 	76 
033959 	244 	87 	76 	76 
033960 	244 	87 	76 	76 
033961 	244 	87 	76 	76 
033962 	244 	87 	76 	76 
033963 	244 	87 	76 	76 
033964 	244 	87 	76 	76 
033965 	253 	96 	75 	75 
033966 	253 	96 	75 	75 
033967 	261 	96 	76 	75 
033968 	261 	96 	76 	75 
033969 	269 	96 	76 	75 
033970 	269 	96 	76 	75 
033971 	278 	87 	75 	76 
033972 	278 	87 	75 	76 
033973 	278 	87 	75 	76 
033974 	286 	87 	76 	76 
033975 	286 	87 	76 	76 
033976 	286 	87 	76 	76 
033977 	294 	87 	76 	76 
033978 	294 	87 	76 	76 
033979 	303 	87 	75 	76 
033980 	303 	87 	75 	76 
033981 	303 	87 	75 	76 
033982 	303 	87 	75 	76 
033983 	303 	87 	75 	76 
033984 	303 	87 	75 	76 
033985 	303 	87 	75 	76 
033986 	303 	87 	75 	76 
033987 	294 	87 	76 	76 
033988 	286 	87 	76 	76 
