Identity  : 	id10381
Reference : 	3K_Wgn7jj8k
Offset    : 	-3
FV Conf   : 	13.155
ASD Conf  : 	10.236

FRAME 	X 	Y 	W 	H 
003280 	161 	54 	109 	109 
003281 	161 	54 	109 	109 
003282 	161 	54 	109 	109 
003283 	161 	54 	109 	109 
003284 	161 	54 	109 	109 
003285 	161 	54 	109 	109 
003286 	161 	54 	109 	109 
003287 	173 	54 	109 	109 
003288 	173 	54 	109 	109 
003289 	173 	54 	109 	109 
003290 	173 	54 	109 	109 
003291 	173 	54 	109 	109 
003292 	173 	54 	109 	109 
003293 	173 	54 	109 	109 
003294 	173 	54 	109 	109 
003295 	173 	54 	109 	109 
003296 	173 	54 	109 	109 
003297 	173 	54 	109 	109 
003298 	173 	54 	109 	109 
003299 	173 	54 	109 	109 
003300 	174 	65 	91 	91 
003301 	174 	65 	91 	91 
003302 	161 	54 	109 	109 
003303 	161 	54 	109 	109 
003304 	161 	54 	109 	109 
003305 	174 	65 	91 	91 
003306 	174 	65 	91 	91 
003307 	174 	65 	91 	91 
003308 	174 	65 	91 	91 
003309 	174 	65 	91 	91 
003310 	173 	54 	109 	109 
003311 	173 	54 	109 	109 
003312 	173 	54 	109 	109 
003313 	173 	54 	109 	109 
003314 	173 	54 	109 	109 
003315 	173 	54 	109 	109 
003316 	173 	54 	109 	109 
003317 	173 	54 	109 	109 
003318 	173 	54 	109 	109 
003319 	173 	54 	109 	109 
003320 	173 	54 	109 	109 
003321 	173 	54 	109 	109 
003322 	173 	54 	109 	109 
003323 	173 	54 	109 	109 
003324 	173 	54 	109 	109 
003325 	173 	54 	109 	109 
003326 	173 	54 	109 	109 
003327 	173 	54 	109 	109 
003328 	173 	54 	109 	109 
003329 	173 	54 	109 	109 
003330 	173 	54 	109 	109 
003331 	173 	54 	109 	109 
003332 	173 	54 	109 	109 
003333 	173 	54 	109 	109 
003334 	173 	54 	109 	109 
003335 	173 	54 	109 	109 
003336 	173 	54 	109 	109 
003337 	173 	54 	109 	109 
003338 	173 	54 	109 	109 
003339 	173 	54 	109 	109 
003340 	173 	54 	109 	109 
003341 	173 	54 	109 	109 
003342 	173 	54 	109 	109 
003343 	173 	54 	109 	109 
003344 	173 	54 	109 	109 
003345 	184 	65 	91 	91 
003346 	184 	65 	91 	91 
003347 	184 	65 	91 	91 
003348 	184 	65 	91 	91 
003349 	184 	65 	91 	91 
003350 	184 	65 	91 	91 
003351 	173 	54 	109 	109 
003352 	173 	54 	109 	109 
003353 	173 	54 	109 	109 
003354 	173 	54 	109 	109 
003355 	173 	54 	109 	109 
003356 	173 	54 	109 	109 
003357 	173 	54 	109 	109 
003358 	173 	54 	109 	109 
003359 	173 	54 	109 	109 
003360 	173 	54 	109 	109 
003361 	173 	54 	109 	109 
003362 	173 	54 	109 	109 
003363 	173 	54 	109 	109 
003364 	173 	54 	109 	109 
003365 	173 	54 	109 	109 
003366 	173 	54 	109 	109 
003367 	173 	54 	109 	109 
003368 	173 	54 	109 	109 
003369 	173 	54 	109 	109 
003370 	184 	75 	91 	91 
003371 	184 	75 	91 	91 
003372 	184 	75 	91 	91 
003373 	184 	65 	91 	91 
003374 	173 	54 	109 	109 
003375 	173 	54 	109 	109 
003376 	173 	54 	109 	109 
003377 	173 	54 	109 	109 
003378 	173 	54 	109 	109 
003379 	173 	54 	109 	109 
003380 	173 	54 	109 	109 
003381 	173 	54 	109 	109 
003382 	173 	54 	109 	109 
003383 	173 	54 	109 	109 
003384 	173 	54 	109 	109 
003385 	173 	54 	109 	109 
003386 	173 	54 	109 	109 
003387 	173 	54 	109 	109 
003388 	173 	54 	109 	109 
