Identity  : 	id10389
Reference : 	dHsmTR_gpP8
Offset    : 	0
FV Conf   : 	16.157
ASD Conf  : 	7.213

FRAME 	X 	Y 	W 	H 
004370 	180 	80 	130 	130 
004371 	185 	90 	109 	109 
004372 	165 	80 	130 	130 
004373 	173 	90 	109 	109 
004374 	173 	90 	109 	109 
004375 	173 	90 	109 	109 
004376 	173 	90 	109 	109 
004377 	185 	78 	109 	109 
004378 	185 	78 	109 	109 
004379 	185 	78 	109 	109 
004380 	185 	78 	109 	109 
004381 	165 	80 	130 	130 
004382 	165 	80 	130 	130 
004383 	165 	80 	130 	130 
004384 	185 	90 	109 	109 
004385 	185 	90 	109 	109 
004386 	185 	102 	109 	109 
004387 	185 	102 	109 	109 
004388 	185 	102 	109 	109 
004389 	185 	102 	109 	109 
004390 	185 	102 	109 	109 
004391 	185 	102 	109 	109 
004392 	185 	102 	109 	109 
004393 	185 	102 	109 	109 
004394 	185 	102 	109 	109 
004395 	185 	102 	109 	109 
004396 	185 	102 	109 	109 
004397 	185 	102 	109 	109 
004398 	185 	102 	109 	109 
004399 	185 	102 	109 	109 
004400 	185 	102 	109 	109 
004401 	173 	102 	109 	109 
004402 	173 	102 	109 	109 
004403 	173 	102 	109 	109 
004404 	173 	102 	109 	109 
004405 	173 	102 	109 	109 
004406 	173 	102 	109 	109 
004407 	173 	102 	109 	109 
004408 	173 	102 	109 	109 
004409 	173 	102 	109 	109 
004410 	173 	102 	109 	109 
004411 	173 	102 	109 	109 
004412 	173 	102 	109 	109 
004413 	173 	102 	109 	109 
004414 	173 	102 	109 	109 
004415 	173 	102 	109 	109 
004416 	173 	102 	109 	109 
004417 	173 	102 	109 	109 
004418 	173 	102 	109 	109 
004419 	173 	102 	109 	109 
004420 	173 	102 	109 	109 
004421 	173 	90 	109 	109 
004422 	161 	90 	109 	109 
004423 	161 	90 	109 	109 
004424 	161 	90 	109 	109 
004425 	161 	90 	109 	109 
004426 	161 	90 	109 	109 
004427 	161 	90 	109 	109 
004428 	161 	90 	109 	109 
004429 	161 	90 	109 	109 
004430 	161 	90 	109 	109 
004431 	161 	90 	109 	109 
004432 	161 	90 	109 	109 
004433 	161 	90 	109 	109 
004434 	161 	90 	109 	109 
004435 	161 	90 	109 	109 
004436 	161 	90 	109 	109 
004437 	161 	90 	109 	109 
004438 	161 	90 	109 	109 
004439 	161 	90 	109 	109 
004440 	161 	90 	109 	109 
004441 	161 	90 	109 	109 
004442 	161 	102 	109 	109 
004443 	161 	102 	109 	109 
004444 	161 	90 	109 	109 
004445 	161 	90 	109 	109 
004446 	161 	90 	109 	109 
004447 	161 	102 	109 	109 
004448 	161 	102 	109 	109 
004449 	161 	102 	109 	109 
004450 	161 	102 	109 	109 
004451 	161 	102 	109 	109 
004452 	161 	102 	109 	109 
004453 	161 	102 	109 	109 
004454 	161 	102 	109 	109 
004455 	161 	102 	109 	109 
004456 	161 	102 	109 	109 
004457 	173 	90 	109 	109 
004458 	173 	90 	109 	109 
004459 	173 	90 	109 	109 
004460 	173 	90 	109 	109 
004461 	173 	90 	109 	109 
004462 	185 	90 	109 	109 
004463 	185 	90 	109 	109 
004464 	185 	90 	109 	109 
004465 	165 	80 	130 	130 
004466 	165 	80 	130 	130 
004467 	165 	80 	130 	130 
004468 	165 	80 	130 	130 
004469 	185 	78 	109 	109 
004470 	185 	78 	109 	109 
004471 	185 	78 	109 	109 
