Identity  : 	id10389
Reference : 	oUnwhvqbdN4
Offset    : 	-1
FV Conf   : 	22.268
ASD Conf  : 	7.277

FRAME 	X 	Y 	W 	H 
007151 	264 	75 	90 	91 
007152 	264 	65 	90 	91 
007153 	264 	65 	90 	91 
007154 	264 	65 	90 	91 
007155 	264 	65 	90 	91 
007156 	264 	75 	90 	91 
007157 	264 	75 	90 	91 
007158 	264 	75 	90 	91 
007159 	264 	75 	90 	91 
007160 	264 	75 	90 	91 
007161 	264 	75 	90 	91 
007162 	264 	75 	90 	91 
007163 	264 	75 	90 	91 
007164 	264 	75 	90 	91 
007165 	264 	75 	90 	91 
007166 	264 	75 	90 	91 
007167 	278 	79 	75 	76 
007168 	274 	75 	90 	91 
007169 	274 	75 	90 	91 
007170 	274 	75 	90 	91 
007171 	274 	75 	90 	91 
007172 	278 	79 	75 	76 
007173 	278 	79 	75 	76 
007174 	274 	75 	90 	91 
007175 	274 	75 	90 	91 
007176 	274 	75 	90 	91 
007177 	274 	75 	90 	91 
007178 	274 	75 	90 	91 
007179 	278 	79 	75 	76 
007180 	278 	79 	75 	76 
007181 	278 	79 	75 	76 
007182 	264 	75 	90 	91 
007183 	264 	75 	90 	91 
007184 	264 	75 	90 	91 
007185 	264 	75 	90 	91 
007186 	264 	75 	90 	91 
007187 	264 	75 	90 	91 
007188 	264 	75 	90 	91 
007189 	264 	75 	90 	91 
007190 	264 	75 	90 	91 
007191 	264 	75 	90 	91 
007192 	264 	75 	90 	91 
007193 	264 	75 	90 	91 
007194 	264 	75 	90 	91 
007195 	264 	75 	90 	91 
007196 	264 	75 	90 	91 
007197 	264 	75 	90 	91 
007198 	264 	75 	90 	91 
007199 	264 	75 	90 	91 
007200 	264 	75 	90 	91 
007201 	264 	75 	90 	91 
007202 	264 	75 	90 	91 
007203 	264 	75 	90 	91 
007204 	264 	75 	90 	91 
007205 	264 	75 	90 	91 
007206 	264 	75 	90 	91 
007207 	264 	75 	90 	91 
007208 	264 	75 	90 	91 
007209 	264 	75 	90 	91 
007210 	264 	75 	90 	91 
007211 	264 	75 	90 	91 
007212 	264 	75 	90 	91 
007213 	264 	75 	90 	91 
007214 	264 	75 	90 	91 
007215 	264 	75 	90 	91 
007216 	264 	65 	90 	91 
007217 	264 	65 	90 	91 
007218 	264 	65 	90 	91 
007219 	264 	65 	90 	91 
007220 	264 	65 	90 	91 
007221 	264 	65 	90 	91 
007222 	264 	65 	90 	91 
007223 	264 	65 	90 	91 
007224 	264 	65 	90 	91 
007225 	278 	71 	75 	75 
007226 	274 	65 	90 	91 
007227 	274 	65 	90 	91 
007228 	274 	65 	90 	91 
007229 	274 	65 	90 	91 
007230 	274 	65 	90 	91 
007231 	274 	65 	90 	91 
007232 	274 	75 	90 	91 
007233 	274 	75 	90 	91 
007234 	274 	75 	90 	91 
007235 	278 	79 	75 	76 
007236 	264 	75 	90 	91 
007237 	264 	75 	90 	91 
007238 	264 	75 	90 	91 
007239 	264 	75 	90 	91 
007240 	264 	75 	90 	91 
007241 	264 	75 	90 	91 
007242 	264 	75 	90 	91 
007243 	264 	75 	90 	91 
007244 	264 	75 	90 	91 
007245 	264 	75 	90 	91 
007246 	264 	75 	90 	91 
007247 	264 	75 	90 	91 
007248 	264 	75 	90 	91 
007249 	264 	65 	90 	91 
007250 	264 	65 	90 	91 
007251 	264 	65 	90 	91 
007252 	264 	65 	90 	91 
007253 	264 	65 	90 	91 
007254 	264 	75 	90 	91 
007255 	264 	75 	90 	91 
007256 	264 	75 	90 	91 
007257 	264 	75 	90 	91 
007258 	264 	65 	90 	91 
007259 	264 	65 	90 	91 
007260 	264 	65 	90 	91 
007261 	264 	65 	90 	91 
007262 	264 	65 	90 	91 
007263 	264 	65 	90 	91 
007264 	264 	65 	90 	91 
007265 	264 	65 	90 	91 
007266 	264 	65 	90 	91 
007267 	264 	65 	90 	91 
007268 	274 	65 	90 	91 
007269 	274 	65 	90 	91 
007270 	274 	65 	90 	91 
007271 	274 	65 	90 	91 
007272 	274 	65 	90 	91 
007273 	274 	65 	90 	91 
007274 	274 	65 	90 	91 
007275 	274 	65 	90 	91 
007276 	274 	65 	90 	91 
007277 	274 	65 	90 	91 
007278 	274 	65 	90 	91 
007279 	284 	65 	90 	91 
007280 	284 	65 	90 	91 
007281 	284 	65 	90 	91 
007282 	284 	65 	90 	91 
007283 	284 	65 	90 	91 
007284 	284 	65 	90 	91 
007285 	284 	65 	90 	91 
007286 	284 	65 	90 	91 
007287 	284 	65 	90 	91 
007288 	286 	71 	76 	75 
007289 	274 	65 	90 	91 
007290 	274 	65 	90 	91 
007291 	274 	65 	90 	91 
007292 	274 	65 	90 	91 
007293 	274 	65 	90 	91 
007294 	274 	65 	90 	91 
007295 	274 	65 	90 	91 
007296 	274 	65 	90 	91 
007297 	274 	65 	90 	91 
007298 	274 	65 	90 	91 
007299 	274 	65 	90 	91 
007300 	274 	65 	90 	91 
007301 	274 	65 	90 	91 
007302 	274 	65 	90 	91 
007303 	274 	65 	90 	91 
007304 	274 	65 	90 	91 
007305 	274 	65 	90 	91 
007306 	274 	65 	90 	91 
007307 	274 	65 	90 	91 
007308 	274 	65 	90 	91 
007309 	274 	65 	90 	91 
007310 	274 	65 	90 	91 
007311 	274 	65 	90 	91 
007312 	274 	65 	90 	91 
007313 	274 	65 	90 	91 
007314 	274 	65 	90 	91 
007315 	274 	65 	90 	91 
007316 	274 	65 	90 	91 
007317 	286 	71 	76 	75 
007318 	274 	65 	90 	91 
007319 	274 	75 	90 	91 
007320 	274 	75 	90 	91 
007321 	274 	75 	90 	91 
007322 	278 	71 	75 	75 
007323 	278 	71 	75 	75 
007324 	278 	71 	75 	75 
007325 	278 	71 	75 	75 
007326 	274 	65 	90 	91 
007327 	274 	75 	90 	91 
007328 	274 	75 	90 	91 
007329 	274 	75 	90 	91 
007330 	274 	75 	90 	91 
007331 	274 	75 	90 	91 
007332 	274 	75 	90 	91 
007333 	274 	75 	90 	91 
007334 	274 	75 	90 	91 
007335 	274 	75 	90 	91 
007336 	274 	75 	90 	91 
007337 	284 	75 	90 	91 
007338 	286 	87 	76 	76 
007339 	286 	87 	76 	76 
007340 	286 	87 	76 	76 
