Identity  : 	id10392
Reference : 	fxKYMNTaECA
Offset    : 	-3
FV Conf   : 	19.886
ASD Conf  : 	7.495

FRAME 	X 	Y 	W 	H 
000139 	294 	80 	130 	130 
000140 	294 	80 	130 	130 
000141 	294 	80 	130 	130 
000142 	294 	80 	130 	130 
000143 	294 	80 	130 	130 
000144 	294 	80 	130 	130 
000145 	294 	80 	130 	130 
000146 	294 	80 	130 	130 
000147 	294 	80 	130 	130 
000148 	294 	80 	130 	130 
000149 	294 	80 	130 	130 
000150 	294 	80 	130 	130 
000151 	294 	80 	130 	130 
000152 	294 	80 	130 	130 
000153 	294 	80 	130 	130 
000154 	294 	80 	130 	130 
000155 	294 	80 	130 	130 
000156 	294 	80 	130 	130 
000157 	294 	80 	130 	130 
000158 	294 	80 	130 	130 
000159 	294 	80 	130 	130 
000160 	294 	80 	130 	130 
000161 	294 	80 	130 	130 
000162 	294 	80 	130 	130 
000163 	305 	78 	108 	109 
000164 	294 	66 	130 	130 
000165 	294 	66 	130 	130 
000166 	305 	78 	108 	109 
000167 	305 	78 	108 	109 
000168 	305 	78 	108 	109 
000169 	294 	66 	130 	130 
000170 	305 	78 	108 	109 
000171 	294 	66 	130 	130 
000172 	294 	66 	130 	130 
000173 	294 	66 	130 	130 
000174 	294 	66 	130 	130 
000175 	294 	66 	130 	130 
000176 	294 	66 	130 	130 
000177 	294 	66 	130 	130 
000178 	294 	66 	130 	130 
000179 	294 	51 	130 	130 
000180 	294 	51 	130 	130 
000181 	294 	51 	130 	130 
000182 	294 	66 	130 	130 
000183 	294 	66 	130 	130 
000184 	294 	66 	130 	130 
000185 	294 	66 	130 	130 
000186 	294 	66 	130 	130 
000187 	294 	66 	130 	130 
000188 	294 	66 	130 	130 
000189 	305 	66 	108 	109 
000190 	294 	51 	130 	130 
000191 	294 	66 	130 	130 
000192 	294 	66 	130 	130 
000193 	294 	66 	130 	130 
000194 	294 	66 	130 	130 
000195 	294 	66 	130 	130 
000196 	294 	66 	130 	130 
000197 	294 	66 	130 	130 
000198 	294 	66 	130 	130 
000199 	294 	66 	130 	130 
000200 	294 	66 	130 	130 
000201 	294 	51 	130 	130 
000202 	294 	51 	130 	130 
000203 	294 	51 	130 	130 
000204 	294 	51 	130 	130 
000205 	294 	51 	130 	130 
000206 	294 	51 	130 	130 
000207 	305 	66 	108 	109 
000208 	305 	66 	108 	109 
000209 	305 	66 	108 	109 
000210 	294 	66 	130 	130 
000211 	294 	66 	130 	130 
000212 	294 	66 	130 	130 
000213 	294 	66 	130 	130 
000214 	294 	66 	130 	130 
000215 	294 	66 	130 	130 
000216 	294 	66 	130 	130 
000217 	294 	66 	130 	130 
000218 	294 	66 	130 	130 
000219 	294 	66 	130 	130 
000220 	294 	66 	130 	130 
000221 	294 	66 	130 	130 
000222 	294 	66 	130 	130 
000223 	294 	66 	130 	130 
000224 	294 	66 	130 	130 
000225 	294 	66 	130 	130 
000226 	294 	66 	130 	130 
000227 	294 	66 	130 	130 
000228 	294 	66 	130 	130 
000229 	294 	66 	130 	130 
000230 	294 	66 	130 	130 
000231 	294 	66 	130 	130 
000232 	294 	66 	130 	130 
000233 	294 	66 	130 	130 
000234 	294 	66 	130 	130 
000235 	294 	66 	130 	130 
000236 	294 	66 	130 	130 
000237 	294 	66 	130 	130 
000238 	294 	66 	130 	130 
000239 	294 	66 	130 	130 
000240 	294 	66 	130 	130 
000241 	294 	66 	130 	130 
000242 	294 	66 	130 	130 
000243 	294 	66 	130 	130 
000244 	294 	66 	130 	130 
000245 	294 	66 	130 	130 
000246 	294 	66 	130 	130 
000247 	294 	66 	130 	130 
000248 	294 	66 	130 	130 
000249 	294 	66 	130 	130 
000250 	294 	66 	130 	130 
000251 	294 	66 	130 	130 
000252 	280 	51 	130 	130 
000253 	280 	51 	130 	130 
000254 	280 	51 	130 	130 
000255 	280 	51 	130 	130 
000256 	280 	51 	130 	130 
000257 	280 	51 	130 	130 
000258 	280 	51 	130 	130 
000259 	280 	51 	130 	130 
000260 	280 	51 	130 	130 
000261 	280 	51 	130 	130 
000262 	294 	66 	130 	130 
000263 	294 	66 	130 	130 
000264 	294 	66 	130 	130 
000265 	294 	66 	130 	130 
000266 	294 	66 	130 	130 
000267 	294 	66 	130 	130 
000268 	294 	66 	130 	130 
000269 	294 	66 	130 	130 
000270 	294 	66 	130 	130 
000271 	294 	66 	130 	130 
000272 	294 	66 	130 	130 
000273 	294 	66 	130 	130 
000274 	294 	66 	130 	130 
000275 	294 	66 	130 	130 
000276 	294 	66 	130 	130 
000277 	294 	66 	130 	130 
000278 	294 	66 	130 	130 
000279 	294 	66 	130 	130 
000280 	294 	66 	130 	130 
000281 	294 	66 	130 	130 
000282 	294 	66 	130 	130 
000283 	294 	66 	130 	130 
000284 	294 	66 	130 	130 
000285 	294 	66 	130 	130 
000286 	294 	66 	130 	130 
000287 	294 	66 	130 	130 
000288 	294 	66 	130 	130 
000289 	294 	66 	130 	130 
000290 	294 	66 	130 	130 
000291 	294 	66 	130 	130 
000292 	294 	66 	130 	130 
