Identity  : 	id10402
Reference : 	nvfyC1t-Ppk
Offset    : 	-3
FV Conf   : 	19.184
ASD Conf  : 	7.007

FRAME 	X 	Y 	W 	H 
000870 	183 	73 	63 	63 
000871 	183 	73 	63 	63 
000872 	183 	73 	63 	63 
000873 	183 	73 	63 	63 
000874 	170 	62 	75 	76 
000875 	170 	62 	75 	76 
000876 	170 	62 	75 	76 
000877 	170 	62 	75 	76 
000878 	170 	62 	75 	76 
000879 	176 	73 	63 	63 
000880 	170 	62 	75 	76 
000881 	170 	62 	75 	76 
000882 	183 	73 	63 	63 
000883 	183 	73 	63 	63 
000884 	183 	73 	63 	63 
000885 	170 	62 	75 	76 
000886 	170 	62 	75 	76 
000887 	170 	62 	75 	76 
000888 	176 	73 	63 	63 
000889 	176 	73 	63 	63 
000890 	170 	62 	75 	76 
000891 	170 	62 	75 	76 
000892 	170 	62 	75 	76 
000893 	183 	73 	63 	63 
000894 	183 	73 	63 	63 
000895 	183 	73 	63 	63 
000896 	183 	73 	63 	63 
000897 	183 	73 	63 	63 
000898 	183 	73 	63 	63 
000899 	183 	73 	63 	63 
000900 	183 	73 	63 	63 
000901 	183 	73 	63 	63 
000902 	183 	73 	63 	63 
000903 	183 	73 	63 	63 
000904 	183 	73 	63 	63 
000905 	183 	73 	63 	63 
000906 	183 	73 	63 	63 
000907 	183 	80 	63 	63 
000908 	183 	80 	63 	63 
000909 	183 	80 	63 	63 
000910 	176 	80 	63 	63 
000911 	176 	80 	63 	63 
000912 	176 	80 	63 	63 
000913 	176 	80 	63 	63 
000914 	176 	80 	63 	63 
000915 	176 	80 	63 	63 
000916 	176 	80 	63 	63 
000917 	176 	80 	63 	63 
000918 	176 	80 	63 	63 
000919 	176 	80 	63 	63 
000920 	176 	80 	63 	63 
000921 	176 	80 	63 	63 
000922 	176 	80 	63 	63 
000923 	176 	80 	63 	63 
000924 	176 	80 	63 	63 
000925 	176 	80 	63 	63 
000926 	176 	80 	63 	63 
000927 	176 	80 	63 	63 
000928 	176 	80 	63 	63 
000929 	176 	80 	63 	63 
000930 	176 	80 	63 	63 
000931 	176 	80 	63 	63 
000932 	176 	80 	63 	63 
000933 	170 	71 	75 	75 
000934 	170 	71 	75 	75 
000935 	170 	71 	75 	75 
000936 	183 	80 	63 	63 
000937 	183 	80 	63 	63 
000938 	183 	80 	63 	63 
000939 	183 	80 	63 	63 
000940 	183 	80 	63 	63 
000941 	183 	80 	63 	63 
000942 	183 	80 	63 	63 
000943 	183 	80 	63 	63 
000944 	183 	80 	63 	63 
000945 	183 	80 	63 	63 
000946 	183 	80 	63 	63 
000947 	183 	80 	63 	63 
000948 	183 	80 	63 	63 
000949 	190 	80 	63 	63 
000950 	190 	80 	63 	63 
000951 	190 	80 	63 	63 
000952 	186 	79 	76 	76 
000953 	186 	79 	76 	76 
000954 	186 	79 	76 	76 
000955 	186 	79 	76 	76 
000956 	190 	87 	63 	63 
000957 	190 	87 	63 	63 
000958 	190 	87 	63 	63 
000959 	190 	87 	63 	63 
000960 	190 	87 	63 	63 
000961 	186 	79 	76 	76 
000962 	186 	79 	76 	76 
000963 	186 	79 	76 	76 
000964 	186 	79 	76 	76 
000965 	186 	79 	76 	76 
000966 	186 	79 	76 	76 
000967 	190 	80 	63 	63 
000968 	190 	80 	63 	63 
000969 	190 	80 	63 	63 
000970 	190 	80 	63 	63 
000971 	190 	80 	63 	63 
000972 	190 	80 	63 	63 
000973 	183 	80 	63 	63 
000974 	183 	80 	63 	63 
000975 	183 	80 	63 	63 
000976 	183 	80 	63 	63 
000977 	183 	80 	63 	63 
000978 	183 	87 	63 	63 
000979 	183 	87 	63 	63 
000980 	183 	87 	63 	63 
000981 	183 	80 	63 	63 
