Identity  : 	id10402
Reference : 	uNUk1_vV5IM
Offset    : 	-2
FV Conf   : 	16.977
ASD Conf  : 	7.758

FRAME 	X 	Y 	W 	H 
005451 	135 	89 	53 	53 
005452 	135 	89 	53 	53 
005453 	135 	89 	53 	53 
005454 	135 	89 	53 	53 
005455 	135 	89 	53 	53 
005456 	135 	89 	53 	53 
005457 	135 	89 	53 	53 
005458 	141 	89 	52 	53 
005459 	141 	89 	52 	53 
005460 	141 	89 	52 	53 
005461 	141 	89 	52 	53 
005462 	141 	89 	52 	53 
005463 	141 	89 	52 	53 
005464 	141 	89 	52 	53 
005465 	141 	89 	52 	53 
005466 	141 	89 	52 	53 
005467 	141 	89 	52 	53 
005468 	141 	89 	52 	53 
005469 	141 	89 	52 	53 
005470 	141 	89 	52 	53 
005471 	141 	89 	52 	53 
005472 	141 	89 	52 	53 
005473 	146 	89 	53 	53 
005474 	146 	89 	53 	53 
005475 	146 	95 	53 	53 
005476 	146 	95 	53 	53 
005477 	146 	95 	53 	53 
005478 	146 	95 	53 	53 
005479 	146 	95 	53 	53 
005480 	141 	87 	64 	63 
005481 	146 	89 	53 	53 
005482 	141 	87 	64 	63 
005483 	146 	89 	53 	53 
005484 	146 	89 	53 	53 
005485 	146 	89 	53 	53 
005486 	146 	89 	53 	53 
005487 	146 	89 	53 	53 
005488 	146 	89 	53 	53 
005489 	146 	89 	53 	53 
005490 	146 	89 	53 	53 
005491 	146 	89 	53 	53 
005492 	146 	89 	53 	53 
005493 	146 	89 	53 	53 
005494 	146 	89 	53 	53 
005495 	146 	89 	53 	53 
005496 	146 	89 	53 	53 
005497 	146 	89 	53 	53 
005498 	146 	89 	53 	53 
005499 	146 	89 	53 	53 
005500 	146 	89 	53 	53 
005501 	146 	89 	53 	53 
005502 	152 	89 	53 	53 
005503 	146 	89 	53 	53 
005504 	141 	87 	64 	63 
005505 	141 	87 	64 	63 
005506 	141 	87 	64 	63 
005507 	146 	95 	53 	53 
005508 	152 	95 	53 	53 
005509 	152 	95 	53 	53 
005510 	158 	89 	53 	53 
005511 	155 	87 	63 	63 
005512 	164 	89 	52 	53 
005513 	164 	89 	52 	53 
005514 	164 	89 	52 	53 
005515 	164 	89 	52 	53 
005516 	164 	89 	52 	53 
005517 	164 	89 	52 	53 
005518 	164 	89 	52 	53 
005519 	164 	89 	52 	53 
005520 	164 	89 	52 	53 
005521 	164 	89 	52 	53 
005522 	164 	89 	52 	53 
005523 	162 	87 	63 	63 
005524 	162 	87 	63 	63 
005525 	162 	87 	63 	63 
005526 	166 	88 	58 	58 
005527 	169 	89 	53 	53 
005528 	169 	89 	53 	53 
005529 	169 	89 	53 	53 
005530 	169 	89 	53 	53 
005531 	169 	89 	53 	53 
005532 	169 	89 	53 	53 
005533 	168 	89 	53 	53 
005534 	166 	89 	52 	53 
005535 	165 	89 	52 	53 
005536 	164 	89 	52 	53 
005537 	164 	89 	52 	53 
005538 	162 	80 	63 	63 
005539 	162 	80 	63 	63 
005540 	162 	80 	63 	63 
005541 	162 	80 	63 	63 
005542 	162 	80 	63 	63 
005543 	162 	80 	63 	63 
005544 	166 	84 	58 	58 
005545 	169 	89 	53 	53 
005546 	169 	83 	53 	53 
005547 	169 	83 	53 	53 
005548 	166 	84 	53 	53 
005549 	164 	86 	53 	53 
005550 	161 	88 	53 	53 
005551 	158 	89 	53 	53 
005552 	150 	91 	58 	58 
