Identity  : 	id10406
Reference : 	rN7n45Ueu60
Offset    : 	-1
FV Conf   : 	16.597
ASD Conf  : 	5.835

FRAME 	X 	Y 	W 	H 
002337 	284 	95 	90 	91 
002338 	284 	95 	90 	91 
002339 	284 	95 	90 	91 
002340 	284 	95 	90 	91 
002341 	284 	95 	90 	91 
002342 	284 	95 	90 	91 
002343 	284 	95 	90 	91 
002344 	284 	95 	90 	91 
002345 	284 	95 	90 	91 
002346 	284 	95 	90 	91 
002347 	284 	95 	90 	91 
002348 	284 	95 	90 	91 
002349 	269 	90 	108 	109 
002350 	269 	90 	108 	109 
002351 	269 	90 	108 	109 
002352 	274 	95 	90 	91 
002353 	257 	90 	109 	109 
002354 	257 	90 	109 	109 
002355 	264 	95 	90 	91 
002356 	264 	95 	90 	91 
002357 	257 	90 	109 	109 
002358 	257 	90 	109 	109 
002359 	257 	90 	109 	109 
002360 	274 	105 	90 	91 
002361 	274 	105 	90 	91 
002362 	269 	90 	108 	109 
002363 	269 	90 	108 	109 
002364 	284 	105 	90 	91 
002365 	284 	105 	90 	91 
002366 	269 	90 	108 	109 
002367 	269 	90 	108 	109 
002368 	269 	90 	108 	109 
002369 	269 	90 	108 	109 
002370 	284 	105 	90 	91 
002371 	281 	90 	108 	109 
002372 	294 	105 	90 	91 
002373 	294 	105 	90 	91 
002374 	281 	90 	108 	109 
002375 	284 	105 	90 	91 
002376 	284 	105 	90 	91 
002377 	284 	105 	90 	91 
002378 	284 	105 	90 	91 
002379 	284 	105 	90 	91 
002380 	284 	105 	90 	91 
002381 	284 	105 	90 	91 
002382 	284 	105 	90 	91 
002383 	284 	105 	90 	91 
002384 	281 	90 	108 	109 
002385 	281 	90 	108 	109 
002386 	281 	90 	108 	109 
002387 	281 	90 	108 	109 
002388 	281 	90 	108 	109 
002389 	284 	105 	90 	91 
002390 	284 	105 	90 	91 
002391 	284 	105 	90 	91 
002392 	284 	105 	90 	91 
002393 	284 	105 	90 	91 
002394 	284 	105 	90 	91 
002395 	284 	105 	90 	91 
002396 	269 	102 	108 	109 
002397 	284 	105 	90 	91 
002398 	269 	102 	108 	109 
002399 	269 	102 	108 	109 
002400 	269 	102 	108 	109 
002401 	269 	102 	108 	109 
002402 	269 	102 	108 	109 
002403 	284 	105 	90 	91 
002404 	284 	105 	90 	91 
002405 	284 	105 	90 	91 
002406 	284 	105 	90 	91 
002407 	284 	105 	90 	91 
002408 	284 	105 	90 	91 
002409 	284 	105 	90 	91 
002410 	284 	105 	90 	91 
002411 	284 	105 	90 	91 
002412 	284 	105 	90 	91 
002413 	284 	105 	90 	91 
002414 	284 	105 	90 	91 
002415 	274 	105 	90 	91 
002416 	274 	105 	90 	91 
002417 	269 	102 	108 	109 
002418 	269 	102 	108 	109 
002419 	269 	102 	108 	109 
002420 	281 	102 	108 	109 
002421 	281 	90 	108 	109 
002422 	281 	102 	108 	109 
002423 	294 	105 	90 	91 
002424 	281 	102 	108 	109 
002425 	281 	102 	108 	109 
002426 	284 	105 	90 	91 
002427 	269 	102 	108 	109 
002428 	269 	102 	108 	109 
002429 	257 	102 	109 	109 
002430 	256 	103 	104 	104 
002431 	256 	104 	100 	100 
002432 	255 	104 	95 	96 
002433 	254 	105 	90 	91 
002434 	254 	105 	90 	91 
002435 	264 	105 	90 	91 
002436 	264 	105 	90 	91 
002437 	264 	105 	90 	91 
002438 	274 	105 	90 	91 
002439 	274 	105 	90 	91 
002440 	269 	90 	108 	109 
