Identity  : 	id10406
Reference : 	zU6dAdo_SCs
Offset    : 	-1
FV Conf   : 	15.885
ASD Conf  : 	7.649

FRAME 	X 	Y 	W 	H 
010646 	293 	90 	108 	109 
010647 	293 	90 	108 	109 
010648 	293 	90 	108 	109 
010649 	293 	90 	108 	109 
010650 	293 	90 	108 	109 
010651 	293 	90 	108 	109 
010652 	281 	90 	108 	109 
010653 	281 	90 	108 	109 
010654 	281 	90 	108 	109 
010655 	281 	90 	108 	109 
010656 	281 	90 	108 	109 
010657 	281 	90 	108 	109 
010658 	281 	90 	108 	109 
010659 	281 	90 	108 	109 
010660 	281 	90 	108 	109 
010661 	281 	90 	108 	109 
010662 	281 	90 	108 	109 
010663 	281 	90 	108 	109 
010664 	281 	90 	108 	109 
010665 	281 	90 	108 	109 
010666 	281 	90 	108 	109 
010667 	281 	90 	108 	109 
010668 	281 	90 	108 	109 
010669 	281 	90 	108 	109 
010670 	281 	90 	108 	109 
010671 	293 	90 	108 	109 
010672 	293 	90 	108 	109 
010673 	293 	90 	108 	109 
010674 	293 	90 	108 	109 
010675 	293 	90 	108 	109 
010676 	293 	90 	108 	109 
010677 	293 	90 	108 	109 
010678 	293 	90 	108 	109 
010679 	293 	90 	108 	109 
010680 	293 	78 	108 	109 
010681 	293 	78 	108 	109 
010682 	293 	78 	108 	109 
010683 	293 	78 	108 	109 
010684 	293 	78 	108 	109 
010685 	280 	80 	130 	130 
010686 	280 	80 	130 	130 
010687 	280 	80 	130 	130 
010688 	293 	90 	108 	109 
010689 	293 	90 	108 	109 
010690 	293 	90 	108 	109 
010691 	293 	90 	108 	109 
010692 	293 	90 	108 	109 
010693 	293 	90 	108 	109 
010694 	293 	90 	108 	109 
010695 	293 	90 	108 	109 
010696 	293 	90 	108 	109 
010697 	293 	90 	108 	109 
010698 	293 	90 	108 	109 
010699 	293 	90 	108 	109 
010700 	305 	90 	108 	109 
010701 	305 	90 	108 	109 
010702 	305 	90 	108 	109 
010703 	305 	90 	108 	109 
010704 	305 	90 	108 	109 
010705 	305 	90 	108 	109 
010706 	305 	78 	108 	109 
010707 	305 	78 	108 	109 
010708 	305 	78 	108 	109 
010709 	305 	78 	108 	109 
010710 	305 	78 	108 	109 
010711 	305 	78 	108 	109 
010712 	305 	78 	108 	109 
010713 	305 	78 	108 	109 
010714 	305 	78 	108 	109 
010715 	305 	78 	108 	109 
010716 	305 	78 	108 	109 
010717 	305 	78 	108 	109 
010718 	305 	78 	108 	109 
010719 	305 	78 	108 	109 
010720 	305 	78 	108 	109 
010721 	293 	78 	108 	109 
010722 	293 	78 	108 	109 
010723 	293 	78 	108 	109 
010724 	293 	78 	108 	109 
010725 	293 	78 	108 	109 
010726 	293 	78 	108 	109 
010727 	305 	78 	108 	109 
010728 	305 	78 	108 	109 
010729 	305 	78 	108 	109 
010730 	305 	78 	108 	109 
010731 	305 	78 	108 	109 
010732 	305 	78 	108 	109 
010733 	305 	78 	108 	109 
010734 	305 	78 	108 	109 
010735 	305 	78 	108 	109 
010736 	305 	78 	108 	109 
010737 	305 	78 	108 	109 
010738 	305 	78 	108 	109 
010739 	305 	78 	108 	109 
010740 	293 	78 	108 	109 
010741 	293 	78 	108 	109 
010742 	293 	78 	108 	109 
010743 	293 	78 	108 	109 
010744 	293 	78 	108 	109 
010745 	293 	78 	108 	109 
010746 	293 	78 	108 	109 
010747 	293 	78 	108 	109 
010748 	293 	78 	108 	109 
