Identity  : 	id10413
Reference : 	DYxhlanOfl4
Offset    : 	-2
FV Conf   : 	18.549
ASD Conf  : 	7.074

FRAME 	X 	Y 	W 	H 
002014 	135 	74 	187 	187 
002015 	135 	74 	187 	187 
002016 	135 	74 	187 	187 
002017 	135 	74 	187 	187 
002018 	135 	74 	187 	187 
002019 	135 	74 	187 	187 
002020 	135 	74 	187 	187 
002021 	135 	74 	187 	187 
002022 	135 	74 	187 	187 
002023 	135 	74 	187 	187 
002024 	135 	74 	187 	187 
002025 	135 	74 	187 	187 
002026 	135 	74 	187 	187 
002027 	135 	74 	187 	187 
002028 	135 	74 	187 	187 
002029 	135 	74 	187 	187 
002030 	135 	74 	187 	187 
002031 	135 	74 	187 	187 
002032 	135 	74 	187 	187 
002033 	135 	74 	187 	187 
002034 	135 	74 	187 	187 
002035 	164 	96 	156 	156 
002036 	156 	74 	187 	187 
002037 	156 	74 	187 	187 
002038 	156 	74 	187 	187 
002039 	156 	74 	187 	187 
002040 	156 	74 	187 	187 
002041 	135 	74 	187 	187 
002042 	135 	74 	187 	187 
002043 	135 	74 	187 	187 
002044 	135 	74 	187 	187 
002045 	135 	74 	187 	187 
002046 	135 	74 	187 	187 
002047 	135 	74 	187 	187 
002048 	135 	74 	187 	187 
002049 	135 	74 	187 	187 
002050 	135 	74 	187 	187 
002051 	135 	74 	187 	187 
002052 	135 	74 	187 	187 
002053 	135 	74 	187 	187 
002054 	135 	74 	187 	187 
002055 	135 	74 	187 	187 
002056 	135 	74 	187 	187 
002057 	135 	74 	187 	187 
002058 	135 	74 	187 	187 
002059 	135 	74 	187 	187 
002060 	135 	74 	187 	187 
002061 	135 	74 	187 	187 
002062 	135 	74 	187 	187 
002063 	135 	74 	187 	187 
002064 	164 	96 	156 	156 
002065 	156 	74 	187 	187 
002066 	156 	74 	187 	187 
002067 	156 	74 	187 	187 
002068 	156 	74 	187 	187 
002069 	156 	74 	187 	187 
002070 	156 	74 	187 	187 
002071 	156 	74 	187 	187 
002072 	156 	74 	187 	187 
002073 	156 	74 	187 	187 
002074 	156 	74 	187 	187 
002075 	156 	74 	187 	187 
002076 	156 	74 	187 	187 
002077 	156 	74 	187 	187 
002078 	156 	74 	187 	187 
002079 	156 	74 	187 	187 
002080 	156 	74 	187 	187 
002081 	156 	74 	187 	187 
002082 	156 	74 	187 	187 
002083 	156 	74 	187 	187 
002084 	156 	74 	187 	187 
002085 	156 	74 	187 	187 
002086 	156 	74 	187 	187 
002087 	164 	79 	156 	156 
002088 	164 	79 	156 	156 
002089 	164 	79 	156 	156 
002090 	164 	79 	156 	156 
002091 	156 	74 	187 	187 
002092 	156 	74 	187 	187 
002093 	164 	79 	156 	156 
002094 	164 	79 	156 	156 
002095 	164 	79 	156 	156 
002096 	164 	79 	156 	156 
002097 	164 	79 	156 	156 
002098 	164 	79 	156 	156 
002099 	156 	53 	187 	187 
002100 	156 	53 	187 	187 
002101 	156 	53 	187 	187 
002102 	181 	79 	156 	156 
002103 	181 	62 	156 	155 
002104 	177 	53 	187 	187 
002105 	177 	53 	187 	187 
002106 	177 	53 	187 	187 
002107 	177 	53 	187 	187 
002108 	177 	53 	187 	187 
002109 	177 	53 	187 	187 
002110 	199 	79 	155 	156 
002111 	199 	79 	155 	156 
002112 	199 	79 	155 	156 
002113 	199 	79 	155 	156 
002114 	199 	79 	155 	156 
002115 	197 	74 	187 	187 
002116 	197 	74 	187 	187 
002117 	197 	74 	187 	187 
002118 	197 	74 	187 	187 
002119 	197 	74 	187 	187 
002120 	199 	79 	155 	156 
