Identity  : 	id10413
Reference : 	d6vzz99CWjY
Offset    : 	-5
FV Conf   : 	17.398
ASD Conf  : 	6.536

FRAME 	X 	Y 	W 	H 
001297 	259 	136 	187 	187 
001298 	259 	136 	187 	187 
001299 	259 	136 	187 	187 
001300 	259 	136 	187 	187 
001301 	259 	136 	187 	187 
001302 	259 	136 	187 	187 
001303 	259 	136 	187 	187 
001304 	259 	136 	187 	187 
001305 	259 	136 	187 	187 
001306 	259 	136 	187 	187 
001307 	259 	136 	187 	187 
001308 	259 	136 	187 	187 
001309 	259 	136 	187 	187 
001310 	259 	136 	187 	187 
001311 	259 	136 	187 	187 
001312 	259 	136 	187 	187 
001313 	259 	136 	187 	187 
001314 	259 	136 	187 	187 
001315 	259 	136 	187 	187 
001316 	259 	136 	187 	187 
001317 	259 	136 	187 	187 
001318 	259 	136 	187 	187 
001319 	259 	136 	187 	187 
001320 	259 	136 	187 	187 
001321 	259 	136 	187 	187 
001322 	259 	136 	187 	187 
001323 	259 	136 	187 	187 
001324 	259 	136 	187 	187 
001325 	259 	136 	187 	187 
001326 	259 	136 	187 	187 
001327 	259 	136 	187 	187 
001328 	267 	148 	156 	155 
001329 	267 	148 	156 	155 
001330 	239 	136 	186 	187 
001331 	239 	136 	186 	187 
001332 	239 	136 	186 	187 
001333 	239 	136 	186 	187 
001334 	239 	136 	186 	187 
001335 	239 	136 	186 	187 
001336 	239 	136 	186 	187 
001337 	239 	136 	186 	187 
001338 	239 	136 	186 	187 
001339 	239 	136 	186 	187 
001340 	239 	136 	186 	187 
001341 	239 	136 	186 	187 
001342 	239 	136 	186 	187 
001343 	239 	136 	186 	187 
001344 	239 	136 	186 	187 
001345 	239 	136 	186 	187 
001346 	239 	136 	186 	187 
001347 	239 	136 	186 	187 
001348 	239 	136 	186 	187 
001349 	239 	136 	186 	187 
001350 	267 	148 	156 	155 
001351 	267 	148 	156 	155 
001352 	267 	148 	156 	155 
001353 	259 	136 	187 	187 
001354 	259 	136 	187 	187 
001355 	259 	136 	187 	187 
001356 	259 	136 	187 	187 
001357 	259 	136 	187 	187 
001358 	259 	136 	187 	187 
001359 	259 	136 	187 	187 
001360 	259 	136 	187 	187 
001361 	259 	136 	187 	187 
001362 	259 	136 	187 	187 
001363 	259 	136 	187 	187 
001364 	259 	136 	187 	187 
001365 	259 	136 	187 	187 
001366 	259 	136 	187 	187 
001367 	259 	136 	187 	187 
001368 	259 	136 	187 	187 
001369 	259 	136 	187 	187 
001370 	259 	136 	187 	187 
001371 	259 	136 	187 	187 
001372 	259 	136 	187 	187 
001373 	259 	136 	187 	187 
001374 	259 	136 	187 	187 
001375 	259 	136 	187 	187 
001376 	259 	136 	187 	187 
001377 	259 	136 	187 	187 
001378 	259 	136 	187 	187 
001379 	259 	136 	187 	187 
001380 	259 	136 	187 	187 
001381 	259 	136 	187 	187 
001382 	259 	136 	187 	187 
001383 	259 	136 	187 	187 
001384 	259 	136 	187 	187 
001385 	259 	136 	187 	187 
001386 	259 	136 	187 	187 
001387 	259 	136 	187 	187 
001388 	259 	136 	187 	187 
001389 	259 	136 	187 	187 
001390 	259 	136 	187 	187 
001391 	259 	136 	187 	187 
001392 	259 	136 	187 	187 
001393 	259 	136 	187 	187 
001394 	259 	136 	187 	187 
001395 	259 	136 	187 	187 
001396 	259 	136 	187 	187 
001397 	259 	136 	187 	187 
001398 	259 	136 	187 	187 
001399 	259 	136 	187 	187 
001400 	259 	136 	187 	187 
001401 	259 	136 	187 	187 
001402 	259 	136 	187 	187 
001403 	259 	136 	187 	187 
001404 	259 	136 	187 	187 
001405 	259 	136 	187 	187 
001406 	259 	136 	187 	187 
001407 	259 	136 	187 	187 
001408 	259 	136 	187 	187 
001409 	259 	136 	187 	187 
001410 	259 	136 	187 	187 
001411 	259 	136 	187 	187 
001412 	259 	136 	187 	187 
001413 	259 	136 	187 	187 
001414 	259 	136 	187 	187 
001415 	285 	165 	155 	156 
001416 	285 	165 	155 	156 
001417 	285 	165 	155 	156 
001418 	285 	165 	155 	156 
001419 	285 	165 	155 	156 
001420 	285 	165 	155 	156 
001421 	285 	165 	155 	156 
001422 	285 	165 	155 	156 
001423 	259 	136 	187 	187 
001424 	259 	136 	187 	187 
001425 	259 	136 	187 	187 
001426 	259 	136 	187 	187 
001427 	259 	136 	187 	187 
001428 	259 	136 	187 	187 
001429 	259 	136 	187 	187 
001430 	259 	136 	187 	187 
001431 	259 	136 	187 	187 
001432 	259 	136 	187 	187 
001433 	259 	136 	187 	187 
001434 	259 	136 	187 	187 
001435 	259 	136 	187 	187 
001436 	259 	136 	187 	187 
001437 	259 	136 	187 	187 
001438 	259 	136 	187 	187 
001439 	259 	157 	187 	186 
001440 	259 	157 	187 	186 
001441 	259 	157 	187 	186 
001442 	259 	157 	187 	186 
001443 	259 	157 	187 	186 
001444 	259 	157 	187 	186 
001445 	259 	157 	187 	186 
001446 	259 	157 	187 	186 
001447 	259 	157 	187 	186 
001448 	259 	157 	187 	186 
001449 	259 	157 	187 	186 
001450 	259 	157 	187 	186 
001451 	259 	157 	187 	186 
001452 	259 	157 	187 	186 
001453 	259 	157 	187 	186 
001454 	259 	157 	187 	186 
001455 	259 	157 	187 	186 
001456 	259 	157 	187 	186 
001457 	259 	157 	187 	186 
001458 	259 	157 	187 	186 
001459 	259 	136 	187 	187 
001460 	259 	136 	187 	187 
001461 	267 	165 	156 	156 
001462 	267 	165 	156 	156 
001463 	259 	136 	187 	187 
001464 	259 	136 	187 	187 
001465 	259 	136 	187 	187 
001466 	259 	136 	187 	187 
001467 	267 	165 	156 	156 
001468 	267 	165 	156 	156 
001469 	259 	136 	187 	187 
001470 	259 	136 	187 	187 
001471 	259 	136 	187 	187 
001472 	259 	136 	187 	187 
001473 	259 	136 	187 	187 
001474 	259 	136 	187 	187 
001475 	259 	136 	187 	187 
001476 	259 	136 	187 	187 
001477 	259 	136 	187 	187 
001478 	259 	136 	187 	187 
001479 	259 	136 	187 	187 
001480 	259 	136 	187 	187 
001481 	259 	136 	187 	187 
001482 	259 	136 	187 	187 
001483 	259 	136 	187 	187 
001484 	259 	136 	187 	187 
001485 	259 	136 	187 	187 
001486 	259 	136 	187 	187 
001487 	259 	136 	187 	187 
001488 	259 	136 	187 	187 
001489 	259 	136 	187 	187 
001490 	259 	136 	187 	187 
001491 	259 	136 	187 	187 
001492 	259 	136 	187 	187 
001493 	259 	136 	187 	187 
001494 	259 	136 	187 	187 
001495 	259 	136 	187 	187 
001496 	259 	136 	187 	187 
001497 	259 	136 	187 	187 
001498 	259 	136 	187 	187 
001499 	259 	136 	187 	187 
001500 	259 	136 	187 	187 
001501 	259 	136 	187 	187 
001502 	259 	136 	187 	187 
001503 	259 	136 	187 	187 
001504 	259 	157 	187 	186 
001505 	259 	136 	187 	187 
001506 	259 	136 	187 	187 
001507 	259 	136 	187 	187 
001508 	259 	136 	187 	187 
001509 	259 	136 	187 	187 
001510 	259 	136 	187 	187 
001511 	259 	136 	187 	187 
001512 	259 	136 	187 	187 
001513 	259 	136 	187 	187 
001514 	259 	136 	187 	187 
001515 	259 	136 	187 	187 
001516 	259 	136 	187 	187 
001517 	259 	136 	187 	187 
001518 	259 	136 	187 	187 
001519 	259 	136 	187 	187 
001520 	259 	136 	187 	187 
001521 	259 	136 	187 	187 
001522 	259 	136 	187 	187 
001523 	259 	136 	187 	187 
001524 	259 	136 	187 	187 
001525 	259 	136 	187 	187 
001526 	259 	136 	187 	187 
001527 	259 	136 	187 	187 
001528 	259 	136 	187 	187 
001529 	259 	136 	187 	187 
001530 	259 	136 	187 	187 
001531 	259 	136 	187 	187 
001532 	259 	136 	187 	187 
001533 	259 	136 	187 	187 
001534 	259 	136 	187 	187 
001535 	259 	136 	187 	187 
001536 	239 	136 	186 	187 
001537 	239 	136 	186 	187 
001538 	239 	136 	186 	187 
001539 	239 	136 	186 	187 
001540 	239 	136 	186 	187 
001541 	239 	136 	186 	187 
001542 	239 	136 	186 	187 
001543 	239 	136 	186 	187 
001544 	239 	136 	186 	187 
001545 	239 	136 	186 	187 
001546 	239 	136 	186 	187 
001547 	239 	136 	186 	187 
001548 	239 	136 	186 	187 
001549 	239 	136 	186 	187 
001550 	218 	136 	187 	187 
001551 	218 	136 	187 	187 
001552 	218 	136 	187 	187 
001553 	218 	136 	187 	187 
001554 	218 	136 	187 	187 
001555 	218 	136 	187 	187 
001556 	218 	136 	187 	187 
001557 	218 	136 	187 	187 
001558 	218 	136 	187 	187 
001559 	218 	136 	187 	187 
001560 	218 	136 	187 	187 
001561 	218 	136 	187 	187 
001562 	218 	136 	187 	187 
001563 	218 	136 	187 	187 
001564 	239 	136 	186 	187 
001565 	239 	136 	186 	187 
001566 	239 	136 	186 	187 
001567 	239 	136 	186 	187 
001568 	239 	136 	186 	187 
001569 	239 	136 	186 	187 
001570 	239 	136 	186 	187 
001571 	239 	136 	186 	187 
001572 	239 	136 	186 	187 
001573 	239 	136 	186 	187 
001574 	239 	136 	186 	187 
001575 	239 	136 	186 	187 
001576 	239 	136 	186 	187 
001577 	239 	136 	186 	187 
001578 	239 	136 	186 	187 
001579 	239 	136 	186 	187 
001580 	239 	136 	186 	187 
001581 	239 	136 	186 	187 
001582 	239 	136 	186 	187 
001583 	239 	136 	186 	187 
001584 	239 	136 	186 	187 
001585 	239 	136 	186 	187 
001586 	239 	136 	186 	187 
001587 	239 	136 	186 	187 
001588 	239 	136 	186 	187 
001589 	239 	136 	186 	187 
001590 	239 	136 	186 	187 
001591 	239 	136 	186 	187 
001592 	239 	136 	186 	187 
001593 	239 	136 	186 	187 
001594 	239 	136 	186 	187 
001595 	239 	136 	186 	187 
001596 	239 	136 	186 	187 
001597 	239 	136 	186 	187 
001598 	239 	136 	186 	187 
001599 	239 	136 	186 	187 
001600 	239 	136 	186 	187 
001601 	239 	136 	186 	187 
001602 	239 	136 	186 	187 
001603 	239 	136 	186 	187 
001604 	239 	136 	186 	187 
001605 	239 	136 	186 	187 
001606 	239 	136 	186 	187 
001607 	239 	136 	186 	187 
001608 	239 	136 	186 	187 
001609 	239 	136 	186 	187 
001610 	239 	136 	186 	187 
001611 	239 	136 	186 	187 
001612 	239 	136 	186 	187 
001613 	239 	136 	186 	187 
001614 	239 	136 	186 	187 
001615 	259 	136 	187 	187 
001616 	259 	136 	187 	187 
001617 	259 	136 	187 	187 
001618 	259 	136 	187 	187 
001619 	259 	136 	187 	187 
001620 	259 	136 	187 	187 
001621 	259 	136 	187 	187 
001622 	259 	136 	187 	187 
001623 	259 	136 	187 	187 
001624 	259 	136 	187 	187 
001625 	259 	136 	187 	187 
001626 	259 	136 	187 	187 
001627 	259 	136 	187 	187 
001628 	259 	136 	187 	187 
001629 	259 	136 	187 	187 
001630 	259 	136 	187 	187 
001631 	259 	136 	187 	187 
001632 	259 	136 	187 	187 
001633 	259 	136 	187 	187 
001634 	259 	136 	187 	187 
001635 	259 	136 	187 	187 
001636 	259 	136 	187 	187 
001637 	259 	136 	187 	187 
001638 	259 	136 	187 	187 
001639 	259 	136 	187 	187 
001640 	259 	136 	187 	187 
001641 	259 	136 	187 	187 
001642 	259 	136 	187 	187 
001643 	259 	136 	187 	187 
001644 	259 	136 	187 	187 
001645 	259 	136 	187 	187 
001646 	259 	136 	187 	187 
001647 	259 	136 	187 	187 
001648 	259 	136 	187 	187 
001649 	267 	148 	156 	155 
001650 	267 	148 	156 	155 
001651 	267 	148 	156 	155 
001652 	267 	148 	156 	155 
001653 	267 	148 	156 	155 
001654 	267 	148 	156 	155 
001655 	267 	148 	156 	155 
001656 	267 	148 	156 	155 
001657 	267 	148 	156 	155 
001658 	259 	136 	187 	187 
001659 	259 	136 	187 	187 
001660 	259 	136 	187 	187 
001661 	259 	136 	187 	187 
001662 	259 	136 	187 	187 
001663 	259 	136 	187 	187 
001664 	267 	148 	156 	155 
001665 	267 	148 	156 	155 
001666 	267 	148 	156 	155 
001667 	267 	148 	156 	155 
001668 	267 	148 	156 	155 
001669 	267 	148 	156 	155 
001670 	267 	148 	156 	155 
001671 	267 	148 	156 	155 
