Identity  : 	id10440
Reference : 	7btzAe15gEQ
Offset    : 	-2
FV Conf   : 	13.685
ASD Conf  : 	6.683

FRAME 	X 	Y 	W 	H 
004397 	321 	53 	187 	187 
004398 	321 	53 	187 	187 
004399 	321 	53 	187 	187 
004400 	321 	53 	187 	187 
004401 	321 	53 	187 	187 
004402 	321 	53 	187 	187 
004403 	321 	53 	187 	187 
004404 	342 	53 	187 	187 
004405 	342 	53 	187 	187 
004406 	342 	53 	187 	187 
004407 	342 	53 	187 	187 
004408 	342 	53 	187 	187 
004409 	342 	53 	187 	187 
004410 	342 	74 	187 	187 
004411 	342 	74 	187 	187 
004412 	342 	53 	187 	187 
004413 	342 	53 	187 	187 
004414 	342 	53 	187 	187 
004415 	321 	53 	187 	187 
004416 	321 	53 	187 	187 
004417 	321 	53 	187 	187 
004418 	321 	53 	187 	187 
004419 	321 	53 	187 	187 
004420 	321 	53 	187 	187 
004421 	321 	53 	187 	187 
004422 	321 	53 	187 	187 
004423 	321 	53 	187 	187 
004424 	321 	53 	187 	187 
004425 	321 	53 	187 	187 
004426 	321 	53 	187 	187 
004427 	321 	53 	187 	187 
004428 	321 	53 	187 	187 
004429 	321 	53 	187 	187 
004430 	321 	53 	187 	187 
004431 	321 	53 	187 	187 
004432 	321 	53 	187 	187 
004433 	321 	53 	187 	187 
004434 	321 	53 	187 	187 
004435 	321 	74 	187 	187 
004436 	321 	74 	187 	187 
004437 	321 	74 	187 	187 
004438 	321 	74 	187 	187 
004439 	321 	74 	187 	187 
004440 	321 	74 	187 	187 
004441 	321 	74 	187 	187 
004442 	321 	74 	187 	187 
004443 	321 	74 	187 	187 
004444 	321 	74 	187 	187 
004445 	321 	74 	187 	187 
004446 	321 	74 	187 	187 
004447 	321 	74 	187 	187 
004448 	321 	74 	187 	187 
004449 	321 	74 	187 	187 
004450 	321 	74 	187 	187 
004451 	321 	74 	187 	187 
004452 	321 	74 	187 	187 
004453 	321 	74 	187 	187 
004454 	321 	74 	187 	187 
004455 	321 	74 	187 	187 
004456 	321 	74 	187 	187 
004457 	321 	74 	187 	187 
004458 	321 	74 	187 	187 
004459 	321 	74 	187 	187 
004460 	321 	74 	187 	187 
004461 	321 	74 	187 	187 
004462 	321 	74 	187 	187 
004463 	321 	74 	187 	187 
004464 	321 	74 	187 	187 
004465 	321 	74 	187 	187 
004466 	321 	74 	187 	187 
004467 	321 	74 	187 	187 
004468 	321 	74 	187 	187 
004469 	301 	74 	186 	187 
004470 	301 	74 	186 	187 
004471 	301 	74 	186 	187 
004472 	301 	74 	186 	187 
004473 	301 	74 	186 	187 
004474 	301 	74 	186 	187 
004475 	301 	74 	186 	187 
004476 	280 	74 	187 	187 
004477 	280 	74 	187 	187 
004478 	280 	74 	187 	187 
004479 	280 	74 	187 	187 
004480 	280 	74 	187 	187 
004481 	280 	74 	187 	187 
004482 	280 	74 	187 	187 
004483 	280 	74 	187 	187 
004484 	280 	74 	187 	187 
004485 	280 	74 	187 	187 
004486 	280 	74 	187 	187 
004487 	280 	74 	187 	187 
004488 	280 	74 	187 	187 
004489 	280 	74 	187 	187 
004490 	280 	74 	187 	187 
004491 	280 	74 	187 	187 
004492 	280 	53 	187 	187 
004493 	280 	53 	187 	187 
004494 	280 	53 	187 	187 
004495 	280 	53 	187 	187 
004496 	280 	53 	187 	187 
004497 	301 	53 	186 	187 
004498 	301 	53 	186 	187 
004499 	301 	53 	186 	187 
004500 	301 	74 	186 	187 
004501 	301 	74 	186 	187 
004502 	301 	74 	186 	187 
004503 	301 	74 	186 	187 
004504 	280 	74 	187 	187 
004505 	280 	74 	187 	187 
004506 	280 	74 	187 	187 
004507 	259 	95 	187 	186 
004508 	259 	74 	187 	187 
004509 	259 	74 	187 	187 
004510 	259 	74 	187 	187 
004511 	259 	74 	187 	187 
004512 	259 	95 	187 	186 
004513 	259 	95 	187 	186 
004514 	259 	95 	187 	186 
004515 	259 	95 	187 	186 
004516 	259 	95 	187 	186 
004517 	285 	96 	155 	156 
004518 	280 	74 	187 	187 
004519 	280 	74 	187 	187 
004520 	280 	74 	187 	187 
004521 	280 	74 	187 	187 
004522 	280 	74 	187 	187 
004523 	280 	74 	187 	187 
004524 	280 	74 	187 	187 
004525 	280 	74 	187 	187 
004526 	280 	74 	187 	187 
004527 	280 	74 	187 	187 
004528 	280 	74 	187 	187 
004529 	280 	74 	187 	187 
004530 	280 	73 	187 	187 
004531 	280 	73 	187 	187 
004532 	280 	73 	187 	187 
004533 	280 	73 	187 	187 
004534 	280 	73 	187 	187 
004535 	280 	73 	187 	187 
004536 	280 	73 	187 	187 
004537 	280 	73 	187 	187 
004538 	280 	73 	187 	187 
004539 	280 	73 	187 	187 
004540 	280 	73 	187 	187 
004541 	280 	73 	187 	187 
004542 	280 	73 	187 	187 
004543 	280 	73 	187 	187 
004544 	280 	72 	187 	187 
004545 	280 	72 	187 	187 
004546 	280 	72 	187 	187 
004547 	280 	72 	187 	187 
004548 	280 	72 	187 	187 
004549 	280 	72 	187 	187 
004550 	280 	72 	187 	187 
004551 	280 	72 	187 	187 
004552 	280 	72 	187 	187 
004553 	280 	72 	187 	187 
004554 	280 	72 	187 	187 
004555 	280 	72 	187 	187 
004556 	280 	72 	187 	187 
004557 	280 	71 	187 	187 
004558 	280 	71 	187 	187 
004559 	280 	71 	187 	187 
004560 	280 	71 	187 	187 
004561 	280 	71 	187 	187 
