Identity  : 	id10440
Reference : 	Cg8ntpOHVzw
Offset    : 	-2
FV Conf   : 	12.142
ASD Conf  : 	9.230

FRAME 	X 	Y 	W 	H 
008511 	244 	95 	90 	91 
008512 	244 	95 	90 	91 
008513 	244 	95 	90 	91 
008514 	244 	95 	90 	91 
008515 	244 	95 	90 	91 
008516 	233 	78 	109 	109 
008517 	234 	85 	90 	91 
008518 	234 	85 	90 	91 
008519 	234 	85 	90 	91 
008520 	234 	85 	90 	91 
008521 	234 	85 	90 	91 
008522 	234 	85 	90 	91 
008523 	233 	66 	109 	109 
008524 	233 	66 	109 	109 
008525 	233 	66 	109 	109 
008526 	233 	66 	109 	109 
008527 	233 	66 	109 	109 
008528 	245 	66 	109 	109 
008529 	245 	66 	109 	109 
008530 	245 	66 	109 	109 
008531 	245 	66 	109 	109 
008532 	245 	66 	109 	109 
008533 	245 	66 	109 	109 
008534 	254 	85 	90 	91 
008535 	245 	78 	109 	109 
008536 	245 	78 	109 	109 
008537 	245 	78 	109 	109 
008538 	245 	78 	109 	109 
008539 	245 	78 	109 	109 
008540 	245 	78 	109 	109 
008541 	245 	78 	109 	109 
008542 	245 	78 	109 	109 
008543 	245 	78 	109 	109 
008544 	245 	78 	109 	109 
008545 	245 	78 	109 	109 
008546 	245 	78 	109 	109 
008547 	264 	95 	90 	91 
008548 	264 	95 	90 	91 
008549 	264 	95 	90 	91 
008550 	264 	95 	90 	91 
008551 	264 	95 	90 	91 
008552 	264 	95 	90 	91 
008553 	264 	95 	90 	91 
008554 	264 	95 	90 	91 
008555 	264 	95 	90 	91 
008556 	264 	95 	90 	91 
008557 	264 	95 	90 	91 
008558 	264 	85 	90 	91 
008559 	264 	85 	90 	91 
008560 	264 	85 	90 	91 
008561 	264 	85 	90 	91 
008562 	264 	85 	90 	91 
008563 	264 	85 	90 	91 
008564 	264 	85 	90 	91 
008565 	264 	75 	90 	91 
008566 	264 	75 	90 	91 
008567 	264 	75 	90 	91 
008568 	264 	75 	90 	91 
008569 	264 	75 	90 	91 
008570 	264 	75 	90 	91 
008571 	264 	75 	90 	91 
008572 	264 	75 	90 	91 
008573 	264 	75 	90 	91 
008574 	264 	65 	90 	91 
008575 	274 	75 	90 	91 
008576 	274 	75 	90 	91 
008577 	274 	75 	90 	91 
008578 	274 	75 	90 	91 
008579 	274 	65 	90 	91 
008580 	274 	65 	90 	91 
008581 	274 	65 	90 	91 
008582 	284 	65 	90 	91 
008583 	284 	65 	90 	91 
008584 	284 	65 	90 	91 
008585 	284 	65 	90 	91 
008586 	284 	65 	90 	91 
008587 	281 	54 	108 	109 
008588 	294 	55 	90 	91 
008589 	294 	55 	90 	91 
008590 	294 	55 	90 	91 
008591 	294 	55 	90 	91 
008592 	294 	55 	90 	91 
008593 	294 	55 	90 	91 
008594 	294 	55 	90 	91 
008595 	294 	55 	90 	91 
008596 	294 	55 	90 	91 
008597 	294 	55 	90 	91 
008598 	304 	55 	90 	91 
008599 	304 	55 	90 	91 
008600 	304 	55 	90 	91 
008601 	304 	55 	90 	91 
008602 	304 	55 	90 	91 
008603 	304 	55 	90 	91 
008604 	304 	55 	90 	91 
008605 	304 	55 	90 	91 
008606 	304 	55 	90 	91 
