Identity  : 	id10440
Reference : 	ydr9Sstk6wg
Offset    : 	3
FV Conf   : 	21.086
ASD Conf  : 	5.468

FRAME 	X 	Y 	W 	H 
002537 	186 	29 	76 	76 
002538 	186 	29 	76 	76 
002539 	178 	29 	76 	76 
002540 	183 	31 	63 	63 
002541 	176 	31 	63 	63 
002542 	170 	21 	75 	76 
002543 	162 	21 	75 	76 
002544 	162 	21 	75 	76 
002545 	153 	29 	76 	76 
002546 	145 	21 	76 	76 
002547 	148 	31 	63 	63 
002548 	137 	21 	75 	76 
002549 	137 	21 	75 	76 
002550 	145 	38 	76 	75 
002551 	153 	38 	76 	75 
002552 	153 	46 	76 	76 
002553 	162 	54 	75 	76 
002554 	170 	54 	75 	76 
002555 	170 	54 	75 	76 
002556 	178 	54 	76 	76 
002557 	178 	54 	76 	76 
002558 	178 	46 	76 	76 
002559 	178 	46 	76 	76 
002560 	186 	46 	76 	76 
002561 	186 	54 	76 	76 
002562 	186 	54 	76 	76 
002563 	186 	54 	76 	76 
002564 	186 	62 	76 	76 
002565 	184 	55 	91 	91 
002566 	184 	55 	91 	91 
002567 	184 	55 	91 	91 
002568 	184 	65 	91 	91 
002569 	184 	65 	91 	91 
002570 	195 	62 	75 	76 
002571 	195 	62 	75 	76 
002572 	195 	62 	75 	76 
002573 	195 	62 	75 	76 
002574 	203 	62 	76 	76 
002575 	203 	71 	76 	75 
002576 	203 	71 	76 	75 
002577 	203 	71 	76 	75 
002578 	203 	71 	76 	75 
002579 	203 	71 	76 	75 
002580 	195 	71 	75 	75 
002581 	195 	71 	75 	75 
002582 	195 	71 	75 	75 
002583 	186 	71 	76 	75 
002584 	186 	71 	76 	75 
002585 	186 	71 	76 	75 
002586 	178 	71 	76 	75 
002587 	170 	71 	75 	75 
002588 	170 	71 	75 	75 
002589 	170 	71 	75 	75 
002590 	162 	71 	75 	75 
002591 	153 	62 	76 	76 
002592 	153 	71 	76 	75 
002593 	145 	71 	76 	75 
002594 	145 	71 	76 	75 
002595 	145 	79 	76 	76 
002596 	145 	79 	76 	76 
002597 	145 	79 	76 	76 
002598 	145 	79 	76 	76 
002599 	145 	79 	76 	76 
002600 	145 	71 	76 	75 
002601 	145 	71 	76 	75 
002602 	144 	65 	91 	91 
002603 	153 	71 	76 	75 
002604 	153 	71 	76 	75 
002605 	162 	71 	75 	75 
002606 	162 	71 	75 	75 
002607 	170 	71 	75 	75 
002608 	170 	71 	75 	75 
002609 	170 	71 	75 	75 
002610 	178 	71 	76 	75 
002611 	178 	71 	76 	75 
002612 	178 	71 	76 	75 
002613 	178 	62 	76 	76 
002614 	178 	62 	76 	76 
002615 	178 	62 	76 	76 
002616 	178 	62 	76 	76 
002617 	178 	62 	76 	76 
002618 	178 	62 	76 	76 
002619 	178 	62 	76 	76 
002620 	170 	62 	75 	76 
002621 	170 	62 	75 	76 
002622 	170 	62 	75 	76 
002623 	170 	62 	75 	76 
002624 	170 	71 	75 	75 
002625 	170 	71 	75 	75 
002626 	170 	71 	75 	75 
002627 	170 	71 	75 	75 
002628 	170 	71 	75 	75 
002629 	170 	71 	75 	75 
002630 	170 	71 	75 	75 
002631 	170 	71 	75 	75 
002632 	170 	71 	75 	75 
002633 	162 	71 	75 	75 
002634 	162 	71 	75 	75 
002635 	162 	71 	75 	75 
002636 	162 	71 	75 	75 
002637 	162 	71 	75 	75 
002638 	162 	71 	75 	75 
002639 	162 	71 	75 	75 
002640 	162 	71 	75 	75 
002641 	170 	71 	75 	75 
002642 	170 	71 	75 	75 
