Identity  : 	id10446
Reference : 	JBl5rJuQKRo
Offset    : 	-4
FV Conf   : 	21.350
ASD Conf  : 	6.427

FRAME 	X 	Y 	W 	H 
013337 	197 	90 	109 	109 
013338 	197 	90 	109 	109 
013339 	197 	90 	109 	109 
013340 	197 	90 	109 	109 
013341 	197 	90 	109 	109 
013342 	197 	90 	109 	109 
013343 	197 	90 	109 	109 
013344 	185 	90 	109 	109 
013345 	185 	90 	109 	109 
013346 	185 	90 	109 	109 
013347 	185 	90 	109 	109 
013348 	185 	90 	109 	109 
013349 	185 	90 	109 	109 
013350 	185 	90 	109 	109 
013351 	185 	90 	109 	109 
013352 	185 	90 	109 	109 
013353 	185 	90 	109 	109 
013354 	185 	90 	109 	109 
013355 	185 	90 	109 	109 
013356 	185 	90 	109 	109 
013357 	197 	90 	109 	109 
013358 	197 	90 	109 	109 
013359 	197 	90 	109 	109 
013360 	197 	90 	109 	109 
013361 	197 	90 	109 	109 
013362 	197 	90 	109 	109 
013363 	197 	90 	109 	109 
013364 	197 	90 	109 	109 
013365 	197 	90 	109 	109 
013366 	197 	90 	109 	109 
013367 	209 	78 	109 	109 
013368 	209 	78 	109 	109 
013369 	221 	90 	109 	109 
013370 	221 	90 	109 	109 
013371 	221 	90 	109 	109 
013372 	221 	90 	109 	109 
013373 	221 	90 	109 	109 
013374 	221 	90 	109 	109 
013375 	221 	102 	109 	109 
013376 	221 	102 	109 	109 
013377 	221 	102 	109 	109 
013378 	208 	94 	130 	130 
013379 	209 	102 	109 	109 
013380 	209 	102 	109 	109 
013381 	209 	102 	109 	109 
013382 	209 	90 	109 	109 
013383 	209 	90 	109 	109 
013384 	209 	90 	109 	109 
013385 	209 	90 	109 	109 
013386 	209 	90 	109 	109 
013387 	209 	90 	109 	109 
013388 	209 	90 	109 	109 
013389 	209 	90 	109 	109 
013390 	197 	78 	109 	109 
013391 	197 	78 	109 	109 
013392 	197 	78 	109 	109 
013393 	197 	78 	109 	109 
013394 	197 	78 	109 	109 
013395 	197 	78 	109 	109 
013396 	197 	78 	109 	109 
013397 	197 	90 	109 	109 
013398 	197 	90 	109 	109 
013399 	197 	90 	109 	109 
013400 	197 	90 	109 	109 
013401 	197 	90 	109 	109 
013402 	185 	90 	109 	109 
013403 	185 	90 	109 	109 
013404 	185 	90 	109 	109 
013405 	173 	78 	109 	109 
013406 	173 	78 	109 	109 
013407 	173 	78 	109 	109 
013408 	173 	78 	109 	109 
013409 	173 	78 	109 	109 
013410 	185 	78 	109 	109 
013411 	185 	78 	109 	109 
013412 	185 	78 	109 	109 
013413 	185 	78 	109 	109 
013414 	185 	78 	109 	109 
013415 	185 	78 	109 	109 
013416 	185 	78 	109 	109 
013417 	185 	78 	109 	109 
013418 	185 	78 	109 	109 
013419 	185 	78 	109 	109 
013420 	185 	78 	109 	109 
013421 	185 	78 	109 	109 
013422 	185 	78 	109 	109 
013423 	185 	78 	109 	109 
013424 	185 	78 	109 	109 
013425 	185 	78 	109 	109 
013426 	185 	78 	109 	109 
013427 	185 	78 	109 	109 
013428 	185 	78 	109 	109 
013429 	185 	78 	109 	109 
013430 	197 	78 	109 	109 
013431 	197 	78 	109 	109 
013432 	197 	78 	109 	109 
013433 	197 	78 	109 	109 
013434 	197 	78 	109 	109 
013435 	197 	90 	109 	109 
013436 	197 	90 	109 	109 
013437 	197 	90 	109 	109 
013438 	197 	90 	109 	109 
013439 	197 	90 	109 	109 
013440 	197 	78 	109 	109 
013441 	197 	90 	109 	109 
013442 	197 	90 	109 	109 
013443 	197 	90 	109 	109 
013444 	197 	78 	109 	109 
013445 	197 	90 	109 	109 
013446 	197 	90 	109 	109 
013447 	197 	90 	109 	109 
013448 	197 	90 	109 	109 
013449 	197 	90 	109 	109 
013450 	197 	90 	109 	109 
013451 	197 	90 	109 	109 
013452 	197 	90 	109 	109 
013453 	197 	90 	109 	109 
013454 	197 	90 	109 	109 
013455 	197 	90 	109 	109 
013456 	197 	90 	109 	109 
013457 	197 	90 	109 	109 
013458 	197 	90 	109 	109 
013459 	197 	90 	109 	109 
013460 	197 	90 	109 	109 
013461 	197 	78 	109 	109 
013462 	197 	78 	109 	109 
013463 	197 	78 	109 	109 
013464 	194 	66 	130 	130 
013465 	209 	78 	109 	109 
