Identity  : 	id10466
Reference : 	1aPs7iPLsNM
Offset    : 	0
FV Conf   : 	18.918
ASD Conf  : 	6.523

FRAME 	X 	Y 	W 	H 
004726 	329 	90 	108 	109 
004727 	323 	80 	130 	130 
004728 	323 	80 	130 	130 
004729 	323 	80 	130 	130 
004730 	329 	78 	108 	109 
004731 	329 	78 	108 	109 
004732 	323 	66 	130 	130 
004733 	341 	78 	108 	109 
004734 	341 	78 	108 	109 
004735 	341 	78 	108 	109 
004736 	337 	66 	130 	130 
004737 	337 	66 	130 	130 
004738 	337 	66 	130 	130 
004739 	337 	66 	130 	130 
004740 	337 	66 	130 	130 
004741 	337 	66 	130 	130 
004742 	337 	66 	130 	130 
004743 	337 	66 	130 	130 
004744 	337 	66 	130 	130 
004745 	353 	66 	108 	109 
004746 	337 	66 	130 	130 
004747 	353 	78 	108 	109 
004748 	353 	78 	108 	109 
004749 	353 	78 	108 	109 
004750 	353 	78 	108 	109 
004751 	353 	78 	108 	109 
004752 	353 	78 	108 	109 
004753 	353 	78 	108 	109 
004754 	353 	78 	108 	109 
004755 	353 	78 	108 	109 
004756 	353 	78 	108 	109 
004757 	353 	78 	108 	109 
004758 	353 	78 	108 	109 
004759 	353 	78 	108 	109 
004760 	353 	78 	108 	109 
004761 	353 	78 	108 	109 
004762 	353 	78 	108 	109 
004763 	353 	78 	108 	109 
004764 	353 	78 	108 	109 
004765 	353 	78 	108 	109 
004766 	353 	78 	108 	109 
004767 	353 	78 	108 	109 
004768 	353 	78 	108 	109 
004769 	353 	78 	108 	109 
004770 	353 	78 	108 	109 
004771 	353 	78 	108 	109 
004772 	353 	78 	108 	109 
004773 	353 	78 	108 	109 
004774 	337 	66 	130 	130 
004775 	337 	66 	130 	130 
004776 	337 	66 	130 	130 
004777 	337 	66 	130 	130 
004778 	337 	66 	130 	130 
004779 	341 	78 	108 	109 
004780 	341 	78 	108 	109 
004781 	341 	78 	108 	109 
004782 	341 	78 	108 	109 
004783 	341 	78 	108 	109 
004784 	341 	78 	108 	109 
004785 	341 	78 	108 	109 
004786 	341 	78 	108 	109 
004787 	341 	78 	108 	109 
004788 	341 	78 	108 	109 
004789 	341 	78 	108 	109 
004790 	341 	78 	108 	109 
004791 	341 	78 	108 	109 
004792 	341 	78 	108 	109 
004793 	341 	78 	108 	109 
004794 	341 	78 	108 	109 
004795 	341 	78 	108 	109 
004796 	341 	78 	108 	109 
004797 	341 	78 	108 	109 
004798 	341 	78 	108 	109 
004799 	341 	78 	108 	109 
004800 	341 	78 	108 	109 
004801 	323 	66 	130 	130 
004802 	341 	78 	108 	109 
004803 	323 	80 	130 	130 
004804 	323 	80 	130 	130 
004805 	329 	90 	108 	109 
004806 	329 	90 	108 	109 
004807 	309 	66 	130 	130 
004808 	309 	66 	130 	130 
004809 	317 	90 	108 	109 
004810 	317 	90 	108 	109 
004811 	317 	90 	108 	109 
004812 	317 	102 	108 	109 
004813 	305 	102 	108 	109 
004814 	305 	102 	108 	109 
004815 	305 	102 	108 	109 
004816 	305 	102 	108 	109 
004817 	305 	102 	108 	109 
004818 	305 	102 	108 	109 
004819 	305 	102 	108 	109 
004820 	317 	102 	108 	109 
004821 	317 	102 	108 	109 
004822 	317 	102 	108 	109 
004823 	317 	90 	108 	109 
004824 	317 	90 	108 	109 
004825 	329 	90 	108 	109 
004826 	329 	90 	108 	109 
004827 	329 	90 	108 	109 
004828 	323 	80 	130 	130 
004829 	341 	90 	108 	109 
004830 	341 	78 	108 	109 
004831 	341 	78 	108 	109 
004832 	337 	80 	130 	130 
004833 	337 	80 	130 	130 
004834 	353 	78 	108 	109 
004835 	353 	78 	108 	109 
004836 	353 	78 	108 	109 
004837 	337 	66 	130 	130 
