Identity  : 	id10466
Reference : 	Oa-gvLYpOec
Offset    : 	-2
FV Conf   : 	14.947
ASD Conf  : 	6.773

FRAME 	X 	Y 	W 	H 
004552 	138 	78 	108 	109 
004553 	138 	78 	108 	109 
004554 	138 	78 	108 	109 
004555 	138 	78 	108 	109 
004556 	138 	78 	108 	109 
004557 	138 	78 	108 	109 
004558 	138 	78 	108 	109 
004559 	138 	78 	108 	109 
004560 	138 	78 	108 	109 
004561 	138 	78 	108 	109 
004562 	138 	78 	108 	109 
004563 	154 	75 	91 	91 
004564 	154 	75 	91 	91 
004565 	154 	75 	91 	91 
004566 	154 	75 	91 	91 
004567 	154 	75 	91 	91 
004568 	154 	75 	91 	91 
004569 	154 	75 	91 	91 
004570 	154 	75 	91 	91 
004571 	154 	75 	91 	91 
004572 	154 	75 	91 	91 
004573 	150 	66 	108 	109 
004574 	150 	66 	108 	109 
004575 	150 	66 	108 	109 
004576 	150 	66 	108 	109 
004577 	150 	66 	108 	109 
004578 	150 	66 	108 	109 
004579 	164 	75 	91 	91 
004580 	164 	75 	91 	91 
004581 	151 	51 	130 	130 
004582 	151 	51 	130 	130 
004583 	151 	51 	130 	130 
004584 	151 	51 	130 	130 
004585 	151 	51 	130 	130 
004586 	151 	51 	130 	130 
004587 	161 	66 	109 	109 
004588 	151 	51 	130 	130 
004589 	151 	51 	130 	130 
004590 	151 	51 	130 	130 
004591 	161 	66 	109 	109 
004592 	161 	66 	109 	109 
004593 	161 	66 	109 	109 
004594 	161 	66 	109 	109 
004595 	161 	66 	109 	109 
004596 	161 	66 	109 	109 
004597 	161 	66 	109 	109 
004598 	161 	66 	109 	109 
004599 	161 	66 	109 	109 
004600 	151 	66 	130 	130 
004601 	161 	66 	109 	109 
004602 	151 	66 	130 	130 
004603 	161 	78 	109 	109 
004604 	161 	66 	109 	109 
004605 	161 	78 	109 	109 
004606 	161 	78 	109 	109 
004607 	161 	78 	109 	109 
004608 	161 	78 	109 	109 
004609 	164 	85 	91 	91 
004610 	164 	85 	91 	91 
004611 	150 	78 	108 	109 
004612 	150 	78 	108 	109 
004613 	150 	78 	108 	109 
004614 	150 	78 	108 	109 
004615 	150 	78 	108 	109 
004616 	150 	78 	108 	109 
004617 	150 	78 	108 	109 
004618 	150 	78 	108 	109 
004619 	150 	78 	108 	109 
004620 	150 	78 	108 	109 
004621 	164 	85 	91 	91 
004622 	164 	85 	91 	91 
004623 	164 	85 	91 	91 
004624 	164 	85 	91 	91 
004625 	164 	85 	91 	91 
004626 	164 	85 	91 	91 
004627 	150 	78 	108 	109 
004628 	150 	78 	108 	109 
004629 	150 	78 	108 	109 
004630 	161 	78 	109 	109 
004631 	161 	78 	109 	109 
004632 	161 	66 	109 	109 
004633 	163 	58 	120 	120 
004634 	165 	51 	130 	130 
004635 	165 	51 	130 	130 
004636 	165 	51 	130 	130 
004637 	165 	51 	130 	130 
004638 	165 	51 	130 	130 
004639 	165 	51 	130 	130 
004640 	165 	51 	130 	130 
004641 	165 	51 	130 	130 
004642 	165 	51 	130 	130 
004643 	165 	51 	130 	130 
004644 	165 	51 	130 	130 
004645 	165 	51 	130 	130 
004646 	165 	51 	130 	130 
004647 	165 	51 	130 	130 
004648 	165 	51 	130 	130 
004649 	165 	51 	130 	130 
004650 	165 	51 	130 	130 
004651 	165 	51 	130 	130 
004652 	165 	51 	130 	130 
004653 	165 	51 	130 	130 
004654 	180 	51 	130 	130 
004655 	180 	51 	130 	130 
004656 	180 	51 	130 	130 
004657 	180 	51 	130 	130 
004658 	180 	51 	130 	130 
004659 	180 	51 	130 	130 
004660 	180 	51 	130 	130 
004661 	180 	51 	130 	130 
004662 	180 	51 	130 	130 
004663 	180 	51 	130 	130 
004664 	180 	51 	130 	130 
004665 	165 	51 	130 	130 
004666 	165 	51 	130 	130 
004667 	165 	51 	130 	130 
004668 	173 	66 	109 	109 
004669 	173 	66 	109 	109 
004670 	173 	66 	109 	109 
004671 	173 	66 	109 	109 
004672 	174 	85 	91 	91 
004673 	174 	85 	91 	91 
004674 	174 	85 	91 	91 
004675 	161 	78 	109 	109 
004676 	161 	78 	109 	109 
004677 	174 	85 	91 	91 
004678 	174 	85 	91 	91 
004679 	174 	85 	91 	91 
004680 	174 	85 	91 	91 
004681 	174 	85 	91 	91 
004682 	174 	85 	91 	91 
004683 	173 	66 	109 	109 
004684 	173 	66 	109 	109 
004685 	173 	66 	109 	109 
004686 	161 	66 	109 	109 
004687 	161 	66 	109 	109 
004688 	161 	66 	109 	109 
004689 	161 	66 	109 	109 
004690 	161 	66 	109 	109 
004691 	161 	66 	109 	109 
004692 	161 	66 	109 	109 
004693 	161 	66 	109 	109 
004694 	161 	66 	109 	109 
004695 	161 	66 	109 	109 
004696 	161 	66 	109 	109 
004697 	161 	66 	109 	109 
004698 	161 	66 	109 	109 
004699 	161 	66 	109 	109 
004700 	161 	66 	109 	109 
004701 	161 	66 	109 	109 
004702 	161 	66 	109 	109 
004703 	161 	66 	109 	109 
004704 	164 	75 	91 	91 
004705 	164 	75 	91 	91 
004706 	164 	75 	91 	91 
004707 	161 	66 	109 	109 
004708 	161 	66 	109 	109 
004709 	161 	66 	109 	109 
004710 	161 	66 	109 	109 
004711 	161 	66 	109 	109 
004712 	161 	66 	109 	109 
004713 	161 	66 	109 	109 
004714 	161 	66 	109 	109 
004715 	161 	66 	109 	109 
004716 	161 	66 	109 	109 
004717 	161 	66 	109 	109 
004718 	161 	66 	109 	109 
004719 	161 	66 	109 	109 
004720 	161 	66 	109 	109 
004721 	161 	66 	109 	109 
004722 	161 	66 	109 	109 
004723 	161 	66 	109 	109 
004724 	161 	66 	109 	109 
004725 	161 	66 	109 	109 
004726 	161 	66 	109 	109 
004727 	161 	66 	109 	109 
004728 	161 	66 	109 	109 
004729 	161 	66 	109 	109 
004730 	161 	66 	109 	109 
004731 	161 	66 	109 	109 
004732 	161 	66 	109 	109 
004733 	161 	66 	109 	109 
004734 	161 	66 	109 	109 
004735 	161 	66 	109 	109 
004736 	161 	54 	109 	109 
004737 	161 	66 	109 	109 
004738 	161 	66 	109 	109 
004739 	151 	51 	130 	130 
004740 	151 	51 	130 	130 
004741 	151 	51 	130 	130 
004742 	161 	66 	109 	109 
004743 	151 	51 	130 	130 
004744 	161 	66 	109 	109 
004745 	161 	66 	109 	109 
004746 	151 	51 	130 	130 
004747 	161 	66 	109 	109 
004748 	161 	66 	109 	109 
004749 	161 	66 	109 	109 
004750 	173 	66 	109 	109 
004751 	173 	66 	109 	109 
004752 	173 	66 	109 	109 
004753 	173 	66 	109 	109 
004754 	173 	66 	109 	109 
004755 	173 	78 	109 	109 
004756 	173 	78 	109 	109 
004757 	173 	78 	109 	109 
004758 	173 	78 	109 	109 
004759 	165 	66 	130 	130 
