Identity  : 	id10468
Reference : 	Nn016LX4nUE
Offset    : 	1
FV Conf   : 	17.470
ASD Conf  : 	7.179

FRAME 	X 	Y 	W 	H 
002721 	180 	109 	130 	130 
002722 	165 	109 	130 	130 
002723 	165 	94 	130 	130 
002724 	165 	94 	130 	130 
002725 	165 	94 	130 	130 
002726 	165 	94 	130 	130 
002727 	165 	94 	130 	130 
002728 	165 	94 	130 	130 
002729 	165 	94 	130 	130 
002730 	165 	94 	130 	130 
002731 	165 	94 	130 	130 
002732 	165 	94 	130 	130 
002733 	165 	94 	130 	130 
002734 	165 	94 	130 	130 
002735 	180 	94 	130 	130 
002736 	180 	109 	130 	130 
002737 	180 	94 	130 	130 
002738 	180 	109 	130 	130 
002739 	180 	109 	130 	130 
002740 	180 	94 	130 	130 
002741 	180 	94 	130 	130 
002742 	165 	94 	130 	130 
002743 	165 	94 	130 	130 
002744 	165 	94 	130 	130 
002745 	165 	94 	130 	130 
002746 	165 	94 	130 	130 
002747 	165 	94 	130 	130 
002748 	165 	94 	130 	130 
002749 	165 	94 	130 	130 
002750 	165 	94 	130 	130 
002751 	180 	94 	130 	130 
002752 	180 	94 	130 	130 
002753 	180 	94 	130 	130 
002754 	180 	94 	130 	130 
002755 	180 	94 	130 	130 
002756 	180 	94 	130 	130 
002757 	180 	94 	130 	130 
002758 	180 	94 	130 	130 
002759 	180 	94 	130 	130 
002760 	180 	94 	130 	130 
002761 	180 	94 	130 	130 
002762 	180 	94 	130 	130 
002763 	180 	94 	130 	130 
002764 	180 	94 	130 	130 
002765 	180 	94 	130 	130 
002766 	180 	94 	130 	130 
002767 	180 	94 	130 	130 
002768 	180 	109 	130 	130 
002769 	194 	109 	130 	130 
002770 	194 	109 	130 	130 
002771 	194 	109 	130 	130 
002772 	194 	109 	130 	130 
002773 	194 	109 	130 	130 
002774 	194 	109 	130 	130 
002775 	194 	109 	130 	130 
002776 	194 	109 	130 	130 
002777 	194 	109 	130 	130 
002778 	194 	109 	130 	130 
002779 	194 	109 	130 	130 
002780 	194 	109 	130 	130 
002781 	194 	109 	130 	130 
002782 	194 	109 	130 	130 
002783 	194 	109 	130 	130 
002784 	194 	109 	130 	130 
002785 	194 	109 	130 	130 
002786 	180 	109 	130 	130 
002787 	180 	109 	130 	130 
002788 	180 	109 	130 	130 
002789 	180 	109 	130 	130 
002790 	180 	109 	130 	130 
002791 	180 	109 	130 	130 
002792 	180 	109 	130 	130 
002793 	180 	109 	130 	130 
002794 	180 	109 	130 	130 
002795 	180 	109 	130 	130 
002796 	180 	109 	130 	130 
002797 	180 	109 	130 	130 
002798 	180 	123 	130 	130 
002799 	180 	109 	130 	130 
002800 	180 	123 	130 	130 
002801 	180 	109 	130 	130 
002802 	180 	123 	130 	130 
002803 	180 	123 	130 	130 
002804 	180 	123 	130 	130 
002805 	180 	109 	130 	130 
002806 	180 	109 	130 	130 
002807 	194 	123 	130 	130 
002808 	194 	123 	130 	130 
002809 	194 	123 	130 	130 
002810 	194 	123 	130 	130 
002811 	194 	109 	130 	130 
002812 	194 	109 	130 	130 
002813 	194 	109 	130 	130 
002814 	194 	109 	130 	130 
002815 	208 	94 	130 	130 
002816 	208 	94 	130 	130 
002817 	208 	109 	130 	130 
002818 	208 	109 	130 	130 
002819 	208 	109 	130 	130 
002820 	208 	109 	130 	130 
002821 	208 	109 	130 	130 
002822 	208 	109 	130 	130 
002823 	208 	109 	130 	130 
002824 	208 	109 	130 	130 
002825 	208 	109 	130 	130 
002826 	194 	109 	130 	130 
002827 	194 	109 	130 	130 
002828 	194 	109 	130 	130 
002829 	194 	109 	130 	130 
002830 	194 	109 	130 	130 
002831 	194 	109 	130 	130 
002832 	194 	109 	130 	130 
002833 	194 	109 	130 	130 
002834 	194 	109 	130 	130 
002835 	194 	109 	130 	130 
