Identity  : 	id10477
Reference : 	4iPKtQZT3JM
Offset    : 	-2
FV Conf   : 	21.670
ASD Conf  : 	6.597

FRAME 	X 	Y 	W 	H 
002086 	394 	62 	75 	76 
002087 	394 	62 	75 	76 
002088 	394 	62 	75 	76 
002089 	393 	55 	91 	91 
002090 	402 	62 	76 	76 
002091 	402 	62 	76 	76 
002092 	393 	55 	91 	91 
002093 	393 	55 	91 	91 
002094 	402 	62 	76 	76 
002095 	402 	62 	76 	76 
002096 	410 	62 	76 	76 
002097 	410 	62 	76 	76 
002098 	403 	65 	91 	91 
002099 	413 	65 	91 	91 
002100 	413 	65 	91 	91 
002101 	413 	65 	91 	91 
002102 	413 	65 	91 	91 
002103 	413 	65 	91 	91 
002104 	413 	65 	91 	91 
002105 	413 	65 	91 	91 
002106 	413 	65 	91 	91 
002107 	403 	55 	91 	91 
002108 	402 	54 	76 	76 
002109 	402 	54 	76 	76 
002110 	402 	54 	76 	76 
002111 	402 	54 	76 	76 
002112 	410 	62 	76 	76 
002113 	403 	55 	91 	91 
002114 	419 	62 	75 	76 
002115 	419 	62 	75 	76 
002116 	413 	55 	91 	91 
002117 	403 	55 	91 	91 
002118 	393 	55 	91 	91 
002119 	383 	55 	91 	91 
002120 	383 	55 	91 	91 
002121 	385 	54 	76 	76 
002122 	385 	54 	76 	76 
002123 	373 	55 	91 	91 
002124 	377 	62 	76 	76 
002125 	377 	62 	76 	76 
002126 	377 	62 	76 	76 
002127 	377 	62 	76 	76 
002128 	369 	62 	76 	76 
002129 	369 	62 	76 	76 
002130 	369 	62 	76 	76 
002131 	369 	62 	76 	76 
002132 	369 	62 	76 	76 
002133 	369 	62 	76 	76 
002134 	369 	62 	76 	76 
002135 	369 	62 	76 	76 
002136 	369 	62 	76 	76 
002137 	369 	62 	76 	76 
002138 	369 	62 	76 	76 
002139 	363 	55 	91 	91 
002140 	377 	62 	76 	76 
002141 	377 	62 	76 	76 
002142 	377 	62 	76 	76 
002143 	377 	62 	76 	76 
002144 	373 	55 	91 	91 
002145 	373 	55 	91 	91 
002146 	373 	55 	91 	91 
002147 	373 	55 	91 	91 
002148 	385 	62 	76 	76 
002149 	385 	62 	76 	76 
002150 	385 	62 	76 	76 
002151 	385 	62 	76 	76 
002152 	385 	62 	76 	76 
002153 	385 	62 	76 	76 
002154 	385 	54 	76 	76 
002155 	385 	54 	76 	76 
002156 	385 	54 	76 	76 
002157 	385 	54 	76 	76 
002158 	385 	62 	76 	76 
002159 	385 	54 	76 	76 
002160 	385 	62 	76 	76 
002161 	373 	55 	91 	91 
002162 	373 	55 	91 	91 
002163 	373 	55 	91 	91 
002164 	373 	55 	91 	91 
002165 	373 	55 	91 	91 
002166 	373 	55 	91 	91 
002167 	373 	55 	91 	91 
002168 	373 	55 	91 	91 
002169 	373 	55 	91 	91 
002170 	373 	55 	91 	91 
002171 	377 	54 	76 	76 
002172 	377 	54 	76 	76 
002173 	377 	54 	76 	76 
002174 	377 	54 	76 	76 
002175 	377 	54 	76 	76 
002176 	377 	54 	76 	76 
002177 	377 	54 	76 	76 
002178 	377 	62 	76 	76 
002179 	373 	55 	91 	91 
002180 	373 	55 	91 	91 
002181 	385 	62 	76 	76 
002182 	385 	62 	76 	76 
002183 	373 	45 	91 	91 
002184 	385 	54 	76 	76 
002185 	373 	45 	91 	91 
002186 	373 	45 	91 	91 
002187 	373 	45 	91 	91 
002188 	373 	55 	91 	91 
002189 	373 	55 	91 	91 
002190 	377 	62 	76 	76 
002191 	377 	62 	76 	76 
002192 	369 	62 	76 	76 
002193 	369 	62 	76 	76 
002194 	369 	62 	76 	76 
002195 	369 	62 	76 	76 
002196 	369 	62 	76 	76 
002197 	369 	62 	76 	76 
002198 	369 	62 	76 	76 
002199 	369 	71 	76 	75 
002200 	369 	71 	76 	75 
002201 	369 	62 	76 	76 
002202 	369 	62 	76 	76 
002203 	369 	62 	76 	76 
002204 	369 	62 	76 	76 
002205 	369 	62 	76 	76 
002206 	369 	62 	76 	76 
002207 	369 	71 	76 	75 
002208 	369 	71 	76 	75 
002209 	369 	71 	76 	75 
002210 	369 	62 	76 	76 
002211 	369 	62 	76 	76 
002212 	369 	62 	76 	76 
002213 	369 	62 	76 	76 
002214 	369 	62 	76 	76 
002215 	369 	62 	76 	76 
002216 	369 	62 	76 	76 
002217 	369 	62 	76 	76 
002218 	369 	62 	76 	76 
002219 	369 	62 	76 	76 
002220 	369 	62 	76 	76 
002221 	369 	62 	76 	76 
002222 	369 	62 	76 	76 
002223 	369 	62 	76 	76 
002224 	369 	71 	76 	75 
002225 	369 	71 	76 	75 
002226 	369 	71 	76 	75 
002227 	369 	71 	76 	75 
002228 	369 	71 	76 	75 
002229 	369 	71 	76 	75 
002230 	369 	71 	76 	75 
002231 	369 	62 	76 	76 
002232 	369 	62 	76 	76 
002233 	369 	62 	76 	76 
002234 	369 	62 	76 	76 
002235 	363 	65 	91 	91 
002236 	377 	71 	76 	75 
002237 	377 	71 	76 	75 
002238 	377 	71 	76 	75 
002239 	363 	65 	91 	91 
002240 	369 	62 	76 	76 
002241 	369 	62 	76 	76 
002242 	363 	55 	91 	91 
002243 	363 	55 	91 	91 
002244 	377 	54 	76 	76 
002245 	363 	55 	91 	91 
002246 	377 	62 	76 	76 
002247 	377 	62 	76 	76 
002248 	369 	62 	76 	76 
002249 	369 	71 	76 	75 
002250 	369 	71 	76 	75 
002251 	369 	71 	76 	75 
002252 	369 	71 	76 	75 
002253 	369 	71 	76 	75 
002254 	369 	79 	76 	76 
002255 	369 	79 	76 	76 
002256 	369 	79 	76 	76 
002257 	369 	79 	76 	76 
002258 	369 	79 	76 	76 
002259 	369 	79 	76 	76 
002260 	369 	79 	76 	76 
002261 	363 	75 	91 	91 
002262 	369 	87 	76 	76 
002263 	369 	87 	76 	76 
002264 	369 	87 	76 	76 
002265 	369 	87 	76 	76 
002266 	369 	87 	76 	76 
002267 	369 	87 	76 	76 
002268 	369 	87 	76 	76 
002269 	369 	96 	76 	75 
002270 	369 	96 	76 	75 
002271 	369 	96 	76 	75 
002272 	369 	96 	76 	75 
002273 	369 	96 	76 	75 
002274 	369 	96 	76 	75 
002275 	361 	96 	75 	75 
002276 	361 	96 	75 	75 
002277 	361 	96 	75 	75 
002278 	361 	96 	75 	75 
002279 	361 	87 	75 	76 
002280 	361 	87 	75 	76 
002281 	361 	87 	75 	76 
002282 	361 	87 	75 	76 
002283 	361 	87 	75 	76 
002284 	361 	87 	75 	76 
002285 	369 	87 	76 	76 
002286 	369 	87 	76 	76 
002287 	369 	87 	76 	76 
002288 	369 	87 	76 	76 
002289 	369 	87 	76 	76 
002290 	369 	87 	76 	76 
002291 	369 	87 	76 	76 
002292 	377 	87 	76 	76 
002293 	377 	87 	76 	76 
002294 	377 	87 	76 	76 
002295 	377 	87 	76 	76 
002296 	377 	87 	76 	76 
002297 	377 	87 	76 	76 
002298 	377 	87 	76 	76 
002299 	385 	87 	76 	76 
002300 	385 	87 	76 	76 
002301 	385 	87 	76 	76 
002302 	385 	87 	76 	76 
002303 	385 	87 	76 	76 
002304 	394 	87 	75 	76 
002305 	394 	87 	75 	76 
002306 	394 	87 	75 	76 
002307 	394 	87 	75 	76 
002308 	394 	87 	75 	76 
002309 	394 	87 	75 	76 
002310 	394 	87 	75 	76 
002311 	402 	87 	76 	76 
