Identity  : 	id10484
Reference : 	3W3MJ_mdurg
Offset    : 	2
FV Conf   : 	15.217
ASD Conf  : 	7.448

FRAME 	X 	Y 	W 	H 
000882 	209 	66 	109 	109 
000883 	209 	66 	109 	109 
000884 	194 	51 	130 	130 
000885 	194 	51 	130 	130 
000886 	194 	51 	130 	130 
000887 	194 	51 	130 	130 
000888 	194 	51 	130 	130 
000889 	194 	51 	130 	130 
000890 	209 	66 	109 	109 
000891 	209 	66 	109 	109 
000892 	209 	66 	109 	109 
000893 	209 	66 	109 	109 
000894 	209 	54 	109 	109 
000895 	209 	54 	109 	109 
000896 	209 	54 	109 	109 
000897 	209 	54 	109 	109 
000898 	209 	54 	109 	109 
000899 	209 	54 	109 	109 
000900 	209 	54 	109 	109 
000901 	209 	54 	109 	109 
000902 	209 	54 	109 	109 
000903 	209 	54 	109 	109 
000904 	209 	54 	109 	109 
000905 	209 	54 	109 	109 
000906 	209 	54 	109 	109 
000907 	209 	54 	109 	109 
000908 	209 	54 	109 	109 
000909 	209 	54 	109 	109 
000910 	209 	54 	109 	109 
000911 	209 	54 	109 	109 
000912 	194 	51 	130 	130 
000913 	194 	51 	130 	130 
000914 	209 	66 	109 	109 
000915 	209 	66 	109 	109 
000916 	209 	66 	109 	109 
000917 	209 	66 	109 	109 
000918 	209 	66 	109 	109 
000919 	209 	66 	109 	109 
000920 	209 	66 	109 	109 
000921 	209 	66 	109 	109 
000922 	209 	66 	109 	109 
000923 	209 	66 	109 	109 
000924 	209 	66 	109 	109 
000925 	209 	66 	109 	109 
000926 	209 	66 	109 	109 
000927 	209 	66 	109 	109 
000928 	209 	66 	109 	109 
000929 	209 	66 	109 	109 
000930 	209 	66 	109 	109 
000931 	209 	66 	109 	109 
000932 	208 	51 	130 	130 
000933 	209 	66 	109 	109 
000934 	208 	51 	130 	130 
000935 	208 	51 	130 	130 
000936 	208 	51 	130 	130 
000937 	208 	51 	130 	130 
000938 	208 	51 	130 	130 
000939 	208 	51 	130 	130 
000940 	208 	51 	130 	130 
000941 	208 	51 	130 	130 
000942 	221 	66 	109 	109 
000943 	221 	66 	109 	109 
000944 	221 	66 	109 	109 
000945 	221 	66 	109 	109 
000946 	221 	66 	109 	109 
000947 	221 	66 	109 	109 
000948 	221 	66 	109 	109 
000949 	221 	66 	109 	109 
000950 	221 	66 	109 	109 
000951 	221 	66 	109 	109 
000952 	221 	66 	109 	109 
000953 	221 	66 	109 	109 
000954 	221 	66 	109 	109 
000955 	221 	66 	109 	109 
000956 	221 	66 	109 	109 
000957 	221 	66 	109 	109 
000958 	221 	66 	109 	109 
000959 	221 	66 	109 	109 
000960 	221 	66 	109 	109 
000961 	221 	66 	109 	109 
000962 	221 	66 	109 	109 
000963 	208 	51 	130 	130 
000964 	208 	51 	130 	130 
000965 	208 	51 	130 	130 
000966 	208 	51 	130 	130 
000967 	208 	51 	130 	130 
000968 	208 	51 	130 	130 
000969 	208 	51 	130 	130 
000970 	208 	51 	130 	130 
000971 	208 	51 	130 	130 
000972 	208 	51 	130 	130 
000973 	208 	51 	130 	130 
000974 	208 	51 	130 	130 
000975 	208 	51 	130 	130 
000976 	208 	51 	130 	130 
000977 	223 	51 	130 	130 
000978 	221 	54 	109 	109 
000979 	221 	54 	109 	109 
000980 	221 	54 	109 	109 
000981 	221 	54 	109 	109 
000982 	221 	54 	109 	109 
000983 	221 	54 	109 	109 
000984 	221 	54 	109 	109 
000985 	221 	54 	109 	109 
000986 	221 	54 	109 	109 
000987 	221 	54 	109 	109 
000988 	221 	54 	109 	109 
000989 	221 	54 	109 	109 
000990 	221 	54 	109 	109 
000991 	221 	54 	109 	109 
000992 	221 	54 	109 	109 
000993 	221 	54 	109 	109 
000994 	221 	54 	109 	109 
000995 	221 	54 	109 	109 
000996 	221 	54 	109 	109 
000997 	221 	54 	109 	109 
000998 	221 	54 	109 	109 
000999 	221 	54 	109 	109 
001000 	221 	54 	109 	109 
001001 	221 	54 	109 	109 
001002 	221 	54 	109 	109 
001003 	221 	54 	109 	109 
001004 	221 	54 	109 	109 
001005 	221 	54 	109 	109 
001006 	221 	54 	109 	109 
001007 	208 	51 	130 	130 
001008 	208 	51 	130 	130 
001009 	221 	54 	109 	109 
001010 	221 	54 	109 	109 
001011 	221 	54 	109 	109 
001012 	221 	54 	109 	109 
001013 	221 	54 	109 	109 
001014 	221 	54 	109 	109 
001015 	221 	54 	109 	109 
001016 	221 	54 	109 	109 
001017 	221 	54 	109 	109 
001018 	208 	51 	130 	130 
001019 	208 	51 	130 	130 
001020 	208 	51 	130 	130 
001021 	209 	54 	109 	109 
001022 	209 	54 	109 	109 
001023 	209 	54 	109 	109 
001024 	209 	54 	109 	109 
001025 	209 	54 	109 	109 
001026 	197 	54 	109 	109 
001027 	197 	54 	109 	109 
001028 	197 	54 	109 	109 
001029 	197 	54 	109 	109 
001030 	185 	54 	109 	109 
001031 	185 	54 	109 	109 
001032 	185 	54 	109 	109 
001033 	185 	54 	109 	109 
001034 	185 	54 	109 	109 
001035 	185 	54 	109 	109 
001036 	173 	54 	109 	109 
