Identity  : 	id10484
Reference : 	HOYeuiXX1ww
Offset    : 	-3
FV Conf   : 	14.169
ASD Conf  : 	8.266

FRAME 	X 	Y 	W 	H 
005287 	266 	80 	130 	130 
005288 	266 	80 	130 	130 
005289 	266 	80 	130 	130 
005290 	266 	80 	130 	130 
005291 	266 	80 	130 	130 
005292 	266 	80 	130 	130 
005293 	266 	80 	130 	130 
005294 	266 	80 	130 	130 
005295 	266 	80 	130 	130 
005296 	266 	80 	130 	130 
005297 	266 	80 	130 	130 
005298 	266 	80 	130 	130 
005299 	266 	80 	130 	130 
005300 	266 	80 	130 	130 
005301 	266 	80 	130 	130 
005302 	266 	80 	130 	130 
005303 	266 	80 	130 	130 
005304 	266 	80 	130 	130 
005305 	266 	80 	130 	130 
005306 	266 	80 	130 	130 
005307 	266 	80 	130 	130 
005308 	266 	80 	130 	130 
005309 	251 	80 	130 	130 
005310 	251 	80 	130 	130 
005311 	251 	80 	130 	130 
005312 	251 	80 	130 	130 
005313 	251 	80 	130 	130 
005314 	251 	80 	130 	130 
005315 	251 	80 	130 	130 
005316 	251 	80 	130 	130 
005317 	251 	80 	130 	130 
005318 	251 	80 	130 	130 
005319 	251 	80 	130 	130 
005320 	251 	80 	130 	130 
005321 	251 	80 	130 	130 
005322 	251 	80 	130 	130 
005323 	251 	80 	130 	130 
005324 	251 	80 	130 	130 
005325 	251 	80 	130 	130 
005326 	251 	80 	130 	130 
005327 	251 	80 	130 	130 
005328 	251 	80 	130 	130 
005329 	251 	80 	130 	130 
005330 	251 	80 	130 	130 
005331 	251 	80 	130 	130 
005332 	251 	80 	130 	130 
005333 	251 	80 	130 	130 
005334 	251 	80 	130 	130 
005335 	251 	66 	130 	130 
005336 	251 	66 	130 	130 
005337 	251 	66 	130 	130 
005338 	251 	66 	130 	130 
005339 	251 	66 	130 	130 
005340 	251 	66 	130 	130 
005341 	251 	66 	130 	130 
005342 	251 	66 	130 	130 
005343 	251 	66 	130 	130 
005344 	251 	66 	130 	130 
005345 	251 	66 	130 	130 
005346 	251 	51 	130 	130 
005347 	251 	51 	130 	130 
005348 	251 	51 	130 	130 
005349 	251 	66 	130 	130 
005350 	251 	66 	130 	130 
005351 	251 	66 	130 	130 
005352 	251 	51 	130 	130 
005353 	251 	51 	130 	130 
005354 	251 	51 	130 	130 
005355 	251 	66 	130 	130 
005356 	251 	66 	130 	130 
005357 	251 	66 	130 	130 
005358 	251 	66 	130 	130 
005359 	251 	66 	130 	130 
005360 	237 	66 	130 	130 
005361 	237 	66 	130 	130 
005362 	237 	66 	130 	130 
005363 	237 	66 	130 	130 
005364 	237 	66 	130 	130 
