Identity  : 	id10486
Reference : 	UsKxf4LQKrg
Offset    : 	1
FV Conf   : 	20.878
ASD Conf  : 	7.812

FRAME 	X 	Y 	W 	H 
050497 	236 	96 	76 	75 
050498 	236 	104 	76 	76 
050499 	244 	104 	76 	76 
050500 	234 	95 	90 	91 
050501 	234 	95 	90 	91 
050502 	234 	95 	90 	91 
050503 	234 	95 	90 	91 
050504 	234 	95 	90 	91 
050505 	244 	104 	76 	76 
050506 	244 	104 	76 	76 
050507 	244 	104 	76 	76 
050508 	244 	104 	76 	76 
050509 	244 	104 	76 	76 
050510 	244 	104 	76 	76 
050511 	244 	104 	76 	76 
050512 	244 	104 	76 	76 
050513 	244 	104 	76 	76 
050514 	244 	104 	76 	76 
050515 	244 	104 	76 	76 
050516 	244 	104 	76 	76 
050517 	244 	104 	76 	76 
050518 	244 	104 	76 	76 
050519 	244 	104 	76 	76 
050520 	244 	104 	76 	76 
050521 	244 	104 	76 	76 
050522 	244 	104 	76 	76 
050523 	244 	104 	76 	76 
050524 	244 	104 	76 	76 
050525 	234 	105 	90 	91 
050526 	234 	105 	90 	91 
050527 	234 	95 	90 	91 
050528 	234 	95 	90 	91 
050529 	234 	95 	90 	91 
050530 	234 	95 	90 	91 
050531 	234 	95 	90 	91 
050532 	234 	105 	90 	91 
050533 	244 	112 	76 	76 
050534 	244 	112 	76 	76 
050535 	244 	112 	76 	76 
050536 	244 	112 	76 	76 
050537 	244 	112 	76 	76 
050538 	244 	112 	76 	76 
050539 	244 	112 	76 	76 
050540 	244 	112 	76 	76 
050541 	244 	112 	76 	76 
050542 	244 	112 	76 	76 
050543 	234 	105 	90 	91 
050544 	236 	112 	76 	76 
050545 	236 	112 	76 	76 
050546 	236 	104 	76 	76 
050547 	236 	104 	76 	76 
050548 	236 	104 	76 	76 
050549 	236 	104 	76 	76 
050550 	236 	104 	76 	76 
050551 	236 	104 	76 	76 
050552 	236 	104 	76 	76 
050553 	236 	104 	76 	76 
050554 	236 	104 	76 	76 
050555 	236 	104 	76 	76 
050556 	236 	104 	76 	76 
050557 	236 	104 	76 	76 
050558 	236 	104 	76 	76 
050559 	236 	104 	76 	76 
050560 	236 	104 	76 	76 
050561 	234 	95 	90 	91 
050562 	234 	95 	90 	91 
050563 	236 	104 	76 	76 
050564 	236 	104 	76 	76 
050565 	236 	104 	76 	76 
050566 	236 	104 	76 	76 
050567 	236 	104 	76 	76 
050568 	236 	104 	76 	76 
050569 	236 	104 	76 	76 
050570 	236 	104 	76 	76 
050571 	236 	104 	76 	76 
050572 	236 	104 	76 	76 
050573 	236 	104 	76 	76 
050574 	236 	104 	76 	76 
050575 	236 	104 	76 	76 
050576 	236 	104 	76 	76 
050577 	236 	104 	76 	76 
050578 	236 	104 	76 	76 
050579 	234 	105 	90 	91 
050580 	234 	105 	90 	91 
050581 	234 	105 	90 	91 
050582 	234 	95 	90 	91 
050583 	234 	105 	90 	91 
050584 	234 	95 	90 	91 
050585 	234 	95 	90 	91 
050586 	236 	104 	76 	76 
050587 	236 	104 	76 	76 
050588 	236 	104 	76 	76 
050589 	236 	104 	76 	76 
050590 	236 	96 	76 	75 
050591 	236 	96 	76 	75 
050592 	236 	96 	76 	75 
050593 	234 	85 	90 	91 
050594 	234 	85 	90 	91 
050595 	244 	104 	76 	76 
050596 	244 	104 	76 	76 
050597 	244 	104 	76 	76 
050598 	253 	104 	75 	76 
050599 	253 	104 	75 	76 
050600 	253 	104 	75 	76 
050601 	253 	104 	75 	76 
050602 	253 	104 	75 	76 
050603 	253 	104 	75 	76 
050604 	244 	105 	90 	91 
050605 	253 	104 	75 	76 
050606 	253 	104 	75 	76 
050607 	244 	104 	76 	76 
050608 	253 	104 	75 	76 
050609 	253 	104 	75 	76 
050610 	253 	104 	75 	76 
050611 	253 	112 	75 	76 
050612 	261 	112 	76 	76 
050613 	261 	121 	76 	75 
050614 	261 	121 	76 	75 
050615 	260 	120 	76 	75 
050616 	260 	120 	77 	76 
050617 	259 	119 	77 	76 
050618 	258 	118 	77 	76 
050619 	257 	118 	77 	77 
050620 	257 	117 	78 	77 
050621 	256 	116 	78 	77 
050622 	255 	115 	78 	77 
050623 	255 	115 	79 	78 
050624 	254 	114 	79 	78 
050625 	253 	113 	79 	78 
050626 	252 	113 	79 	79 
050627 	252 	112 	80 	79 
050628 	251 	111 	80 	79 
050629 	250 	111 	80 	80 
050630 	250 	110 	81 	80 
050631 	249 	109 	81 	80 
050632 	248 	109 	81 	81 
050633 	247 	108 	81 	81 
050634 	247 	107 	82 	81 
050635 	246 	106 	82 	81 
050636 	245 	106 	82 	82 
050637 	245 	105 	83 	82 
050638 	244 	104 	83 	82 
050639 	243 	104 	83 	83 
050640 	242 	103 	84 	83 
050641 	242 	102 	84 	83 
050642 	241 	102 	84 	84 
050643 	240 	101 	84 	84 
050644 	240 	100 	85 	84 
050645 	239 	100 	85 	85 
050646 	238 	99 	85 	85 
050647 	238 	98 	86 	85 
050648 	237 	97 	86 	85 
050649 	236 	97 	86 	86 
050650 	235 	96 	86 	86 
050651 	235 	95 	87 	86 
050652 	234 	95 	87 	87 
050653 	233 	94 	87 	87 
050654 	233 	93 	88 	87 
050655 	232 	93 	88 	88 
050656 	231 	92 	88 	88 
050657 	230 	91 	88 	88 
050658 	230 	91 	89 	89 
050659 	229 	90 	89 	89 
