Identity  : 	id10486
Reference : 	wi1172et_98
Offset    : 	1
FV Conf   : 	18.715
ASD Conf  : 	6.536

FRAME 	X 	Y 	W 	H 
017099 	134 	55 	91 	91 
017100 	134 	55 	91 	91 
017101 	144 	55 	91 	91 
017102 	144 	55 	91 	91 
017103 	144 	55 	91 	91 
017104 	144 	55 	91 	91 
017105 	144 	55 	91 	91 
017106 	144 	55 	91 	91 
017107 	144 	55 	91 	91 
017108 	144 	55 	91 	91 
017109 	144 	55 	91 	91 
017110 	144 	55 	91 	91 
017111 	144 	55 	91 	91 
017112 	144 	55 	91 	91 
017113 	144 	65 	91 	91 
017114 	144 	65 	91 	91 
017115 	144 	65 	91 	91 
017116 	144 	65 	91 	91 
017117 	144 	65 	91 	91 
017118 	144 	65 	91 	91 
017119 	144 	65 	91 	91 
017120 	144 	65 	91 	91 
017121 	144 	65 	91 	91 
017122 	144 	65 	91 	91 
017123 	144 	65 	91 	91 
017124 	134 	65 	91 	91 
017125 	134 	65 	91 	91 
017126 	134 	65 	91 	91 
017127 	144 	65 	91 	91 
017128 	144 	65 	91 	91 
017129 	144 	65 	91 	91 
017130 	144 	65 	91 	91 
017131 	144 	65 	91 	91 
017132 	144 	65 	91 	91 
017133 	144 	65 	91 	91 
017134 	144 	65 	91 	91 
017135 	144 	65 	91 	91 
017136 	144 	65 	91 	91 
017137 	144 	65 	91 	91 
017138 	144 	65 	91 	91 
017139 	144 	65 	91 	91 
017140 	144 	65 	91 	91 
017141 	144 	65 	91 	91 
017142 	144 	65 	91 	91 
017143 	144 	65 	91 	91 
017144 	144 	65 	91 	91 
017145 	144 	65 	91 	91 
017146 	144 	65 	91 	91 
017147 	144 	65 	91 	91 
017148 	144 	65 	91 	91 
017149 	144 	65 	91 	91 
017150 	144 	65 	91 	91 
017151 	144 	65 	91 	91 
017152 	144 	65 	91 	91 
017153 	144 	65 	91 	91 
017154 	144 	65 	91 	91 
017155 	144 	65 	91 	91 
017156 	144 	65 	91 	91 
017157 	144 	65 	91 	91 
017158 	144 	65 	91 	91 
017159 	144 	65 	91 	91 
017160 	144 	65 	91 	91 
017161 	144 	65 	91 	91 
017162 	144 	65 	91 	91 
017163 	144 	65 	91 	91 
017164 	144 	65 	91 	91 
017165 	144 	65 	91 	91 
017166 	144 	65 	91 	91 
017167 	144 	65 	91 	91 
017168 	144 	65 	91 	91 
017169 	144 	65 	91 	91 
017170 	144 	65 	91 	91 
017171 	144 	65 	91 	91 
017172 	144 	65 	91 	91 
017173 	144 	65 	91 	91 
017174 	144 	65 	91 	91 
017175 	144 	65 	91 	91 
017176 	144 	65 	91 	91 
017177 	144 	65 	91 	91 
017178 	144 	65 	91 	91 
017179 	144 	65 	91 	91 
017180 	144 	65 	91 	91 
017181 	144 	65 	91 	91 
017182 	144 	65 	91 	91 
017183 	144 	65 	91 	91 
017184 	144 	65 	91 	91 
017185 	144 	65 	91 	91 
017186 	144 	65 	91 	91 
017187 	144 	65 	91 	91 
017188 	144 	65 	91 	91 
017189 	144 	65 	91 	91 
017190 	144 	65 	91 	91 
017191 	144 	65 	91 	91 
017192 	144 	65 	91 	91 
017193 	144 	65 	91 	91 
017194 	144 	65 	91 	91 
017195 	144 	65 	91 	91 
017196 	154 	65 	91 	91 
017197 	154 	65 	91 	91 
017198 	154 	65 	91 	91 
017199 	154 	65 	91 	91 
017200 	154 	65 	91 	91 
017201 	154 	65 	91 	91 
017202 	154 	65 	91 	91 
017203 	154 	65 	91 	91 
017204 	154 	65 	91 	91 
017205 	154 	65 	91 	91 
017206 	154 	65 	91 	91 
017207 	154 	65 	91 	91 
017208 	154 	65 	91 	91 
017209 	154 	65 	91 	91 
