Identity  : 	id10493
Reference : 	kPqtQZ1ei-k
Offset    : 	0
FV Conf   : 	16.498
ASD Conf  : 	5.966

FRAME 	X 	Y 	W 	H 
000999 	197 	90 	109 	109 
001000 	197 	90 	109 	109 
001001 	197 	90 	109 	109 
001002 	197 	90 	109 	109 
001003 	197 	90 	109 	109 
001004 	197 	90 	109 	109 
001005 	197 	90 	109 	109 
001006 	197 	90 	109 	109 
001007 	197 	90 	109 	109 
001008 	197 	90 	109 	109 
001009 	197 	90 	109 	109 
001010 	197 	90 	109 	109 
001011 	197 	90 	109 	109 
001012 	197 	90 	109 	109 
001013 	185 	90 	109 	109 
001014 	185 	90 	109 	109 
001015 	185 	90 	109 	109 
001016 	185 	90 	109 	109 
001017 	173 	90 	109 	109 
001018 	173 	90 	109 	109 
001019 	173 	90 	109 	109 
001020 	161 	90 	109 	109 
001021 	150 	78 	108 	109 
001022 	150 	78 	108 	109 
001023 	150 	78 	108 	109 
001024 	150 	78 	108 	109 
001025 	150 	78 	108 	109 
001026 	150 	78 	108 	109 
001027 	150 	78 	108 	109 
001028 	150 	78 	108 	109 
001029 	150 	78 	108 	109 
001030 	150 	78 	108 	109 
001031 	161 	78 	109 	109 
001032 	161 	78 	109 	109 
001033 	161 	78 	109 	109 
001034 	161 	78 	109 	109 
001035 	161 	78 	109 	109 
001036 	161 	78 	109 	109 
001037 	156 	78 	108 	109 
001038 	150 	78 	108 	109 
001039 	150 	78 	108 	109 
001040 	150 	78 	108 	109 
001041 	150 	78 	108 	109 
001042 	150 	78 	108 	109 
001043 	150 	78 	108 	109 
001044 	150 	78 	108 	109 
001045 	150 	78 	108 	109 
001046 	150 	78 	108 	109 
001047 	150 	78 	108 	109 
001048 	150 	78 	108 	109 
001049 	150 	78 	108 	109 
001050 	150 	78 	108 	109 
001051 	150 	78 	108 	109 
001052 	150 	78 	108 	109 
001053 	150 	78 	108 	109 
001054 	150 	78 	108 	109 
001055 	150 	78 	108 	109 
001056 	150 	78 	108 	109 
001057 	138 	78 	108 	109 
001058 	138 	78 	108 	109 
001059 	138 	78 	108 	109 
001060 	138 	78 	108 	109 
001061 	138 	78 	108 	109 
001062 	138 	78 	108 	109 
001063 	138 	78 	108 	109 
001064 	138 	78 	108 	109 
001065 	138 	78 	108 	109 
001066 	138 	78 	108 	109 
001067 	138 	78 	108 	109 
001068 	138 	78 	108 	109 
001069 	138 	78 	108 	109 
001070 	138 	78 	108 	109 
001071 	138 	78 	108 	109 
001072 	138 	78 	108 	109 
001073 	138 	78 	108 	109 
001074 	138 	78 	108 	109 
001075 	138 	78 	108 	109 
001076 	138 	78 	108 	109 
001077 	138 	78 	108 	109 
001078 	138 	78 	108 	109 
001079 	138 	78 	108 	109 
001080 	138 	78 	108 	109 
001081 	138 	78 	108 	109 
001082 	138 	78 	108 	109 
001083 	138 	78 	108 	109 
001084 	138 	78 	108 	109 
001085 	138 	78 	108 	109 
001086 	138 	78 	108 	109 
001087 	138 	78 	108 	109 
001088 	138 	78 	108 	109 
001089 	138 	78 	108 	109 
001090 	138 	78 	108 	109 
001091 	138 	78 	108 	109 
001092 	150 	78 	108 	109 
001093 	150 	78 	108 	109 
001094 	150 	78 	108 	109 
001095 	150 	78 	108 	109 
001096 	150 	78 	108 	109 
001097 	161 	78 	109 	109 
001098 	161 	78 	109 	109 
001099 	161 	78 	109 	109 
001100 	161 	78 	109 	109 
001101 	161 	78 	109 	109 
001102 	161 	78 	109 	109 
001103 	174 	95 	91 	91 
001104 	173 	78 	109 	109 
001105 	173 	78 	109 	109 
001106 	173 	78 	109 	109 
001107 	173 	78 	109 	109 
001108 	173 	78 	109 	109 
001109 	173 	78 	109 	109 
001110 	173 	78 	109 	109 
001111 	173 	78 	109 	109 
001112 	173 	78 	109 	109 
001113 	173 	90 	109 	109 
001114 	185 	78 	109 	109 
