Identity  : 	id10495
Reference : 	qpU2Kv4KQ7M
Offset    : 	0
FV Conf   : 	20.139
ASD Conf  : 	6.137

FRAME 	X 	Y 	W 	H 
000582 	452 	54 	75 	76 
000583 	452 	54 	75 	76 
000584 	452 	54 	75 	76 
000585 	452 	54 	75 	76 
000586 	452 	54 	75 	76 
000587 	452 	54 	75 	76 
000588 	452 	54 	75 	76 
000589 	452 	54 	75 	76 
000590 	452 	54 	75 	76 
000591 	452 	54 	75 	76 
000592 	452 	54 	75 	76 
000593 	460 	54 	76 	76 
000594 	460 	54 	76 	76 
000595 	460 	54 	76 	76 
000596 	460 	54 	76 	76 
000597 	460 	54 	76 	76 
000598 	460 	54 	76 	76 
000599 	460 	54 	76 	76 
000600 	460 	54 	76 	76 
000601 	460 	54 	76 	76 
000602 	460 	54 	76 	76 
000603 	460 	54 	76 	76 
000604 	460 	54 	76 	76 
000605 	460 	54 	76 	76 
000606 	460 	54 	76 	76 
000607 	460 	54 	76 	76 
000608 	460 	54 	76 	76 
000609 	460 	54 	76 	76 
000610 	460 	54 	76 	76 
000611 	460 	54 	76 	76 
000612 	460 	54 	76 	76 
000613 	460 	54 	76 	76 
000614 	460 	54 	76 	76 
000615 	460 	54 	76 	76 
000616 	460 	54 	76 	76 
000617 	460 	54 	76 	76 
000618 	460 	54 	76 	76 
000619 	460 	54 	76 	76 
000620 	460 	54 	76 	76 
000621 	460 	54 	76 	76 
000622 	460 	54 	76 	76 
000623 	460 	54 	76 	76 
000624 	460 	54 	76 	76 
000625 	460 	54 	76 	76 
000626 	460 	54 	76 	76 
000627 	460 	54 	76 	76 
000628 	460 	54 	76 	76 
000629 	460 	54 	76 	76 
000630 	460 	54 	76 	76 
000631 	460 	54 	76 	76 
000632 	460 	54 	76 	76 
000633 	460 	54 	76 	76 
000634 	460 	54 	76 	76 
000635 	460 	54 	76 	76 
000636 	460 	54 	76 	76 
000637 	452 	54 	75 	76 
000638 	452 	54 	75 	76 
000639 	452 	54 	75 	76 
000640 	452 	54 	75 	76 
000641 	452 	54 	75 	76 
000642 	452 	54 	75 	76 
000643 	452 	54 	75 	76 
000644 	452 	54 	75 	76 
000645 	452 	54 	75 	76 
000646 	452 	54 	75 	76 
000647 	452 	54 	75 	76 
000648 	452 	54 	75 	76 
000649 	452 	54 	75 	76 
000650 	452 	54 	75 	76 
000651 	452 	54 	75 	76 
000652 	452 	54 	75 	76 
000653 	452 	54 	75 	76 
000654 	452 	54 	75 	76 
000655 	452 	54 	75 	76 
000656 	452 	54 	75 	76 
000657 	452 	54 	75 	76 
000658 	452 	54 	75 	76 
000659 	452 	54 	75 	76 
000660 	452 	54 	75 	76 
000661 	452 	54 	75 	76 
000662 	452 	54 	75 	76 
000663 	452 	54 	75 	76 
000664 	452 	54 	75 	76 
000665 	452 	54 	75 	76 
000666 	452 	54 	75 	76 
000667 	452 	54 	75 	76 
000668 	452 	62 	75 	76 
000669 	460 	62 	76 	76 
000670 	460 	62 	76 	76 
000671 	460 	62 	76 	76 
000672 	468 	71 	76 	75 
000673 	480 	73 	63 	63 
000674 	477 	71 	75 	75 
000675 	477 	71 	75 	75 
000676 	477 	62 	75 	76 
000677 	477 	71 	75 	75 
000678 	477 	71 	75 	75 
000679 	485 	71 	76 	75 
000680 	485 	71 	76 	75 
000681 	485 	71 	76 	75 
000682 	485 	71 	76 	75 
000683 	485 	71 	76 	75 
000684 	494 	73 	63 	63 
000685 	485 	71 	76 	75 
000686 	485 	71 	76 	75 
000687 	485 	71 	76 	75 
000688 	485 	71 	76 	75 
000689 	485 	71 	76 	75 
000690 	485 	71 	76 	75 
000691 	487 	73 	63 	63 
000692 	487 	73 	63 	63 
000693 	477 	71 	75 	75 
000694 	477 	71 	75 	75 
000695 	477 	71 	75 	75 
000696 	477 	71 	75 	75 
000697 	485 	71 	76 	75 
000698 	485 	71 	76 	75 
000699 	485 	71 	76 	75 
000700 	485 	71 	76 	75 
000701 	477 	71 	75 	75 
000702 	477 	71 	75 	75 
000703 	477 	71 	75 	75 
000704 	477 	71 	75 	75 
000705 	480 	73 	63 	63 
000706 	477 	71 	75 	75 
000707 	477 	71 	75 	75 
000708 	468 	62 	76 	76 
000709 	468 	62 	76 	76 
000710 	468 	62 	76 	76 
000711 	468 	62 	76 	76 
000712 	468 	62 	76 	76 
000713 	468 	62 	76 	76 
000714 	468 	62 	76 	76 
000715 	460 	62 	76 	76 
000716 	460 	62 	76 	76 
000717 	460 	62 	76 	76 
000718 	460 	62 	76 	76 
000719 	460 	62 	76 	76 
000720 	460 	62 	76 	76 
000721 	460 	62 	76 	76 
000722 	460 	62 	76 	76 
000723 	460 	62 	76 	76 
000724 	460 	62 	76 	76 
000725 	460 	62 	76 	76 
000726 	460 	62 	76 	76 
000727 	460 	62 	76 	76 
000728 	460 	62 	76 	76 
000729 	460 	62 	76 	76 
