Identity  : 	id10506
Reference : 	SPh_raqO_A0
Offset    : 	-1
FV Conf   : 	15.338
ASD Conf  : 	5.515

FRAME 	X 	Y 	W 	H 
006726 	440 	72 	53 	53 
006727 	440 	72 	53 	53 
006728 	440 	72 	53 	53 
006729 	440 	72 	53 	53 
006730 	439 	73 	63 	63 
006731 	439 	66 	63 	63 
006732 	440 	72 	53 	53 
006733 	440 	72 	53 	53 
006734 	440 	72 	53 	53 
006735 	446 	72 	53 	53 
006736 	446 	72 	53 	53 
006737 	446 	72 	53 	53 
006738 	446 	72 	53 	53 
006739 	446 	72 	53 	53 
006740 	446 	72 	53 	53 
006741 	446 	72 	53 	53 
006742 	446 	72 	53 	53 
006743 	446 	72 	53 	53 
006744 	446 	72 	53 	53 
006745 	439 	59 	63 	63 
006746 	439 	59 	63 	63 
006747 	439 	59 	63 	63 
006748 	439 	59 	63 	63 
006749 	439 	59 	63 	63 
006750 	439 	59 	63 	63 
006751 	440 	66 	53 	53 
006752 	440 	66 	53 	53 
006753 	432 	59 	63 	63 
006754 	432 	59 	63 	63 
006755 	432 	59 	63 	63 
006756 	432 	59 	63 	63 
006757 	434 	66 	53 	53 
006758 	434 	66 	53 	53 
006759 	425 	59 	63 	63 
006760 	425 	66 	63 	63 
006761 	425 	66 	63 	63 
006762 	425 	66 	63 	63 
006763 	425 	66 	63 	63 
006764 	425 	66 	63 	63 
006765 	425 	66 	63 	63 
006766 	425 	59 	63 	63 
006767 	425 	59 	63 	63 
006768 	425 	59 	63 	63 
006769 	425 	59 	63 	63 
006770 	425 	59 	63 	63 
006771 	425 	59 	63 	63 
006772 	425 	59 	63 	63 
006773 	425 	59 	63 	63 
006774 	434 	66 	53 	53 
006775 	434 	66 	53 	53 
006776 	432 	59 	63 	63 
006777 	432 	59 	63 	63 
006778 	432 	59 	63 	63 
006779 	432 	59 	63 	63 
006780 	432 	59 	63 	63 
006781 	432 	59 	63 	63 
006782 	439 	59 	63 	63 
006783 	439 	59 	63 	63 
006784 	439 	59 	63 	63 
006785 	439 	59 	63 	63 
006786 	439 	59 	63 	63 
006787 	445 	59 	64 	63 
006788 	445 	59 	64 	63 
006789 	445 	59 	64 	63 
006790 	445 	59 	64 	63 
006791 	452 	59 	64 	63 
006792 	457 	66 	53 	53 
006793 	452 	59 	64 	63 
006794 	452 	52 	64 	63 
006795 	452 	52 	64 	63 
006796 	463 	60 	53 	53 
006797 	463 	60 	53 	53 
006798 	463 	60 	53 	53 
006799 	463 	60 	53 	53 
006800 	463 	60 	53 	53 
006801 	452 	59 	64 	63 
006802 	452 	59 	64 	63 
006803 	452 	59 	64 	63 
006804 	452 	59 	64 	63 
006805 	452 	59 	64 	63 
006806 	452 	59 	64 	63 
006807 	452 	59 	64 	63 
006808 	445 	59 	64 	63 
006809 	445 	59 	64 	63 
006810 	445 	59 	64 	63 
006811 	445 	66 	64 	63 
006812 	439 	66 	63 	63 
006813 	439 	66 	63 	63 
006814 	439 	66 	63 	63 
006815 	439 	66 	63 	63 
006816 	439 	66 	63 	63 
006817 	439 	66 	63 	63 
006818 	439 	66 	63 	63 
006819 	439 	66 	63 	63 
006820 	439 	66 	63 	63 
006821 	439 	66 	63 	63 
006822 	439 	66 	63 	63 
006823 	432 	66 	63 	63 
006824 	432 	66 	63 	63 
006825 	432 	66 	63 	63 
006826 	439 	66 	63 	63 
006827 	439 	66 	63 	63 
006828 	439 	66 	63 	63 
006829 	445 	66 	64 	63 
006830 	445 	66 	64 	63 
006831 	452 	59 	64 	63 
006832 	452 	59 	64 	63 
006833 	452 	59 	64 	63 
006834 	452 	59 	64 	63 
006835 	452 	59 	64 	63 
006836 	452 	59 	64 	63 
006837 	452 	59 	64 	63 
006838 	452 	59 	64 	63 
006839 	452 	59 	64 	63 
006840 	452 	59 	64 	63 
006841 	445 	59 	64 	63 
006842 	445 	59 	64 	63 
006843 	445 	59 	64 	63 
006844 	445 	59 	64 	63 
006845 	445 	59 	64 	63 
006846 	445 	59 	64 	63 
006847 	445 	59 	64 	63 
006848 	445 	59 	64 	63 
006849 	445 	59 	64 	63 
006850 	445 	59 	64 	63 
006851 	445 	59 	64 	63 
006852 	445 	59 	64 	63 
006853 	445 	66 	64 	63 
006854 	439 	66 	63 	63 
006855 	439 	66 	63 	63 
006856 	439 	66 	63 	63 
006857 	440 	72 	53 	53 
006858 	432 	66 	63 	63 
006859 	432 	73 	63 	63 
006860 	432 	73 	63 	63 
