Identity  : 	id10506
Reference : 	l6mnohJxThE
Offset    : 	-3
FV Conf   : 	13.979
ASD Conf  : 	6.283

FRAME 	X 	Y 	W 	H 
003887 	257 	90 	109 	109 
003888 	251 	80 	130 	130 
003889 	269 	90 	108 	109 
003890 	266 	80 	130 	130 
003891 	281 	90 	108 	109 
003892 	281 	90 	108 	109 
003893 	281 	90 	108 	109 
003894 	281 	90 	108 	109 
003895 	281 	90 	108 	109 
003896 	281 	90 	108 	109 
003897 	281 	90 	108 	109 
003898 	281 	90 	108 	109 
003899 	281 	90 	108 	109 
003900 	281 	90 	108 	109 
003901 	281 	90 	108 	109 
003902 	266 	80 	130 	130 
003903 	266 	80 	130 	130 
003904 	266 	80 	130 	130 
003905 	266 	80 	130 	130 
003906 	281 	90 	108 	109 
003907 	266 	80 	130 	130 
003908 	266 	80 	130 	130 
003909 	269 	102 	108 	109 
003910 	269 	102 	108 	109 
003911 	269 	102 	108 	109 
003912 	257 	102 	109 	109 
003913 	257 	102 	109 	109 
003914 	257 	102 	109 	109 
003915 	257 	102 	109 	109 
003916 	257 	102 	109 	109 
003917 	245 	102 	109 	109 
003918 	245 	102 	109 	109 
003919 	245 	102 	109 	109 
003920 	245 	102 	109 	109 
003921 	245 	102 	109 	109 
003922 	245 	102 	109 	109 
003923 	245 	102 	109 	109 
003924 	245 	102 	109 	109 
003925 	233 	102 	109 	109 
003926 	233 	102 	109 	109 
003927 	221 	102 	109 	109 
003928 	221 	102 	109 	109 
003929 	209 	90 	109 	109 
003930 	209 	90 	109 	109 
003931 	209 	90 	109 	109 
003932 	209 	90 	109 	109 
003933 	209 	90 	109 	109 
003934 	209 	90 	109 	109 
003935 	209 	90 	109 	109 
003936 	221 	90 	109 	109 
003937 	221 	90 	109 	109 
003938 	221 	90 	109 	109 
003939 	233 	90 	109 	109 
003940 	233 	90 	109 	109 
003941 	233 	90 	109 	109 
003942 	245 	90 	109 	109 
003943 	245 	90 	109 	109 
003944 	245 	90 	109 	109 
003945 	257 	90 	109 	109 
003946 	257 	90 	109 	109 
003947 	257 	78 	109 	109 
003948 	257 	78 	109 	109 
003949 	257 	78 	109 	109 
003950 	257 	78 	109 	109 
003951 	257 	78 	109 	109 
003952 	257 	78 	109 	109 
003953 	257 	90 	109 	109 
003954 	257 	90 	109 	109 
003955 	257 	102 	109 	109 
003956 	245 	102 	109 	109 
003957 	245 	114 	109 	109 
003958 	245 	114 	109 	109 
003959 	233 	114 	109 	109 
003960 	233 	114 	109 	109 
003961 	233 	114 	109 	109 
003962 	233 	114 	109 	109 
003963 	233 	114 	109 	109 
003964 	233 	113 	110 	110 
003965 	233 	113 	110 	110 
003966 	233 	112 	110 	110 
003967 	233 	112 	110 	110 
003968 	233 	111 	111 	111 
003969 	233 	111 	111 	111 
003970 	233 	110 	111 	111 
003971 	234 	110 	112 	112 
003972 	234 	109 	112 	112 
003973 	234 	109 	112 	112 
003974 	234 	108 	113 	113 
003975 	234 	108 	113 	113 
003976 	234 	107 	113 	113 
003977 	234 	107 	114 	114 
003978 	234 	106 	114 	114 
003979 	234 	106 	114 	114 
003980 	234 	105 	114 	114 
003981 	234 	105 	115 	115 
003982 	234 	104 	115 	115 
003983 	234 	104 	115 	115 
003984 	234 	103 	116 	116 
003985 	234 	103 	116 	116 
003986 	234 	102 	116 	116 
003987 	234 	102 	117 	116 
003988 	234 	101 	117 	117 
003989 	235 	101 	117 	117 
003990 	235 	100 	117 	117 
003991 	235 	100 	118 	118 
003992 	235 	99 	118 	118 
003993 	235 	99 	118 	118 
003994 	235 	98 	119 	119 
003995 	235 	98 	119 	119 
003996 	235 	97 	119 	119 
003997 	235 	97 	120 	120 
003998 	235 	97 	120 	120 
003999 	235 	96 	120 	120 
004000 	235 	96 	120 	120 
