Identity  : 	id10506
Reference : 	qtsNbxgPngA
Offset    : 	0
FV Conf   : 	12.554
ASD Conf  : 	6.036

FRAME 	X 	Y 	W 	H 
011496 	411 	66 	53 	53 
011497 	411 	66 	53 	53 
011498 	411 	66 	53 	53 
011499 	411 	66 	53 	53 
011500 	411 	66 	53 	53 
011501 	411 	66 	53 	53 
011502 	411 	66 	53 	53 
011503 	411 	66 	53 	53 
011504 	411 	66 	53 	53 
011505 	411 	66 	53 	53 
011506 	411 	66 	53 	53 
011507 	411 	66 	53 	53 
011508 	411 	66 	53 	53 
011509 	411 	66 	53 	53 
011510 	404 	59 	63 	63 
011511 	411 	66 	53 	53 
011512 	404 	59 	63 	63 
011513 	411 	66 	53 	53 
011514 	411 	66 	53 	53 
011515 	411 	66 	53 	53 
011516 	417 	66 	53 	53 
011517 	417 	66 	53 	53 
011518 	417 	66 	53 	53 
011519 	417 	66 	53 	53 
011520 	417 	66 	53 	53 
011521 	417 	66 	53 	53 
011522 	417 	66 	53 	53 
011523 	417 	66 	53 	53 
011524 	417 	66 	53 	53 
011525 	417 	66 	53 	53 
011526 	417 	66 	53 	53 
011527 	417 	66 	53 	53 
011528 	417 	72 	53 	53 
011529 	417 	72 	53 	53 
011530 	423 	72 	53 	53 
011531 	423 	72 	53 	53 
011532 	423 	72 	53 	53 
011533 	423 	72 	53 	53 
011534 	429 	72 	52 	53 
011535 	429 	72 	52 	53 
011536 	429 	72 	52 	53 
011537 	429 	72 	52 	53 
011538 	429 	72 	52 	53 
011539 	429 	72 	52 	53 
011540 	423 	66 	53 	53 
011541 	423 	66 	53 	53 
011542 	423 	66 	53 	53 
011543 	423 	66 	53 	53 
011544 	423 	66 	53 	53 
011545 	423 	66 	53 	53 
011546 	423 	66 	53 	53 
011547 	423 	66 	53 	53 
011548 	423 	66 	53 	53 
011549 	418 	59 	63 	63 
011550 	418 	59 	63 	63 
011551 	423 	60 	53 	53 
011552 	423 	60 	53 	53 
011553 	423 	60 	53 	53 
011554 	423 	60 	53 	53 
011555 	417 	60 	53 	53 
011556 	417 	60 	53 	53 
011557 	417 	60 	53 	53 
011558 	417 	60 	53 	53 
011559 	417 	60 	53 	53 
011560 	417 	60 	53 	53 
011561 	404 	59 	63 	63 
011562 	404 	59 	63 	63 
011563 	411 	66 	53 	53 
011564 	411 	66 	53 	53 
011565 	411 	66 	53 	53 
011566 	411 	66 	53 	53 
011567 	411 	66 	53 	53 
011568 	411 	66 	53 	53 
011569 	411 	66 	53 	53 
011570 	411 	66 	53 	53 
011571 	411 	66 	53 	53 
011572 	411 	66 	53 	53 
011573 	417 	66 	53 	53 
011574 	417 	66 	53 	53 
011575 	423 	66 	53 	53 
011576 	423 	66 	53 	53 
011577 	423 	66 	53 	53 
011578 	429 	66 	52 	53 
011579 	429 	60 	52 	53 
011580 	429 	60 	52 	53 
011581 	429 	60 	52 	53 
011582 	429 	66 	52 	53 
011583 	429 	66 	52 	53 
011584 	429 	66 	52 	53 
011585 	429 	72 	52 	53 
011586 	434 	78 	53 	53 
011587 	434 	78 	53 	53 
011588 	434 	78 	53 	53 
011589 	434 	72 	53 	53 
011590 	434 	72 	53 	53 
011591 	434 	66 	53 	53 
011592 	434 	72 	53 	53 
011593 	434 	72 	53 	53 
011594 	434 	72 	53 	53 
011595 	429 	66 	52 	53 
011596 	429 	66 	52 	53 
011597 	429 	66 	52 	53 
011598 	429 	66 	52 	53 
011599 	429 	66 	52 	53 
011600 	429 	66 	52 	53 
011601 	429 	66 	52 	53 
011602 	423 	66 	53 	53 
011603 	423 	66 	53 	53 
011604 	423 	66 	53 	53 
011605 	423 	66 	53 	53 
011606 	423 	66 	53 	53 
011607 	423 	66 	53 	53 
011608 	423 	66 	53 	53 
011609 	423 	60 	53 	53 
011610 	417 	60 	53 	53 
011611 	417 	60 	53 	53 
011612 	417 	60 	53 	53 
011613 	417 	60 	53 	53 
011614 	417 	60 	53 	53 
011615 	417 	60 	53 	53 
011616 	417 	60 	53 	53 
011617 	417 	66 	53 	53 
011618 	417 	66 	53 	53 
011619 	417 	66 	53 	53 
011620 	417 	66 	53 	53 
011621 	417 	66 	53 	53 
011622 	417 	66 	53 	53 
011623 	417 	66 	53 	53 
011624 	417 	66 	53 	53 
011625 	417 	66 	53 	53 
011626 	417 	66 	53 	53 
011627 	417 	66 	53 	53 
011628 	417 	66 	53 	53 
011629 	417 	66 	53 	53 
011630 	417 	66 	53 	53 
011631 	417 	66 	53 	53 
011632 	417 	66 	53 	53 
011633 	411 	66 	53 	53 
011634 	417 	66 	53 	53 
011635 	411 	66 	53 	53 
011636 	411 	66 	53 	53 
