Identity  : 	id10513
Reference : 	XNPaNYkh9_E
Offset    : 	-3
FV Conf   : 	15.769
ASD Conf  : 	8.137

FRAME 	X 	Y 	W 	H 
024481 	333 	75 	91 	91 
024482 	333 	75 	91 	91 
024483 	333 	75 	91 	91 
024484 	333 	75 	91 	91 
024485 	333 	75 	91 	91 
024486 	333 	75 	91 	91 
024487 	333 	75 	91 	91 
024488 	333 	75 	91 	91 
024489 	333 	75 	91 	91 
024490 	333 	75 	91 	91 
024491 	333 	75 	91 	91 
024492 	333 	75 	91 	91 
024493 	333 	75 	91 	91 
024494 	333 	75 	91 	91 
024495 	333 	75 	91 	91 
024496 	333 	75 	91 	91 
024497 	333 	75 	91 	91 
024498 	333 	75 	91 	91 
024499 	333 	75 	91 	91 
024500 	333 	75 	91 	91 
024501 	333 	75 	91 	91 
024502 	333 	75 	91 	91 
024503 	333 	75 	91 	91 
024504 	333 	75 	91 	91 
024505 	333 	75 	91 	91 
024506 	333 	75 	91 	91 
024507 	333 	75 	91 	91 
024508 	333 	75 	91 	91 
024509 	333 	75 	91 	91 
024510 	333 	75 	91 	91 
024511 	333 	75 	91 	91 
024512 	333 	75 	91 	91 
024513 	333 	75 	91 	91 
024514 	333 	75 	91 	91 
024515 	333 	75 	91 	91 
024516 	333 	75 	91 	91 
024517 	333 	75 	91 	91 
024518 	333 	75 	91 	91 
024519 	333 	75 	91 	91 
024520 	333 	75 	91 	91 
024521 	333 	75 	91 	91 
024522 	333 	75 	91 	91 
024523 	333 	75 	91 	91 
024524 	333 	75 	91 	91 
024525 	333 	75 	91 	91 
024526 	333 	75 	91 	91 
024527 	329 	66 	108 	109 
024528 	329 	66 	108 	109 
024529 	329 	66 	108 	109 
024530 	329 	66 	108 	109 
024531 	329 	66 	108 	109 
024532 	329 	66 	108 	109 
024533 	329 	66 	108 	109 
024534 	329 	66 	108 	109 
024535 	329 	66 	108 	109 
024536 	329 	66 	108 	109 
024537 	329 	66 	108 	109 
024538 	329 	66 	108 	109 
024539 	329 	66 	108 	109 
024540 	329 	66 	108 	109 
024541 	329 	66 	108 	109 
024542 	329 	66 	108 	109 
024543 	329 	66 	108 	109 
024544 	329 	66 	108 	109 
024545 	333 	75 	91 	91 
024546 	333 	75 	91 	91 
024547 	333 	65 	91 	91 
024548 	317 	54 	108 	109 
024549 	317 	54 	108 	109 
024550 	317 	54 	108 	109 
024551 	317 	54 	108 	109 
024552 	317 	54 	108 	109 
024553 	317 	54 	108 	109 
024554 	317 	54 	108 	109 
024555 	317 	54 	108 	109 
024556 	333 	65 	91 	91 
024557 	333 	65 	91 	91 
024558 	333 	65 	91 	91 
024559 	329 	54 	108 	109 
024560 	329 	54 	108 	109 
024561 	329 	54 	108 	109 
024562 	343 	65 	91 	91 
024563 	343 	65 	91 	91 
024564 	343 	65 	91 	91 
024565 	343 	65 	91 	91 
024566 	353 	65 	91 	91 
024567 	353 	65 	91 	91 
024568 	353 	65 	91 	91 
024569 	353 	65 	91 	91 
024570 	353 	65 	91 	91 
024571 	341 	66 	108 	109 
024572 	353 	65 	91 	91 
024573 	353 	65 	91 	91 
024574 	341 	66 	108 	109 
024575 	341 	66 	108 	109 
024576 	343 	65 	91 	91 
024577 	343 	65 	91 	91 
024578 	343 	65 	91 	91 
024579 	343 	75 	91 	91 
024580 	329 	66 	108 	109 
024581 	329 	66 	108 	109 
024582 	329 	66 	108 	109 
024583 	329 	66 	108 	109 
024584 	333 	65 	91 	91 
024585 	333 	65 	91 	91 
024586 	317 	66 	108 	109 
024587 	317 	54 	108 	109 
024588 	317 	66 	108 	109 
024589 	317 	66 	108 	109 
024590 	317 	66 	108 	109 
024591 	317 	66 	108 	109 
024592 	305 	66 	108 	109 
024593 	305 	66 	108 	109 
024594 	305 	66 	108 	109 
024595 	305 	54 	108 	109 
024596 	305 	66 	108 	109 
024597 	305 	66 	108 	109 
024598 	305 	66 	108 	109 
024599 	305 	66 	108 	109 
024600 	305 	66 	108 	109 
024601 	323 	65 	91 	91 
024602 	323 	65 	91 	91 
024603 	317 	66 	108 	109 
024604 	317 	66 	108 	109 
024605 	317 	66 	108 	109 
024606 	317 	66 	108 	109 
024607 	317 	66 	108 	109 
024608 	317 	66 	108 	109 
024609 	317 	66 	108 	109 
024610 	317 	66 	108 	109 
024611 	317 	66 	108 	109 
024612 	317 	66 	108 	109 
024613 	317 	66 	108 	109 
024614 	317 	66 	108 	109 
024615 	317 	66 	108 	109 
024616 	309 	51 	130 	130 
024617 	309 	51 	130 	130 
024618 	309 	51 	130 	130 
024619 	309 	51 	130 	130 
024620 	329 	66 	108 	109 
024621 	329 	66 	108 	109 
024622 	329 	66 	108 	109 
024623 	343 	65 	91 	91 
024624 	343 	65 	91 	91 
024625 	343 	65 	91 	91 
024626 	353 	65 	91 	91 
024627 	341 	66 	108 	109 
024628 	341 	66 	108 	109 
024629 	341 	66 	108 	109 
024630 	341 	66 	108 	109 
024631 	341 	66 	108 	109 
024632 	341 	66 	108 	109 
024633 	341 	66 	108 	109 
024634 	341 	66 	108 	109 
024635 	341 	66 	108 	109 
024636 	343 	75 	91 	91 
024637 	343 	75 	91 	91 
024638 	343 	75 	91 	91 
024639 	329 	66 	108 	109 
024640 	329 	66 	108 	109 
024641 	333 	75 	91 	91 
024642 	333 	75 	91 	91 
024643 	333 	75 	91 	91 
024644 	317 	66 	108 	109 
024645 	317 	66 	108 	109 
024646 	317 	66 	108 	109 
024647 	317 	66 	108 	109 
024648 	317 	66 	108 	109 
024649 	317 	66 	108 	109 
024650 	317 	66 	108 	109 
024651 	317 	66 	108 	109 
024652 	305 	66 	108 	109 
024653 	305 	66 	108 	109 
024654 	305 	66 	108 	109 
024655 	305 	66 	108 	109 
024656 	305 	66 	108 	109 
024657 	305 	66 	108 	109 
024658 	305 	66 	108 	109 
024659 	305 	66 	108 	109 
024660 	305 	66 	108 	109 
024661 	305 	66 	108 	109 
024662 	305 	66 	108 	109 
024663 	305 	66 	108 	109 
024664 	305 	66 	108 	109 
024665 	305 	66 	108 	109 
024666 	305 	66 	108 	109 
024667 	305 	66 	108 	109 
024668 	305 	66 	108 	109 
024669 	305 	66 	108 	109 
024670 	305 	66 	108 	109 
024671 	305 	66 	108 	109 
024672 	305 	66 	108 	109 
024673 	305 	66 	108 	109 
024674 	305 	66 	108 	109 
024675 	305 	66 	108 	109 
024676 	305 	66 	108 	109 
024677 	305 	66 	108 	109 
024678 	305 	66 	108 	109 
024679 	305 	66 	108 	109 
024680 	305 	66 	108 	109 
024681 	305 	66 	108 	109 
024682 	305 	66 	108 	109 
024683 	305 	66 	108 	109 
024684 	305 	66 	108 	109 
024685 	305 	66 	108 	109 
024686 	305 	66 	108 	109 
024687 	305 	66 	108 	109 
024688 	305 	66 	108 	109 
024689 	305 	66 	108 	109 
024690 	305 	66 	108 	109 
024691 	305 	66 	108 	109 
