Identity  : 	id10530
Reference : 	CKRWmWrEU00
Offset    : 	-1
FV Conf   : 	20.404
ASD Conf  : 	5.682

FRAME 	X 	Y 	W 	H 
029162 	311 	64 	224 	224 
029163 	311 	64 	224 	224 
029164 	311 	64 	224 	224 
029165 	311 	64 	224 	224 
029166 	311 	64 	224 	224 
029167 	311 	64 	224 	224 
029168 	311 	64 	224 	224 
029169 	311 	64 	224 	224 
029170 	311 	64 	224 	224 
029171 	311 	64 	224 	224 
029172 	311 	64 	224 	224 
029173 	311 	64 	224 	224 
029174 	311 	64 	224 	224 
029175 	311 	64 	224 	224 
029176 	311 	64 	224 	224 
029177 	311 	64 	224 	224 
029178 	311 	64 	224 	224 
029179 	311 	64 	224 	224 
029180 	311 	64 	224 	224 
029181 	311 	64 	224 	224 
029182 	311 	64 	224 	224 
029183 	311 	64 	224 	224 
029184 	311 	64 	224 	224 
029185 	311 	39 	224 	224 
029186 	311 	39 	224 	224 
029187 	311 	39 	224 	224 
029188 	311 	39 	224 	224 
029189 	311 	39 	224 	224 
029190 	311 	39 	224 	224 
029191 	311 	39 	224 	224 
029192 	311 	39 	224 	224 
029193 	311 	39 	224 	224 
029194 	311 	39 	224 	224 
029195 	311 	39 	224 	224 
029196 	311 	39 	224 	224 
029197 	311 	39 	224 	224 
029198 	311 	39 	224 	224 
029199 	311 	39 	224 	224 
029200 	311 	39 	224 	224 
029201 	311 	39 	224 	224 
029202 	311 	39 	224 	224 
029203 	311 	39 	224 	224 
029204 	311 	39 	224 	224 
029205 	311 	39 	224 	224 
029206 	311 	39 	224 	224 
029207 	311 	39 	224 	224 
029208 	311 	39 	224 	224 
029209 	311 	39 	224 	224 
029210 	311 	39 	224 	224 
029211 	311 	39 	224 	224 
029212 	311 	39 	224 	224 
029213 	311 	39 	224 	224 
029214 	311 	39 	224 	224 
029215 	311 	39 	224 	224 
029216 	311 	39 	224 	224 
029217 	311 	39 	224 	224 
029218 	311 	39 	224 	224 
029219 	311 	39 	224 	224 
029220 	311 	39 	224 	224 
029221 	311 	39 	224 	224 
029222 	311 	39 	224 	224 
029223 	311 	39 	224 	224 
029224 	311 	39 	224 	224 
029225 	311 	39 	224 	224 
029226 	311 	39 	224 	224 
029227 	311 	39 	224 	224 
029228 	311 	39 	224 	224 
029229 	311 	39 	224 	224 
029230 	311 	39 	224 	224 
029231 	311 	39 	224 	224 
029232 	311 	39 	224 	224 
029233 	311 	39 	224 	224 
029234 	311 	39 	224 	224 
029235 	287 	39 	224 	224 
029236 	287 	39 	224 	224 
029237 	287 	39 	224 	224 
029238 	287 	39 	224 	224 
029239 	287 	39 	224 	224 
029240 	287 	39 	224 	224 
029241 	287 	39 	224 	224 
029242 	287 	39 	224 	224 
029243 	287 	39 	224 	224 
029244 	287 	39 	224 	224 
029245 	287 	39 	224 	224 
029246 	287 	39 	224 	224 
029247 	287 	39 	224 	224 
029248 	287 	39 	224 	224 
029249 	287 	39 	224 	224 
029250 	287 	39 	224 	224 
029251 	287 	39 	224 	224 
029252 	287 	39 	224 	224 
029253 	287 	39 	224 	224 
029254 	287 	39 	224 	224 
029255 	287 	39 	224 	224 
029256 	287 	39 	224 	224 
029257 	287 	39 	224 	224 
029258 	287 	39 	224 	224 
029259 	287 	39 	224 	224 
029260 	287 	39 	224 	224 
029261 	287 	39 	224 	224 
029262 	287 	39 	224 	224 
029263 	287 	39 	224 	224 
029264 	287 	39 	224 	224 
029265 	287 	39 	224 	224 
029266 	287 	39 	224 	224 
029267 	287 	39 	224 	224 
