Identity  : 	id10530
Reference : 	nnN_zAFoJkA
Offset    : 	-1
FV Conf   : 	16.924
ASD Conf  : 	6.096

FRAME 	X 	Y 	W 	H 
007407 	170 	96 	75 	75 
007408 	170 	96 	75 	75 
007409 	170 	96 	75 	75 
007410 	154 	95 	91 	91 
007411 	170 	96 	75 	75 
007412 	154 	95 	91 	91 
007413 	154 	85 	91 	91 
007414 	154 	85 	91 	91 
007415 	162 	96 	75 	75 
007416 	170 	96 	75 	75 
007417 	170 	96 	75 	75 
007418 	170 	96 	75 	75 
007419 	170 	96 	75 	75 
007420 	164 	95 	91 	91 
007421 	164 	85 	91 	91 
007422 	164 	85 	91 	91 
007423 	164 	85 	91 	91 
007424 	164 	85 	91 	91 
007425 	164 	85 	91 	91 
007426 	164 	85 	91 	91 
007427 	164 	85 	91 	91 
007428 	164 	85 	91 	91 
007429 	164 	85 	91 	91 
007430 	164 	85 	91 	91 
007431 	164 	85 	91 	91 
007432 	164 	85 	91 	91 
007433 	164 	85 	91 	91 
007434 	164 	85 	91 	91 
007435 	164 	75 	91 	91 
007436 	164 	85 	91 	91 
007437 	164 	75 	91 	91 
007438 	164 	75 	91 	91 
007439 	164 	75 	91 	91 
007440 	164 	75 	91 	91 
007441 	164 	75 	91 	91 
007442 	164 	85 	91 	91 
007443 	164 	85 	91 	91 
007444 	164 	85 	91 	91 
007445 	164 	85 	91 	91 
007446 	164 	85 	91 	91 
007447 	164 	85 	91 	91 
007448 	164 	85 	91 	91 
007449 	164 	75 	91 	91 
007450 	164 	75 	91 	91 
007451 	161 	66 	109 	109 
007452 	161 	66 	109 	109 
007453 	161 	66 	109 	109 
007454 	174 	75 	91 	91 
007455 	174 	75 	91 	91 
007456 	173 	66 	109 	109 
007457 	173 	66 	109 	109 
007458 	173 	66 	109 	109 
007459 	184 	85 	91 	91 
007460 	184 	85 	91 	91 
007461 	184 	85 	91 	91 
007462 	184 	85 	91 	91 
007463 	184 	85 	91 	91 
007464 	184 	85 	91 	91 
007465 	184 	85 	91 	91 
007466 	184 	85 	91 	91 
007467 	184 	85 	91 	91 
007468 	184 	85 	91 	91 
007469 	184 	85 	91 	91 
007470 	184 	85 	91 	91 
007471 	184 	85 	91 	91 
007472 	173 	78 	109 	109 
007473 	173 	78 	109 	109 
007474 	173 	78 	109 	109 
007475 	173 	78 	109 	109 
007476 	173 	78 	109 	109 
007477 	173 	78 	109 	109 
007478 	174 	85 	91 	91 
007479 	174 	85 	91 	91 
007480 	174 	85 	91 	91 
007481 	174 	85 	91 	91 
007482 	164 	85 	91 	91 
007483 	164 	85 	91 	91 
007484 	164 	85 	91 	91 
007485 	164 	95 	91 	91 
007486 	154 	95 	91 	91 
007487 	154 	95 	91 	91 
007488 	154 	95 	91 	91 
007489 	154 	95 	91 	91 
007490 	154 	95 	91 	91 
007491 	154 	95 	91 	91 
007492 	154 	95 	91 	91 
007493 	154 	95 	91 	91 
007494 	154 	95 	91 	91 
007495 	154 	95 	91 	91 
007496 	154 	95 	91 	91 
007497 	154 	95 	91 	91 
007498 	154 	95 	91 	91 
007499 	154 	95 	91 	91 
007500 	154 	95 	91 	91 
007501 	154 	95 	91 	91 
007502 	154 	95 	91 	91 
007503 	154 	95 	91 	91 
007504 	154 	95 	91 	91 
007505 	154 	95 	91 	91 
007506 	154 	95 	91 	91 
007507 	154 	95 	91 	91 
007508 	154 	95 	91 	91 
007509 	154 	95 	91 	91 
007510 	154 	95 	91 	91 
007511 	154 	95 	91 	91 
007512 	154 	95 	91 	91 
007513 	154 	95 	91 	91 
007514 	154 	95 	91 	91 
007515 	154 	95 	91 	91 
007516 	154 	95 	91 	91 
007517 	154 	95 	91 	91 
007518 	154 	95 	91 	91 
007519 	154 	95 	91 	91 
007520 	154 	95 	91 	91 
007521 	154 	95 	91 	91 
