Identity  : 	id10530
Reference : 	sqB7XFVZiKQ
Offset    : 	-1
FV Conf   : 	19.148
ASD Conf  : 	7.100

FRAME 	X 	Y 	W 	H 
001606 	126 	90 	108 	109 
001607 	134 	105 	91 	91 
001608 	134 	105 	91 	91 
001609 	134 	105 	91 	91 
001610 	134 	105 	91 	91 
001611 	134 	105 	91 	91 
001612 	134 	105 	91 	91 
001613 	134 	105 	91 	91 
001614 	134 	105 	91 	91 
001615 	134 	105 	91 	91 
001616 	134 	105 	91 	91 
001617 	134 	105 	91 	91 
001618 	134 	105 	91 	91 
001619 	134 	105 	91 	91 
001620 	134 	105 	91 	91 
001621 	134 	105 	91 	91 
001622 	126 	90 	108 	109 
001623 	126 	90 	108 	109 
001624 	126 	90 	108 	109 
001625 	134 	105 	91 	91 
001626 	134 	105 	91 	91 
001627 	134 	105 	91 	91 
001628 	134 	105 	91 	91 
001629 	126 	90 	108 	109 
001630 	126 	90 	108 	109 
001631 	126 	90 	108 	109 
001632 	126 	90 	108 	109 
001633 	134 	105 	91 	91 
001634 	134 	105 	91 	91 
001635 	134 	105 	91 	91 
001636 	134 	105 	91 	91 
001637 	134 	105 	91 	91 
001638 	126 	102 	108 	109 
001639 	126 	102 	108 	109 
001640 	126 	102 	108 	109 
001641 	126 	102 	108 	109 
001642 	126 	102 	108 	109 
001643 	126 	102 	108 	109 
001644 	126 	102 	108 	109 
001645 	126 	102 	108 	109 
001646 	126 	102 	108 	109 
001647 	126 	102 	108 	109 
001648 	126 	102 	108 	109 
001649 	126 	102 	108 	109 
001650 	126 	102 	108 	109 
001651 	134 	105 	91 	91 
001652 	134 	105 	91 	91 
001653 	134 	105 	91 	91 
001654 	134 	105 	91 	91 
001655 	126 	90 	108 	109 
001656 	126 	90 	108 	109 
001657 	138 	78 	108 	109 
001658 	138 	78 	108 	109 
001659 	138 	78 	108 	109 
001660 	138 	78 	108 	109 
001661 	138 	78 	108 	109 
001662 	138 	78 	108 	109 
001663 	138 	78 	108 	109 
001664 	138 	78 	108 	109 
001665 	138 	78 	108 	109 
001666 	138 	78 	108 	109 
001667 	138 	78 	108 	109 
001668 	138 	78 	108 	109 
001669 	138 	78 	108 	109 
001670 	138 	78 	108 	109 
001671 	138 	78 	108 	109 
001672 	138 	78 	108 	109 
001673 	138 	78 	108 	109 
001674 	138 	78 	108 	109 
001675 	138 	78 	108 	109 
001676 	138 	78 	108 	109 
001677 	138 	78 	108 	109 
001678 	138 	78 	108 	109 
001679 	138 	78 	108 	109 
001680 	138 	78 	108 	109 
001681 	138 	78 	108 	109 
001682 	138 	78 	108 	109 
001683 	138 	78 	108 	109 
001684 	138 	78 	108 	109 
001685 	138 	78 	108 	109 
001686 	126 	90 	108 	109 
001687 	126 	90 	108 	109 
001688 	126 	90 	108 	109 
001689 	126 	90 	108 	109 
001690 	126 	90 	108 	109 
001691 	126 	90 	108 	109 
001692 	126 	90 	108 	109 
001693 	134 	105 	91 	91 
001694 	134 	105 	91 	91 
001695 	126 	102 	108 	109 
001696 	126 	102 	108 	109 
001697 	126 	102 	108 	109 
001698 	126 	102 	108 	109 
001699 	126 	102 	108 	109 
001700 	126 	102 	108 	109 
001701 	126 	102 	108 	109 
001702 	126 	102 	108 	109 
001703 	126 	102 	108 	109 
001704 	126 	102 	108 	109 
001705 	126 	102 	108 	109 
001706 	126 	102 	108 	109 
001707 	126 	102 	108 	109 
001708 	144 	105 	91 	91 
001709 	144 	105 	91 	91 
001710 	144 	105 	91 	91 
001711 	126 	90 	108 	109 
001712 	134 	105 	91 	91 
001713 	126 	90 	108 	109 
001714 	126 	90 	108 	109 
001715 	126 	90 	108 	109 
001716 	126 	90 	108 	109 
001717 	126 	90 	108 	109 
001718 	126 	90 	108 	109 
001719 	126 	90 	108 	109 
001720 	126 	90 	108 	109 
001721 	126 	90 	108 	109 
001722 	126 	90 	108 	109 
001723 	126 	90 	108 	109 
001724 	126 	90 	108 	109 
001725 	126 	90 	108 	109 
001726 	126 	90 	108 	109 
001727 	126 	90 	108 	109 
001728 	126 	90 	108 	109 
001729 	126 	90 	108 	109 
001730 	126 	90 	108 	109 
001731 	126 	90 	108 	109 
001732 	126 	90 	108 	109 
001733 	126 	90 	108 	109 
001734 	126 	90 	108 	109 
001735 	114 	90 	108 	109 
001736 	114 	90 	108 	109 
001737 	114 	90 	108 	109 
001738 	114 	90 	108 	109 
001739 	114 	90 	108 	109 
001740 	124 	105 	91 	91 
001741 	126 	90 	108 	109 
001742 	126 	90 	108 	109 
001743 	126 	90 	108 	109 
001744 	126 	90 	108 	109 
001745 	126 	90 	108 	109 
001746 	134 	105 	91 	91 
001747 	134 	105 	91 	91 
001748 	134 	105 	91 	91 
001749 	134 	105 	91 	91 
001750 	126 	90 	108 	109 
001751 	126 	90 	108 	109 
001752 	126 	90 	108 	109 
001753 	126 	90 	108 	109 
