Identity  : 	id10553
Reference : 	fUSOUObiiSc
Offset    : 	0
FV Conf   : 	14.015
ASD Conf  : 	7.284

FRAME 	X 	Y 	W 	H 
031864 	280 	109 	130 	130 
031865 	294 	109 	130 	130 
031866 	294 	109 	130 	130 
031867 	294 	109 	130 	130 
031868 	285 	96 	155 	156 
031869 	285 	96 	155 	156 
031870 	309 	123 	130 	130 
031871 	309 	123 	130 	130 
031872 	309 	123 	130 	130 
031873 	285 	96 	155 	156 
031874 	267 	96 	156 	156 
031875 	250 	96 	156 	156 
031876 	250 	79 	156 	156 
031877 	233 	79 	156 	156 
031878 	233 	79 	156 	156 
031879 	237 	80 	130 	130 
031880 	237 	80 	130 	130 
031881 	233 	79 	156 	156 
031882 	233 	79 	156 	156 
031883 	233 	79 	156 	156 
031884 	233 	79 	156 	156 
031885 	233 	79 	156 	156 
031886 	233 	79 	156 	156 
031887 	233 	79 	156 	156 
031888 	233 	79 	156 	156 
031889 	233 	79 	156 	156 
031890 	233 	96 	156 	156 
031891 	233 	96 	156 	156 
031892 	233 	79 	156 	156 
031893 	233 	96 	156 	156 
031894 	233 	96 	156 	156 
031895 	233 	96 	156 	156 
031896 	233 	96 	156 	156 
031897 	233 	96 	156 	156 
031898 	233 	96 	156 	156 
031899 	233 	96 	156 	156 
031900 	233 	96 	156 	156 
031901 	233 	96 	156 	156 
031902 	233 	96 	156 	156 
031903 	233 	96 	156 	156 
031904 	233 	96 	156 	156 
031905 	233 	96 	156 	156 
031906 	233 	79 	156 	156 
031907 	250 	96 	156 	156 
031908 	250 	96 	156 	156 
031909 	250 	96 	156 	156 
031910 	267 	96 	156 	156 
031911 	267 	96 	156 	156 
031912 	285 	96 	155 	156 
031913 	285 	96 	155 	156 
031914 	285 	96 	155 	156 
031915 	285 	79 	155 	156 
031916 	285 	79 	155 	156 
031917 	285 	96 	155 	156 
031918 	285 	79 	155 	156 
031919 	285 	79 	155 	156 
031920 	285 	79 	155 	156 
