Identity  : 	id10554
Reference : 	_9CmhBcNe5Q
Offset    : 	-5
FV Conf   : 	14.303
ASD Conf  : 	9.008

FRAME 	X 	Y 	W 	H 
012693 	323 	51 	130 	130 
012694 	323 	66 	130 	130 
012695 	323 	51 	130 	130 
012696 	323 	66 	130 	130 
012697 	323 	66 	130 	130 
012698 	323 	51 	130 	130 
012699 	323 	51 	130 	130 
012700 	323 	51 	130 	130 
012701 	319 	44 	156 	156 
012702 	337 	51 	130 	130 
012703 	337 	51 	130 	130 
012704 	337 	51 	130 	130 
012705 	337 	51 	130 	130 
012706 	352 	51 	130 	130 
012707 	352 	51 	130 	130 
012708 	352 	51 	130 	130 
012709 	352 	66 	130 	130 
012710 	352 	66 	130 	130 
012711 	352 	66 	130 	130 
012712 	352 	66 	130 	130 
012713 	352 	66 	130 	130 
012714 	352 	66 	130 	130 
012715 	337 	66 	130 	130 
012716 	337 	66 	130 	130 
012717 	337 	66 	130 	130 
012718 	337 	66 	130 	130 
012719 	337 	66 	130 	130 
012720 	337 	66 	130 	130 
012721 	337 	66 	130 	130 
012722 	337 	80 	130 	130 
012723 	323 	66 	130 	130 
012724 	323 	80 	130 	130 
012725 	323 	80 	130 	130 
012726 	323 	80 	130 	130 
012727 	323 	94 	130 	130 
012728 	323 	80 	130 	130 
012729 	323 	80 	130 	130 
012730 	319 	79 	156 	156 
012731 	319 	79 	156 	156 
012732 	319 	79 	156 	156 
012733 	319 	79 	156 	156 
012734 	319 	79 	156 	156 
012735 	323 	94 	130 	130 
012736 	323 	94 	130 	130 
012737 	323 	109 	130 	130 
012738 	323 	109 	130 	130 
012739 	323 	109 	130 	130 
012740 	323 	109 	130 	130 
012741 	323 	109 	130 	130 
012742 	323 	109 	130 	130 
012743 	323 	109 	130 	130 
012744 	323 	109 	130 	130 
012745 	323 	109 	130 	130 
012746 	323 	109 	130 	130 
012747 	323 	109 	130 	130 
012748 	323 	109 	130 	130 
012749 	323 	109 	130 	130 
012750 	323 	109 	130 	130 
012751 	319 	96 	156 	156 
012752 	323 	109 	130 	130 
012753 	323 	109 	130 	130 
012754 	323 	109 	130 	130 
012755 	323 	109 	130 	130 
012756 	323 	109 	130 	130 
012757 	323 	109 	130 	130 
012758 	323 	109 	130 	130 
012759 	323 	109 	130 	130 
012760 	309 	109 	130 	130 
012761 	309 	109 	130 	130 
012762 	309 	109 	130 	130 
012763 	309 	109 	130 	130 
012764 	309 	109 	130 	130 
012765 	309 	109 	130 	130 
012766 	309 	109 	130 	130 
012767 	309 	109 	131 	131 
012768 	309 	108 	131 	131 
012769 	308 	108 	132 	132 
012770 	308 	108 	133 	133 
012771 	308 	107 	133 	133 
012772 	308 	107 	134 	134 
012773 	308 	107 	135 	135 
012774 	308 	106 	135 	135 
012775 	307 	106 	136 	136 
012776 	307 	106 	137 	137 
012777 	307 	105 	137 	137 
012778 	307 	105 	138 	138 
012779 	307 	105 	139 	139 
012780 	306 	104 	139 	139 
012781 	306 	104 	140 	140 
012782 	306 	104 	141 	141 
012783 	306 	103 	141 	141 
012784 	306 	103 	142 	142 
012785 	306 	103 	143 	143 
012786 	305 	102 	143 	143 
012787 	305 	102 	144 	144 
012788 	305 	102 	145 	145 
012789 	305 	101 	145 	145 
012790 	305 	101 	146 	146 
012791 	305 	101 	147 	147 
012792 	304 	100 	147 	147 
012793 	304 	100 	148 	148 
012794 	304 	100 	149 	149 
012795 	304 	99 	149 	149 
012796 	304 	99 	150 	150 
012797 	303 	99 	151 	151 
012798 	303 	98 	151 	151 
012799 	303 	98 	152 	152 
012800 	303 	98 	153 	153 
012801 	303 	97 	153 	153 
012802 	303 	97 	154 	154 
012803 	302 	97 	155 	155 
012804 	302 	96 	155 	155 
012805 	302 	96 	156 	156 
012806 	302 	96 	156 	156 
012807 	303 	96 	156 	156 
012808 	303 	96 	156 	156 
012809 	304 	96 	156 	156 
012810 	305 	96 	156 	156 
012811 	305 	96 	156 	156 
012812 	306 	96 	156 	156 
012813 	307 	96 	156 	156 
012814 	307 	96 	156 	156 
012815 	308 	96 	156 	156 
012816 	309 	96 	156 	156 
012817 	309 	96 	156 	156 
012818 	310 	96 	156 	156 
012819 	310 	96 	156 	156 
012820 	311 	96 	156 	156 
012821 	312 	96 	156 	156 
012822 	312 	96 	156 	156 
012823 	313 	96 	156 	156 
012824 	314 	96 	156 	156 
012825 	314 	96 	156 	156 
012826 	315 	96 	156 	156 
012827 	316 	96 	156 	156 
012828 	316 	96 	156 	156 
012829 	317 	96 	156 	156 
012830 	318 	96 	156 	156 
012831 	318 	96 	156 	156 
012832 	319 	96 	156 	156 
012833 	319 	96 	156 	156 
012834 	319 	96 	156 	156 
012835 	319 	96 	156 	156 
012836 	319 	96 	156 	156 
012837 	323 	123 	130 	130 
012838 	323 	123 	130 	130 
012839 	323 	123 	130 	130 
012840 	323 	123 	130 	130 
012841 	323 	123 	130 	130 
012842 	323 	123 	130 	130 
012843 	323 	123 	130 	130 
012844 	309 	123 	130 	130 
012845 	309 	123 	130 	130 
012846 	309 	123 	130 	130 
012847 	309 	123 	130 	130 
012848 	309 	123 	130 	130 
012849 	309 	123 	130 	130 
012850 	309 	123 	130 	130 
012851 	309 	123 	130 	130 
012852 	309 	123 	130 	130 
012853 	294 	123 	130 	130 
012854 	294 	123 	130 	130 
012855 	294 	123 	130 	130 
012856 	294 	123 	130 	130 
