Identity  : 	id10554
Reference : 	sPZWjloFrg8
Offset    : 	-2
FV Conf   : 	10.599
ASD Conf  : 	6.426

FRAME 	X 	Y 	W 	H 
004991 	147 	96 	156 	156 
004992 	147 	96 	156 	156 
004993 	147 	96 	156 	156 
004994 	164 	96 	156 	156 
004995 	164 	96 	156 	156 
004996 	164 	96 	156 	156 
004997 	164 	79 	156 	156 
004998 	164 	79 	156 	156 
004999 	164 	79 	156 	156 
005000 	164 	79 	156 	156 
005001 	147 	96 	156 	156 
005002 	147 	96 	156 	156 
005003 	147 	96 	156 	156 
005004 	147 	96 	156 	156 
005005 	147 	96 	156 	156 
005006 	147 	96 	156 	156 
005007 	147 	96 	156 	156 
005008 	147 	96 	156 	156 
005009 	147 	96 	156 	156 
005010 	147 	96 	156 	156 
005011 	147 	96 	156 	156 
005012 	147 	96 	156 	156 
005013 	147 	96 	156 	156 
005014 	147 	96 	156 	156 
005015 	151 	109 	130 	130 
005016 	151 	109 	130 	130 
005017 	151 	109 	130 	130 
005018 	147 	96 	156 	156 
005019 	147 	96 	156 	156 
005020 	147 	96 	156 	156 
005021 	147 	96 	156 	156 
005022 	147 	96 	156 	156 
005023 	147 	96 	156 	156 
005024 	147 	96 	156 	156 
005025 	147 	113 	156 	156 
005026 	147 	113 	156 	156 
005027 	147 	130 	156 	156 
005028 	147 	130 	156 	156 
005029 	147 	130 	156 	156 
005030 	147 	130 	156 	156 
005031 	147 	130 	156 	156 
005032 	147 	148 	156 	155 
005033 	147 	148 	156 	155 
005034 	147 	148 	156 	155 
005035 	147 	130 	156 	156 
005036 	147 	130 	156 	156 
005037 	147 	130 	156 	156 
005038 	147 	130 	156 	156 
005039 	147 	130 	156 	156 
005040 	147 	130 	156 	156 
005041 	147 	130 	156 	156 
005042 	147 	130 	156 	156 
005043 	147 	130 	156 	156 
005044 	164 	130 	156 	156 
005045 	164 	130 	156 	156 
005046 	164 	130 	156 	156 
005047 	164 	130 	156 	156 
005048 	164 	130 	156 	156 
005049 	164 	130 	156 	156 
005050 	164 	130 	156 	156 
005051 	164 	130 	156 	156 
005052 	164 	113 	156 	156 
005053 	164 	113 	156 	156 
005054 	194 	123 	130 	130 
005055 	181 	113 	156 	156 
005056 	181 	113 	156 	156 
005057 	181 	96 	156 	156 
005058 	181 	96 	156 	156 
005059 	181 	96 	156 	156 
005060 	181 	96 	156 	156 
005061 	181 	96 	156 	156 
005062 	181 	96 	156 	156 
005063 	181 	96 	156 	156 
005064 	181 	96 	156 	156 
005065 	181 	96 	156 	156 
005066 	181 	79 	156 	156 
005067 	181 	79 	156 	156 
005068 	181 	79 	156 	156 
005069 	181 	79 	156 	156 
005070 	181 	79 	156 	156 
005071 	181 	79 	156 	156 
005072 	181 	79 	156 	156 
005073 	208 	94 	130 	130 
005074 	199 	79 	155 	156 
005075 	199 	79 	155 	156 
005076 	199 	96 	155 	156 
005077 	223 	94 	130 	130 
005078 	216 	96 	156 	156 
005079 	237 	94 	130 	130 
005080 	237 	94 	130 	130 
005081 	233 	79 	156 	156 
005082 	233 	79 	156 	156 
005083 	237 	94 	130 	130 
005084 	237 	94 	130 	130 
005085 	237 	94 	130 	130 
005086 	223 	94 	130 	130 
005087 	223 	94 	130 	130 
005088 	223 	94 	130 	130 
005089 	223 	94 	130 	130 
005090 	199 	96 	155 	156 
005091 	199 	96 	155 	156 
005092 	199 	96 	155 	156 
005093 	199 	96 	155 	156 
005094 	199 	96 	155 	156 
005095 	199 	96 	155 	156 
005096 	199 	96 	155 	156 
005097 	199 	96 	155 	156 
005098 	199 	96 	155 	156 
005099 	208 	94 	130 	130 
005100 	208 	94 	130 	130 
005101 	199 	96 	155 	156 
005102 	199 	96 	155 	156 
005103 	199 	96 	155 	156 
005104 	199 	96 	155 	156 
005105 	199 	96 	155 	156 
