Identity  : 	id10558
Reference : 	dBDBGybk180
Offset    : 	-1
FV Conf   : 	18.094
ASD Conf  : 	7.042

FRAME 	X 	Y 	W 	H 
006388 	216 	62 	156 	155 
006389 	216 	62 	156 	155 
006390 	216 	62 	156 	155 
006391 	216 	62 	156 	155 
006392 	216 	62 	156 	155 
006393 	216 	62 	156 	155 
006394 	216 	62 	156 	155 
006395 	216 	62 	156 	155 
006396 	223 	94 	130 	130 
006397 	223 	94 	130 	130 
006398 	199 	62 	155 	155 
006399 	199 	62 	155 	155 
006400 	199 	62 	155 	155 
006401 	199 	62 	155 	155 
006402 	199 	62 	155 	155 
006403 	199 	62 	155 	155 
006404 	199 	62 	155 	155 
006405 	199 	62 	155 	155 
006406 	199 	62 	155 	155 
006407 	199 	62 	155 	155 
006408 	199 	62 	155 	155 
006409 	199 	62 	155 	155 
006410 	199 	62 	155 	155 
006411 	199 	62 	155 	155 
006412 	199 	62 	155 	155 
006413 	199 	62 	155 	155 
006414 	199 	62 	155 	155 
006415 	199 	62 	155 	155 
006416 	199 	62 	155 	155 
006417 	199 	62 	155 	155 
006418 	199 	62 	155 	155 
006419 	199 	62 	155 	155 
006420 	199 	62 	155 	155 
006421 	199 	62 	155 	155 
006422 	199 	62 	155 	155 
006423 	199 	62 	155 	155 
006424 	199 	62 	155 	155 
006425 	199 	62 	155 	155 
006426 	223 	80 	130 	130 
006427 	223 	80 	130 	130 
006428 	223 	80 	130 	130 
006429 	223 	80 	130 	130 
006430 	223 	80 	130 	130 
006431 	223 	80 	130 	130 
006432 	223 	80 	130 	130 
006433 	223 	80 	130 	130 
006434 	223 	80 	130 	130 
006435 	199 	62 	155 	155 
006436 	199 	62 	155 	155 
006437 	199 	62 	155 	155 
006438 	199 	62 	155 	155 
006439 	199 	62 	155 	155 
006440 	199 	62 	155 	155 
006441 	199 	62 	155 	155 
006442 	199 	62 	155 	155 
006443 	199 	62 	155 	155 
006444 	199 	62 	155 	155 
006445 	199 	62 	155 	155 
006446 	199 	79 	155 	156 
006447 	199 	79 	155 	156 
006448 	199 	79 	155 	156 
006449 	199 	79 	155 	156 
006450 	199 	79 	155 	156 
006451 	199 	79 	155 	156 
006452 	199 	79 	155 	156 
006453 	199 	79 	155 	156 
006454 	199 	79 	155 	156 
006455 	199 	79 	155 	156 
006456 	199 	79 	155 	156 
006457 	199 	79 	155 	156 
006458 	199 	79 	155 	156 
006459 	199 	79 	155 	156 
006460 	199 	79 	155 	156 
006461 	199 	79 	155 	156 
006462 	199 	79 	155 	156 
006463 	199 	79 	155 	156 
006464 	199 	79 	155 	156 
006465 	199 	79 	155 	156 
006466 	199 	79 	155 	156 
006467 	199 	79 	155 	156 
006468 	199 	79 	155 	156 
006469 	199 	79 	155 	156 
006470 	199 	79 	155 	156 
006471 	199 	79 	155 	156 
006472 	199 	79 	155 	156 
006473 	199 	79 	155 	156 
006474 	199 	79 	155 	156 
006475 	199 	79 	155 	156 
006476 	199 	79 	155 	156 
006477 	199 	79 	155 	156 
006478 	199 	79 	155 	156 
006479 	199 	79 	155 	156 
006480 	199 	79 	155 	156 
006481 	199 	79 	155 	156 
006482 	199 	79 	155 	156 
006483 	199 	79 	155 	156 
006484 	199 	79 	155 	156 
006485 	199 	79 	155 	156 
006486 	199 	79 	155 	156 
006487 	199 	79 	155 	156 
006488 	199 	79 	155 	156 
006489 	199 	79 	155 	156 
006490 	199 	79 	155 	156 
006491 	199 	79 	155 	156 
006492 	199 	79 	155 	156 
006493 	199 	79 	155 	156 
006494 	199 	79 	155 	156 
