Identity  : 	id10567
Reference : 	1WydqWcPBPY
Offset    : 	-6
FV Conf   : 	18.983
ASD Conf  : 	5.514

FRAME 	X 	Y 	W 	H 
000940 	305 	90 	108 	109 
000941 	305 	90 	108 	109 
000942 	305 	90 	108 	109 
000943 	305 	90 	108 	109 
000944 	305 	90 	108 	109 
000945 	305 	90 	108 	109 
000946 	305 	90 	108 	109 
000947 	305 	90 	108 	109 
000948 	305 	90 	108 	109 
000949 	305 	90 	108 	109 
000950 	305 	90 	108 	109 
000951 	305 	90 	108 	109 
000952 	305 	90 	108 	109 
000953 	305 	90 	108 	109 
000954 	305 	90 	108 	109 
000955 	305 	90 	108 	109 
000956 	305 	90 	108 	109 
000957 	305 	90 	108 	109 
000958 	305 	90 	108 	109 
000959 	305 	90 	108 	109 
000960 	305 	90 	108 	109 
000961 	305 	90 	108 	109 
000962 	305 	90 	108 	109 
000963 	305 	90 	108 	109 
000964 	305 	90 	108 	109 
000965 	305 	90 	108 	109 
000966 	305 	90 	108 	109 
000967 	305 	90 	108 	109 
000968 	305 	90 	108 	109 
000969 	305 	90 	108 	109 
000970 	305 	90 	108 	109 
000971 	305 	90 	108 	109 
000972 	305 	90 	108 	109 
000973 	305 	90 	108 	109 
000974 	305 	90 	108 	109 
000975 	305 	90 	108 	109 
000976 	305 	90 	108 	109 
000977 	305 	90 	108 	109 
000978 	305 	90 	108 	109 
000979 	305 	90 	108 	109 
000980 	305 	90 	108 	109 
000981 	305 	90 	108 	109 
000982 	305 	90 	108 	109 
000983 	305 	90 	108 	109 
000984 	305 	90 	108 	109 
000985 	305 	90 	108 	109 
000986 	305 	90 	108 	109 
000987 	305 	90 	108 	109 
000988 	305 	90 	108 	109 
000989 	305 	90 	108 	109 
000990 	305 	90 	108 	109 
000991 	305 	90 	108 	109 
000992 	305 	90 	108 	109 
000993 	305 	90 	108 	109 
000994 	305 	90 	108 	109 
000995 	305 	90 	108 	109 
000996 	305 	90 	108 	109 
000997 	305 	90 	108 	109 
000998 	305 	90 	108 	109 
000999 	305 	90 	108 	109 
001000 	305 	90 	108 	109 
001001 	305 	90 	108 	109 
001002 	293 	90 	108 	109 
001003 	293 	90 	108 	109 
001004 	293 	90 	108 	109 
001005 	293 	90 	108 	109 
001006 	293 	90 	108 	109 
001007 	293 	90 	108 	109 
001008 	293 	90 	108 	109 
001009 	293 	90 	108 	109 
001010 	293 	90 	108 	109 
001011 	293 	90 	108 	109 
001012 	293 	90 	108 	109 
001013 	293 	90 	108 	109 
001014 	293 	90 	108 	109 
001015 	293 	90 	108 	109 
001016 	293 	90 	108 	109 
001017 	293 	90 	108 	109 
001018 	293 	90 	108 	109 
001019 	293 	90 	108 	109 
001020 	293 	90 	108 	109 
001021 	293 	90 	108 	109 
001022 	293 	90 	108 	109 
001023 	293 	90 	108 	109 
001024 	293 	90 	108 	109 
001025 	293 	90 	108 	109 
001026 	293 	90 	108 	109 
001027 	293 	90 	108 	109 
001028 	293 	90 	108 	109 
001029 	293 	90 	108 	109 
001030 	293 	90 	108 	109 
001031 	293 	90 	108 	109 
001032 	293 	90 	108 	109 
001033 	293 	90 	108 	109 
001034 	293 	90 	108 	109 
001035 	293 	90 	108 	109 
001036 	293 	90 	108 	109 
001037 	293 	90 	108 	109 
001038 	293 	90 	108 	109 
001039 	293 	78 	108 	109 
001040 	293 	78 	108 	109 
001041 	293 	78 	108 	109 
001042 	293 	78 	108 	109 
001043 	293 	78 	108 	109 
001044 	293 	90 	108 	109 
001045 	293 	90 	108 	109 
001046 	293 	78 	108 	109 
001047 	293 	78 	108 	109 
001048 	293 	78 	108 	109 
001049 	293 	78 	108 	109 
001050 	293 	78 	108 	109 
001051 	293 	78 	108 	109 
001052 	293 	78 	108 	109 
001053 	293 	78 	108 	109 
001054 	293 	78 	108 	109 
001055 	293 	78 	108 	109 
001056 	293 	78 	108 	109 
001057 	293 	78 	108 	109 
001058 	293 	78 	108 	109 
001059 	293 	78 	108 	109 
001060 	293 	78 	108 	109 
001061 	293 	78 	108 	109 
001062 	293 	78 	108 	109 
001063 	305 	78 	108 	109 
001064 	305 	90 	108 	109 
001065 	305 	78 	108 	109 
001066 	305 	78 	108 	109 
001067 	305 	78 	108 	109 
001068 	305 	78 	108 	109 
001069 	305 	90 	108 	109 
001070 	305 	78 	108 	109 
001071 	305 	90 	108 	109 
001072 	305 	78 	108 	109 
001073 	305 	78 	108 	109 
001074 	305 	78 	108 	109 
001075 	305 	78 	108 	109 
001076 	305 	90 	108 	109 
001077 	305 	78 	108 	109 
001078 	305 	90 	108 	109 
001079 	305 	90 	108 	109 
001080 	305 	90 	108 	109 
001081 	305 	78 	108 	109 
001082 	305 	78 	108 	109 
001083 	305 	78 	108 	109 
001084 	305 	78 	108 	109 
001085 	305 	78 	108 	109 
001086 	280 	66 	130 	130 
001087 	293 	78 	108 	109 
001088 	280 	80 	130 	130 
001089 	280 	80 	130 	130 
001090 	280 	80 	130 	130 
001091 	280 	80 	130 	130 
001092 	280 	80 	130 	130 
001093 	280 	80 	130 	130 
001094 	280 	80 	130 	130 
001095 	293 	90 	108 	109 
001096 	293 	90 	108 	109 
001097 	281 	90 	108 	109 
001098 	281 	90 	108 	109 
001099 	281 	90 	108 	109 
001100 	266 	80 	130 	130 
001101 	281 	90 	108 	109 
001102 	266 	80 	130 	130 
001103 	281 	102 	108 	109 
001104 	266 	94 	130 	130 
001105 	266 	94 	130 	130 
001106 	281 	102 	108 	109 
001107 	281 	102 	108 	109 
001108 	281 	102 	108 	109 
001109 	266 	94 	130 	130 
001110 	281 	102 	108 	109 
001111 	281 	102 	108 	109 
001112 	266 	94 	130 	130 
