Identity  : 	id10567
Reference : 	p_aWV6K4XY8
Offset    : 	-4
FV Conf   : 	18.412
ASD Conf  : 	6.746

FRAME 	X 	Y 	W 	H 
001511 	199 	62 	155 	155 
001512 	199 	62 	155 	155 
001513 	199 	62 	155 	155 
001514 	199 	62 	155 	155 
001515 	199 	62 	155 	155 
001516 	208 	80 	130 	130 
001517 	208 	85 	130 	130 
001518 	208 	89 	130 	130 
001519 	208 	94 	130 	130 
001520 	208 	94 	130 	130 
001521 	199 	79 	155 	156 
001522 	199 	79 	155 	156 
001523 	199 	79 	155 	156 
001524 	199 	79 	155 	156 
001525 	199 	79 	155 	156 
001526 	199 	79 	155 	156 
001527 	199 	79 	155 	156 
001528 	199 	79 	155 	156 
001529 	199 	79 	155 	156 
001530 	199 	79 	155 	156 
001531 	199 	79 	155 	156 
001532 	199 	62 	155 	155 
001533 	177 	53 	187 	187 
001534 	199 	62 	155 	155 
001535 	199 	62 	155 	155 
001536 	199 	62 	155 	155 
001537 	199 	62 	155 	155 
001538 	199 	62 	155 	155 
001539 	199 	62 	155 	155 
001540 	216 	62 	156 	155 
001541 	216 	62 	156 	155 
001542 	216 	62 	156 	155 
001543 	216 	44 	156 	156 
001544 	216 	44 	156 	156 
001545 	216 	44 	156 	156 
001546 	216 	44 	156 	156 
001547 	199 	44 	155 	156 
001548 	199 	44 	155 	156 
001549 	199 	44 	155 	156 
001550 	199 	44 	155 	156 
001551 	199 	44 	155 	156 
001552 	199 	44 	155 	156 
001553 	199 	44 	155 	156 
001554 	199 	44 	155 	156 
001555 	199 	44 	155 	156 
001556 	199 	44 	155 	156 
001557 	199 	62 	155 	155 
001558 	199 	62 	155 	155 
001559 	199 	62 	155 	155 
001560 	199 	62 	155 	155 
001561 	199 	79 	155 	156 
001562 	199 	79 	155 	156 
001563 	199 	79 	155 	156 
001564 	199 	79 	155 	156 
001565 	181 	62 	156 	155 
001566 	181 	62 	156 	155 
001567 	181 	62 	156 	155 
001568 	181 	62 	156 	155 
001569 	177 	33 	187 	187 
001570 	177 	33 	187 	187 
001571 	177 	33 	187 	187 
001572 	177 	33 	187 	187 
001573 	177 	33 	187 	187 
001574 	177 	33 	187 	187 
001575 	199 	62 	155 	155 
001576 	199 	62 	155 	155 
001577 	199 	62 	155 	155 
001578 	199 	62 	155 	155 
001579 	199 	62 	155 	155 
001580 	199 	62 	155 	155 
001581 	199 	62 	155 	155 
001582 	199 	62 	155 	155 
001583 	216 	62 	156 	155 
001584 	199 	62 	155 	155 
001585 	199 	62 	155 	155 
001586 	177 	33 	187 	187 
001587 	177 	33 	187 	187 
001588 	177 	33 	187 	187 
001589 	177 	33 	187 	187 
001590 	177 	33 	187 	187 
001591 	199 	62 	155 	155 
001592 	199 	62 	155 	155 
001593 	199 	62 	155 	155 
001594 	177 	53 	187 	187 
001595 	177 	53 	187 	187 
001596 	177 	53 	187 	187 
001597 	177 	53 	187 	187 
001598 	177 	53 	187 	187 
001599 	177 	53 	187 	187 
001600 	177 	53 	187 	187 
001601 	177 	53 	187 	187 
001602 	199 	79 	155 	156 
001603 	199 	79 	155 	156 
001604 	199 	79 	155 	156 
001605 	199 	79 	155 	156 
001606 	199 	79 	155 	156 
001607 	199 	79 	155 	156 
001608 	199 	79 	155 	156 
001609 	199 	79 	155 	156 
001610 	199 	79 	155 	156 
001611 	199 	79 	155 	156 
