Identity  : 	id10567
Reference : 	syEZZzqZB7M
Offset    : 	-3
FV Conf   : 	16.521
ASD Conf  : 	8.320

FRAME 	X 	Y 	W 	H 
001132 	197 	95 	187 	186 
001133 	197 	95 	187 	186 
001134 	197 	95 	187 	186 
001135 	197 	95 	187 	186 
001136 	197 	95 	187 	186 
001137 	197 	95 	187 	186 
001138 	197 	95 	187 	186 
001139 	197 	95 	187 	186 
001140 	197 	95 	187 	186 
001141 	197 	95 	187 	186 
001142 	197 	95 	187 	186 
001143 	197 	95 	187 	186 
001144 	197 	95 	187 	186 
001145 	197 	95 	187 	186 
001146 	197 	95 	187 	186 
001147 	197 	95 	187 	186 
001148 	197 	95 	187 	186 
001149 	197 	95 	187 	186 
001150 	197 	95 	187 	186 
001151 	197 	95 	187 	186 
001152 	197 	95 	187 	186 
001153 	197 	95 	187 	186 
001154 	197 	95 	187 	186 
001155 	197 	95 	187 	186 
001156 	197 	95 	187 	186 
001157 	216 	96 	156 	156 
001158 	233 	96 	156 	156 
001159 	233 	96 	156 	156 
001160 	233 	96 	156 	156 
001161 	233 	96 	156 	156 
001162 	233 	96 	156 	156 
001163 	233 	96 	156 	156 
001164 	233 	113 	156 	156 
001165 	233 	113 	156 	156 
001166 	233 	113 	156 	156 
001167 	233 	113 	156 	156 
001168 	233 	113 	156 	156 
001169 	233 	113 	156 	156 
001170 	233 	113 	156 	156 
001171 	216 	113 	156 	156 
001172 	216 	113 	156 	156 
001173 	216 	113 	156 	156 
001174 	216 	113 	156 	156 
001175 	216 	113 	156 	156 
001176 	216 	113 	156 	156 
001177 	216 	113 	156 	156 
001178 	216 	113 	156 	156 
001179 	216 	113 	156 	156 
001180 	197 	95 	187 	186 
001181 	216 	96 	156 	156 
001182 	233 	96 	156 	156 
001183 	233 	96 	156 	156 
001184 	233 	96 	156 	156 
001185 	233 	96 	156 	156 
001186 	233 	96 	156 	156 
001187 	233 	96 	156 	156 
001188 	250 	96 	156 	156 
001189 	250 	96 	156 	156 
001190 	250 	96 	156 	156 
001191 	250 	96 	156 	156 
001192 	250 	113 	156 	156 
001193 	233 	96 	156 	156 
001194 	233 	96 	156 	156 
001195 	233 	96 	156 	156 
001196 	197 	74 	187 	187 
001197 	197 	74 	187 	187 
001198 	216 	96 	156 	156 
001199 	199 	96 	155 	156 
001200 	199 	96 	155 	156 
001201 	199 	96 	155 	156 
001202 	177 	95 	187 	186 
001203 	177 	95 	187 	186 
001204 	177 	95 	187 	186 
001205 	177 	95 	187 	186 
001206 	177 	95 	187 	186 
001207 	197 	95 	187 	186 
001208 	197 	95 	187 	186 
001209 	197 	95 	187 	186 
001210 	197 	95 	187 	186 
001211 	197 	95 	187 	186 
001212 	197 	95 	187 	186 
001213 	197 	95 	187 	186 
001214 	197 	95 	187 	186 
001215 	197 	95 	187 	186 
001216 	197 	95 	187 	186 
001217 	197 	95 	187 	186 
001218 	197 	95 	187 	186 
001219 	197 	95 	187 	186 
001220 	197 	95 	187 	186 
001221 	233 	113 	156 	156 
001222 	233 	113 	156 	156 
001223 	233 	113 	156 	156 
