Identity  : 	id10570
Reference : 	6zB_rRyLii4
Offset    : 	-1
FV Conf   : 	14.945
ASD Conf  : 	5.716

FRAME 	X 	Y 	W 	H 
004724 	363 	65 	91 	91 
004725 	363 	65 	91 	91 
004726 	363 	65 	91 	91 
004727 	353 	65 	91 	91 
004728 	353 	65 	91 	91 
004729 	353 	65 	91 	91 
004730 	353 	65 	91 	91 
004731 	353 	65 	91 	91 
004732 	353 	65 	91 	91 
004733 	353 	65 	91 	91 
004734 	353 	65 	91 	91 
004735 	353 	65 	91 	91 
004736 	353 	65 	91 	91 
004737 	353 	65 	91 	91 
004738 	343 	65 	91 	91 
004739 	343 	65 	91 	91 
004740 	343 	65 	91 	91 
004741 	343 	65 	91 	91 
004742 	343 	65 	91 	91 
004743 	343 	65 	91 	91 
004744 	343 	65 	91 	91 
004745 	343 	65 	91 	91 
004746 	343 	65 	91 	91 
004747 	343 	75 	91 	91 
004748 	343 	75 	91 	91 
004749 	343 	75 	91 	91 
004750 	343 	75 	91 	91 
004751 	343 	75 	91 	91 
004752 	343 	75 	91 	91 
004753 	343 	75 	91 	91 
004754 	343 	75 	91 	91 
004755 	343 	75 	91 	91 
004756 	343 	75 	91 	91 
004757 	343 	75 	91 	91 
004758 	343 	75 	91 	91 
004759 	343 	75 	91 	91 
004760 	343 	75 	91 	91 
004761 	343 	75 	91 	91 
004762 	343 	75 	91 	91 
004763 	343 	75 	91 	91 
004764 	343 	75 	91 	91 
004765 	343 	75 	91 	91 
004766 	343 	75 	91 	91 
004767 	343 	75 	91 	91 
004768 	343 	75 	91 	91 
004769 	343 	75 	91 	91 
004770 	343 	75 	91 	91 
004771 	343 	75 	91 	91 
004772 	329 	66 	108 	109 
004773 	329 	66 	108 	109 
004774 	333 	75 	91 	91 
004775 	333 	75 	91 	91 
004776 	333 	85 	91 	91 
004777 	333 	85 	91 	91 
004778 	333 	85 	91 	91 
004779 	333 	85 	91 	91 
004780 	333 	85 	91 	91 
004781 	317 	78 	108 	109 
004782 	323 	85 	91 	91 
004783 	323 	85 	91 	91 
004784 	323 	85 	91 	91 
004785 	323 	85 	91 	91 
004786 	323 	85 	91 	91 
004787 	323 	85 	91 	91 
004788 	323 	85 	91 	91 
004789 	323 	85 	91 	91 
004790 	323 	85 	91 	91 
004791 	323 	85 	91 	91 
004792 	323 	85 	91 	91 
004793 	323 	85 	91 	91 
004794 	323 	85 	91 	91 
004795 	323 	85 	91 	91 
004796 	323 	85 	91 	91 
004797 	323 	85 	91 	91 
004798 	323 	85 	91 	91 
004799 	323 	85 	91 	91 
004800 	323 	85 	91 	91 
004801 	323 	85 	91 	91 
004802 	323 	75 	91 	91 
004803 	323 	75 	91 	91 
004804 	323 	75 	91 	91 
004805 	323 	75 	91 	91 
004806 	323 	65 	91 	91 
004807 	323 	65 	91 	91 
004808 	323 	65 	91 	91 
004809 	333 	65 	91 	91 
004810 	333 	55 	91 	91 
004811 	333 	55 	91 	91 
004812 	333 	55 	91 	91 
004813 	333 	55 	91 	91 
004814 	338 	55 	91 	91 
004815 	343 	55 	91 	91 
004816 	343 	55 	91 	91 
004817 	343 	55 	91 	91 
004818 	343 	55 	91 	91 
004819 	353 	65 	91 	91 
004820 	353 	65 	91 	91 
004821 	353 	65 	91 	91 
004822 	353 	65 	91 	91 
004823 	353 	65 	91 	91 
004824 	353 	65 	91 	91 
004825 	363 	75 	91 	91 
004826 	363 	75 	91 	91 
004827 	363 	75 	91 	91 
004828 	363 	75 	91 	91 
004829 	363 	75 	91 	91 
004830 	363 	65 	91 	91 
004831 	363 	65 	91 	91 
004832 	363 	65 	91 	91 
004833 	353 	65 	91 	91 
004834 	353 	65 	91 	91 
004835 	353 	65 	91 	91 
004836 	353 	65 	91 	91 
004837 	353 	65 	91 	91 
004838 	353 	65 	91 	91 
004839 	353 	65 	91 	91 
004840 	353 	65 	91 	91 
004841 	353 	65 	91 	91 
004842 	353 	65 	91 	91 
004843 	353 	65 	91 	91 
004844 	353 	65 	91 	91 
004845 	353 	65 	91 	91 
004846 	353 	65 	91 	91 
004847 	353 	75 	91 	91 
004848 	353 	75 	91 	91 
004849 	353 	65 	91 	91 
004850 	353 	65 	91 	91 
004851 	353 	65 	91 	91 
004852 	353 	65 	91 	91 
004853 	353 	65 	91 	91 
