Identity  : 	id10570
Reference : 	FpvbwQUjU3I
Offset    : 	-4
FV Conf   : 	16.613
ASD Conf  : 	7.751

FRAME 	X 	Y 	W 	H 
000849 	250 	44 	156 	156 
000850 	250 	44 	156 	156 
000851 	250 	62 	156 	155 
000852 	250 	44 	156 	156 
000853 	250 	62 	156 	155 
000854 	266 	66 	130 	130 
000855 	250 	44 	156 	156 
000856 	250 	44 	156 	156 
000857 	266 	80 	130 	130 
000858 	266 	80 	130 	130 
000859 	250 	62 	156 	155 
000860 	250 	62 	156 	155 
000861 	250 	62 	156 	155 
000862 	266 	80 	130 	130 
000863 	250 	62 	156 	155 
000864 	250 	62 	156 	155 
000865 	266 	80 	130 	130 
000866 	250 	62 	156 	155 
000867 	250 	62 	156 	155 
000868 	266 	80 	130 	130 
000869 	267 	62 	156 	155 
000870 	267 	62 	156 	155 
000871 	280 	80 	130 	130 
000872 	280 	80 	130 	130 
000873 	280 	80 	130 	130 
000874 	267 	62 	156 	155 
000875 	267 	62 	156 	155 
000876 	280 	80 	130 	130 
000877 	267 	62 	156 	155 
000878 	280 	80 	130 	130 
000879 	267 	62 	156 	155 
000880 	280 	80 	130 	130 
000881 	267 	62 	156 	155 
000882 	280 	80 	130 	130 
000883 	280 	80 	130 	130 
000884 	280 	80 	130 	130 
000885 	280 	80 	130 	130 
000886 	267 	62 	156 	155 
000887 	280 	80 	130 	130 
000888 	267 	62 	156 	155 
000889 	250 	62 	156 	155 
000890 	250 	62 	156 	155 
000891 	250 	62 	156 	155 
000892 	250 	62 	156 	155 
000893 	250 	62 	156 	155 
000894 	250 	79 	156 	156 
000895 	250 	79 	156 	156 
000896 	250 	79 	156 	156 
000897 	250 	79 	156 	156 
000898 	250 	79 	156 	156 
000899 	250 	62 	156 	155 
000900 	250 	62 	156 	155 
000901 	250 	62 	156 	155 
000902 	250 	62 	156 	155 
000903 	250 	62 	156 	155 
000904 	250 	62 	156 	155 
000905 	250 	62 	156 	155 
000906 	251 	80 	130 	130 
000907 	251 	80 	130 	130 
000908 	251 	80 	130 	130 
000909 	251 	80 	130 	130 
000910 	251 	80 	130 	130 
000911 	233 	62 	156 	155 
000912 	233 	62 	156 	155 
000913 	233 	62 	156 	155 
000914 	233 	62 	156 	155 
000915 	233 	62 	156 	155 
000916 	251 	66 	130 	130 
000917 	233 	44 	156 	156 
000918 	233 	62 	156 	155 
000919 	233 	62 	156 	155 
000920 	251 	80 	130 	130 
000921 	233 	62 	156 	155 
000922 	233 	62 	156 	155 
000923 	233 	62 	156 	155 
000924 	233 	62 	156 	155 
000925 	233 	62 	156 	155 
000926 	251 	80 	130 	130 
000927 	251 	80 	130 	130 
000928 	251 	80 	130 	130 
000929 	251 	80 	130 	130 
000930 	251 	80 	130 	130 
000931 	251 	80 	130 	130 
000932 	251 	80 	130 	130 
000933 	251 	66 	130 	130 
000934 	251 	66 	130 	130 
000935 	250 	62 	156 	155 
000936 	250 	62 	156 	155 
