Identity  : 	id10572
Reference : 	0lQ2j2C05PI
Offset    : 	-5
FV Conf   : 	16.218
ASD Conf  : 	8.270

FRAME 	X 	Y 	W 	H 
002033 	161 	78 	109 	109 
002034 	161 	78 	109 	109 
002035 	161 	78 	109 	109 
002036 	161 	78 	109 	109 
002037 	161 	78 	109 	109 
002038 	161 	78 	109 	109 
002039 	161 	78 	109 	109 
002040 	161 	78 	109 	109 
002041 	161 	78 	109 	109 
002042 	161 	78 	109 	109 
002043 	161 	78 	109 	109 
002044 	161 	78 	109 	109 
002045 	161 	78 	109 	109 
002046 	161 	78 	109 	109 
002047 	161 	78 	109 	109 
002048 	161 	78 	109 	109 
002049 	161 	78 	109 	109 
002050 	161 	78 	109 	109 
002051 	161 	78 	109 	109 
002052 	161 	78 	109 	109 
002053 	161 	78 	109 	109 
002054 	161 	78 	109 	109 
002055 	151 	80 	130 	130 
002056 	173 	90 	109 	109 
002057 	173 	90 	109 	109 
002058 	165 	80 	130 	130 
002059 	165 	80 	130 	130 
002060 	185 	78 	109 	109 
002061 	180 	66 	130 	130 
002062 	180 	66 	130 	130 
002063 	180 	66 	130 	130 
002064 	180 	66 	130 	130 
002065 	180 	66 	130 	130 
002066 	180 	66 	130 	130 
002067 	194 	66 	130 	130 
002068 	194 	66 	130 	130 
002069 	194 	66 	130 	130 
002070 	194 	66 	130 	130 
002071 	194 	66 	130 	130 
002072 	194 	66 	130 	130 
002073 	194 	66 	130 	130 
002074 	194 	66 	130 	130 
002075 	194 	66 	130 	130 
002076 	194 	66 	130 	130 
002077 	194 	66 	130 	130 
002078 	194 	66 	130 	130 
002079 	194 	66 	130 	130 
002080 	194 	80 	130 	130 
002081 	194 	80 	130 	130 
002082 	208 	80 	130 	130 
002083 	208 	80 	130 	130 
002084 	208 	80 	130 	130 
002085 	208 	80 	130 	130 
002086 	208 	80 	130 	130 
002087 	208 	80 	130 	130 
002088 	208 	80 	130 	130 
002089 	208 	80 	130 	130 
002090 	208 	80 	130 	130 
002091 	208 	80 	130 	130 
002092 	208 	80 	130 	130 
002093 	208 	80 	130 	130 
002094 	223 	80 	130 	130 
002095 	223 	80 	130 	130 
002096 	208 	80 	130 	130 
002097 	221 	90 	109 	109 
002098 	221 	90 	109 	109 
002099 	208 	80 	130 	130 
002100 	208 	80 	130 	130 
002101 	208 	80 	130 	130 
002102 	208 	80 	130 	130 
002103 	208 	80 	130 	130 
002104 	208 	80 	130 	130 
002105 	208 	80 	130 	130 
002106 	208 	80 	130 	130 
002107 	208 	80 	130 	130 
002108 	208 	80 	130 	130 
002109 	208 	80 	130 	130 
002110 	208 	80 	130 	130 
002111 	208 	80 	130 	130 
002112 	194 	80 	130 	130 
002113 	194 	80 	130 	130 
002114 	194 	80 	130 	130 
002115 	194 	80 	130 	130 
002116 	194 	80 	130 	130 
002117 	194 	80 	130 	130 
002118 	194 	80 	130 	130 
002119 	194 	80 	130 	130 
002120 	194 	80 	130 	130 
002121 	180 	80 	130 	130 
002122 	180 	80 	130 	130 
002123 	180 	80 	130 	130 
002124 	180 	80 	130 	130 
002125 	180 	80 	130 	130 
002126 	180 	80 	130 	130 
002127 	180 	80 	130 	130 
002128 	180 	66 	130 	130 
002129 	180 	66 	130 	130 
002130 	180 	66 	130 	130 
002131 	180 	66 	130 	130 
002132 	180 	66 	130 	130 
002133 	180 	66 	130 	130 
002134 	180 	66 	130 	130 
002135 	180 	66 	130 	130 
002136 	180 	66 	130 	130 
002137 	180 	66 	130 	130 
002138 	180 	66 	130 	130 
002139 	180 	66 	130 	130 
002140 	180 	66 	130 	130 
002141 	180 	66 	130 	130 
002142 	180 	51 	130 	130 
002143 	180 	51 	130 	130 
002144 	180 	51 	130 	130 
002145 	180 	51 	130 	130 
002146 	180 	51 	130 	130 
002147 	180 	51 	130 	130 
002148 	180 	51 	130 	130 
002149 	180 	51 	130 	130 
002150 	180 	51 	130 	130 
002151 	180 	51 	130 	130 
002152 	180 	51 	130 	130 
002153 	164 	44 	156 	156 
002154 	180 	51 	130 	130 
002155 	180 	51 	130 	130 
002156 	165 	51 	130 	130 
002157 	165 	51 	130 	130 
002158 	165 	51 	130 	130 
002159 	165 	51 	130 	130 
002160 	165 	51 	130 	130 
002161 	165 	37 	130 	130 
002162 	165 	37 	130 	130 
002163 	151 	23 	130 	130 
002164 	151 	23 	130 	130 
002165 	151 	23 	130 	130 
002166 	165 	37 	130 	130 
002167 	165 	37 	130 	130 
002168 	165 	51 	130 	130 
002169 	165 	51 	130 	130 
002170 	165 	51 	130 	130 
002171 	165 	51 	130 	130 
002172 	165 	51 	130 	130 
002173 	165 	51 	130 	130 
002174 	165 	51 	130 	130 
002175 	165 	51 	130 	130 
002176 	165 	51 	130 	130 
002177 	165 	51 	130 	130 
002178 	165 	51 	130 	130 
002179 	165 	51 	130 	130 
002180 	165 	51 	130 	130 
002181 	165 	51 	130 	130 
002182 	165 	51 	130 	130 
002183 	165 	66 	130 	130 
002184 	165 	66 	130 	130 
002185 	165 	66 	130 	130 
002186 	165 	66 	130 	130 
002187 	165 	51 	130 	130 
002188 	165 	51 	130 	130 
002189 	165 	51 	130 	130 
002190 	165 	51 	130 	130 
002191 	165 	51 	130 	130 
002192 	165 	51 	130 	130 
002193 	165 	51 	130 	130 
002194 	165 	51 	130 	130 
002195 	165 	51 	130 	130 
002196 	165 	51 	130 	130 
002197 	165 	51 	130 	130 
002198 	165 	51 	130 	130 
002199 	165 	51 	130 	130 
002200 	165 	51 	130 	130 
002201 	165 	51 	130 	130 
002202 	151 	66 	130 	130 
002203 	151 	66 	130 	130 
002204 	151 	66 	130 	130 
002205 	151 	66 	130 	130 
002206 	151 	66 	130 	130 
002207 	151 	66 	130 	130 
002208 	151 	66 	130 	130 
002209 	151 	66 	130 	130 
002210 	151 	66 	130 	130 
002211 	151 	66 	130 	130 
002212 	151 	66 	130 	130 
002213 	151 	66 	130 	130 
002214 	151 	66 	130 	130 
002215 	151 	66 	130 	130 
002216 	151 	66 	130 	130 
002217 	151 	66 	130 	130 
002218 	151 	66 	130 	130 
002219 	151 	66 	130 	130 
002220 	151 	66 	130 	130 
002221 	151 	66 	130 	130 
002222 	151 	66 	130 	130 
002223 	151 	66 	130 	130 
002224 	151 	66 	130 	130 
002225 	151 	66 	130 	130 
002226 	151 	66 	130 	130 
002227 	151 	66 	130 	130 
002228 	151 	66 	130 	130 
002229 	151 	66 	130 	130 
002230 	151 	66 	130 	130 
002231 	151 	66 	130 	130 
002232 	151 	66 	130 	130 
002233 	151 	66 	130 	130 
002234 	151 	66 	130 	130 
002235 	151 	66 	130 	130 
002236 	151 	66 	130 	130 
002237 	151 	66 	130 	130 
002238 	151 	66 	130 	130 
002239 	151 	66 	130 	130 
002240 	151 	66 	130 	130 
002241 	151 	66 	130 	130 
002242 	151 	66 	130 	130 
002243 	151 	66 	130 	130 
002244 	151 	66 	130 	130 
002245 	151 	66 	130 	130 
002246 	151 	66 	130 	130 
002247 	151 	66 	130 	130 
002248 	151 	66 	130 	130 
002249 	151 	51 	130 	130 
002250 	151 	51 	130 	130 
002251 	151 	51 	130 	130 
002252 	151 	51 	130 	130 
002253 	151 	51 	130 	130 
002254 	151 	51 	130 	130 
002255 	151 	51 	130 	130 
002256 	151 	51 	130 	130 
002257 	151 	51 	130 	130 
002258 	151 	51 	130 	130 
002259 	151 	51 	130 	130 
002260 	151 	51 	130 	130 
002261 	151 	51 	130 	130 
002262 	151 	51 	130 	130 
002263 	151 	51 	130 	130 
