Identity  : 	id10595
Reference : 	JOde5rbtJaI
Offset    : 	0
FV Conf   : 	20.241
ASD Conf  : 	6.100

FRAME 	X 	Y 	W 	H 
005284 	195 	54 	75 	76 
005285 	195 	54 	75 	76 
005286 	195 	54 	75 	76 
005287 	195 	54 	75 	76 
005288 	195 	54 	75 	76 
005289 	184 	45 	91 	91 
005290 	184 	45 	91 	91 
005291 	184 	55 	91 	91 
005292 	184 	55 	91 	91 
005293 	184 	55 	91 	91 
005294 	184 	55 	91 	91 
005295 	184 	55 	91 	91 
005296 	184 	55 	91 	91 
005297 	184 	55 	91 	91 
005298 	184 	55 	91 	91 
005299 	184 	65 	91 	91 
005300 	184 	65 	91 	91 
005301 	184 	65 	91 	91 
005302 	184 	65 	91 	91 
005303 	184 	55 	91 	91 
005304 	184 	55 	91 	91 
005305 	194 	55 	91 	91 
005306 	194 	55 	91 	91 
005307 	194 	55 	91 	91 
005308 	194 	55 	91 	91 
005309 	194 	55 	91 	91 
005310 	194 	55 	91 	91 
005311 	194 	55 	91 	91 
005312 	194 	65 	91 	91 
005313 	194 	65 	91 	91 
005314 	194 	65 	91 	91 
005315 	195 	71 	75 	75 
005316 	195 	71 	75 	75 
005317 	195 	71 	75 	75 
005318 	184 	65 	91 	91 
005319 	184 	65 	91 	91 
005320 	186 	71 	76 	75 
005321 	174 	65 	91 	91 
005322 	174 	65 	91 	91 
005323 	174 	65 	91 	91 
005324 	174 	65 	91 	91 
005325 	178 	71 	76 	75 
005326 	178 	71 	76 	75 
005327 	178 	71 	76 	75 
005328 	178 	71 	76 	75 
005329 	178 	71 	76 	75 
005330 	178 	71 	76 	75 
005331 	178 	71 	76 	75 
005332 	178 	71 	76 	75 
005333 	178 	71 	76 	75 
005334 	174 	65 	91 	91 
005335 	174 	65 	91 	91 
005336 	174 	65 	91 	91 
005337 	174 	65 	91 	91 
005338 	174 	65 	91 	91 
005339 	174 	65 	91 	91 
005340 	174 	65 	91 	91 
005341 	174 	65 	91 	91 
005342 	174 	55 	91 	91 
005343 	184 	55 	91 	91 
005344 	184 	55 	91 	91 
005345 	194 	55 	91 	91 
005346 	204 	55 	91 	91 
005347 	204 	55 	91 	91 
005348 	220 	62 	75 	76 
005349 	220 	62 	75 	76 
005350 	204 	45 	91 	91 
005351 	204 	45 	91 	91 
005352 	204 	45 	91 	91 
005353 	194 	45 	91 	91 
005354 	194 	45 	91 	91 
005355 	194 	45 	91 	91 
005356 	194 	45 	91 	91 
005357 	194 	45 	91 	91 
005358 	194 	55 	91 	91 
005359 	195 	62 	75 	76 
005360 	195 	62 	75 	76 
005361 	184 	55 	91 	91 
005362 	184 	55 	91 	91 
005363 	184 	55 	91 	91 
005364 	184 	55 	91 	91 
005365 	184 	55 	91 	91 
005366 	184 	55 	91 	91 
005367 	184 	55 	91 	91 
005368 	184 	55 	91 	91 
005369 	184 	65 	91 	91 
005370 	184 	65 	91 	91 
005371 	184 	65 	91 	91 
005372 	184 	65 	91 	91 
005373 	184 	65 	91 	91 
005374 	184 	65 	91 	91 
005375 	184 	65 	91 	91 
005376 	184 	65 	91 	91 
005377 	184 	65 	91 	91 
005378 	184 	65 	91 	91 
005379 	184 	65 	91 	91 
005380 	186 	71 	76 	75 
005381 	186 	79 	76 	76 
005382 	186 	79 	76 	76 
005383 	186 	79 	76 	76 
005384 	186 	79 	76 	76 
005385 	186 	79 	76 	76 
005386 	186 	79 	76 	76 
005387 	186 	79 	76 	76 
005388 	186 	79 	76 	76 
005389 	186 	79 	76 	76 
005390 	186 	87 	76 	76 
005391 	186 	87 	76 	76 
005392 	186 	87 	76 	76 
005393 	186 	87 	76 	76 
005394 	186 	87 	76 	76 
005395 	174 	75 	91 	91 
005396 	174 	75 	91 	91 
005397 	174 	75 	91 	91 
005398 	174 	75 	91 	91 
005399 	174 	65 	91 	91 
005400 	174 	65 	91 	91 
005401 	186 	71 	76 	75 
005402 	174 	55 	91 	91 
005403 	174 	55 	91 	91 
005404 	174 	55 	91 	91 
005405 	186 	62 	76 	76 
005406 	184 	55 	91 	91 
005407 	184 	55 	91 	91 
005408 	184 	55 	91 	91 
