Identity  : 	id10598
Reference : 	_GCxJn4_v04
Offset    : 	-7
FV Conf   : 	18.910
ASD Conf  : 	8.985

FRAME 	X 	Y 	W 	H 
013236 	257 	54 	109 	109 
013237 	257 	54 	109 	109 
013238 	257 	54 	109 	109 
013239 	257 	54 	109 	109 
013240 	257 	54 	109 	109 
013241 	257 	54 	109 	109 
013242 	257 	54 	109 	109 
013243 	257 	54 	109 	109 
013244 	257 	54 	109 	109 
013245 	257 	54 	109 	109 
013246 	257 	54 	109 	109 
013247 	257 	54 	109 	109 
013248 	257 	54 	109 	109 
013249 	257 	54 	109 	109 
013250 	257 	54 	109 	109 
013251 	257 	54 	109 	109 
013252 	257 	54 	109 	109 
013253 	257 	54 	109 	109 
013254 	257 	54 	109 	109 
013255 	257 	54 	109 	109 
013256 	257 	54 	109 	109 
013257 	257 	54 	109 	109 
013258 	257 	54 	109 	109 
013259 	257 	54 	109 	109 
013260 	257 	54 	109 	109 
013261 	257 	54 	109 	109 
013262 	257 	54 	109 	109 
013263 	257 	54 	109 	109 
013264 	257 	54 	109 	109 
013265 	257 	54 	109 	109 
013266 	257 	54 	109 	109 
013267 	257 	54 	109 	109 
013268 	257 	54 	109 	109 
013269 	257 	54 	109 	109 
013270 	274 	65 	90 	91 
013271 	274 	65 	90 	91 
013272 	274 	65 	90 	91 
013273 	274 	55 	90 	91 
013274 	274 	55 	90 	91 
013275 	274 	55 	90 	91 
013276 	274 	55 	90 	91 
013277 	274 	55 	90 	91 
013278 	274 	55 	90 	91 
013279 	274 	55 	90 	91 
013280 	257 	54 	109 	109 
013281 	257 	54 	109 	109 
013282 	257 	54 	109 	109 
013283 	257 	54 	109 	109 
013284 	257 	54 	109 	109 
013285 	257 	54 	109 	109 
013286 	257 	54 	109 	109 
013287 	257 	54 	109 	109 
013288 	274 	65 	90 	91 
013289 	274 	65 	90 	91 
013290 	274 	65 	90 	91 
013291 	274 	65 	90 	91 
013292 	257 	54 	109 	109 
013293 	257 	54 	109 	109 
013294 	257 	54 	109 	109 
013295 	264 	65 	90 	91 
013296 	257 	54 	109 	109 
013297 	257 	54 	109 	109 
013298 	257 	54 	109 	109 
013299 	257 	54 	109 	109 
013300 	257 	54 	109 	109 
013301 	257 	54 	109 	109 
013302 	257 	54 	109 	109 
013303 	257 	54 	109 	109 
013304 	264 	65 	90 	91 
013305 	257 	54 	109 	109 
013306 	257 	54 	109 	109 
013307 	257 	54 	109 	109 
013308 	257 	54 	109 	109 
013309 	257 	54 	109 	109 
013310 	264 	65 	90 	91 
013311 	264 	65 	90 	91 
013312 	264 	65 	90 	91 
013313 	264 	65 	90 	91 
013314 	264 	65 	90 	91 
013315 	264 	65 	90 	91 
013316 	264 	65 	90 	91 
013317 	264 	65 	90 	91 
013318 	257 	54 	109 	109 
013319 	257 	54 	109 	109 
013320 	264 	65 	90 	91 
013321 	257 	54 	109 	109 
013322 	257 	54 	109 	109 
013323 	257 	54 	109 	109 
013324 	264 	65 	90 	91 
013325 	264 	65 	90 	91 
013326 	257 	54 	109 	109 
013327 	257 	54 	109 	109 
013328 	257 	54 	109 	109 
013329 	257 	54 	109 	109 
013330 	257 	54 	109 	109 
013331 	257 	54 	109 	109 
013332 	257 	54 	109 	109 
013333 	257 	54 	109 	109 
013334 	257 	54 	109 	109 
013335 	257 	54 	109 	109 
013336 	257 	54 	109 	109 
013337 	257 	54 	109 	109 
013338 	264 	65 	90 	91 
013339 	257 	54 	109 	109 
013340 	257 	54 	109 	109 
013341 	257 	54 	109 	109 
013342 	257 	54 	109 	109 
013343 	257 	54 	109 	109 
013344 	257 	54 	109 	109 
013345 	264 	65 	90 	91 
013346 	257 	54 	109 	109 
013347 	264 	65 	90 	91 
013348 	257 	54 	109 	109 
013349 	257 	54 	109 	109 
013350 	264 	65 	90 	91 
013351 	264 	65 	90 	91 
013352 	257 	54 	109 	109 
013353 	257 	54 	109 	109 
013354 	257 	54 	109 	109 
013355 	257 	54 	109 	109 
013356 	245 	54 	109 	109 
013357 	245 	54 	109 	109 
013358 	245 	54 	109 	109 
013359 	245 	54 	109 	109 
013360 	245 	54 	109 	109 
013361 	257 	54 	109 	109 
013362 	257 	54 	109 	109 
013363 	257 	54 	109 	109 
013364 	257 	54 	109 	109 
013365 	257 	54 	109 	109 
013366 	257 	54 	109 	109 
013367 	257 	54 	109 	109 
