Identity  : 	id10598
Reference : 	dKNgiTqq0dk
Offset    : 	-3
FV Conf   : 	13.584
ASD Conf  : 	7.510

FRAME 	X 	Y 	W 	H 
017669 	329 	66 	108 	109 
017670 	341 	66 	108 	109 
017671 	341 	66 	108 	109 
017672 	323 	66 	130 	130 
017673 	323 	66 	130 	130 
017674 	323 	66 	130 	130 
017675 	323 	66 	130 	130 
017676 	329 	66 	108 	109 
017677 	329 	66 	108 	109 
017678 	329 	66 	108 	109 
017679 	329 	66 	108 	109 
017680 	329 	66 	108 	109 
017681 	329 	66 	108 	109 
017682 	329 	66 	108 	109 
017683 	309 	51 	130 	130 
017684 	309 	51 	130 	130 
017685 	309 	51 	130 	130 
017686 	317 	66 	108 	109 
017687 	317 	66 	108 	109 
017688 	317 	66 	108 	109 
017689 	317 	66 	108 	109 
017690 	317 	66 	108 	109 
017691 	317 	66 	108 	109 
017692 	317 	66 	108 	109 
017693 	317 	66 	108 	109 
017694 	317 	66 	108 	109 
017695 	317 	66 	108 	109 
017696 	317 	66 	108 	109 
017697 	317 	66 	108 	109 
017698 	317 	66 	108 	109 
017699 	317 	66 	108 	109 
017700 	317 	66 	108 	109 
017701 	317 	66 	108 	109 
017702 	317 	66 	108 	109 
017703 	317 	66 	108 	109 
017704 	309 	51 	130 	130 
017705 	329 	66 	108 	109 
017706 	329 	66 	108 	109 
017707 	329 	66 	108 	109 
017708 	329 	66 	108 	109 
017709 	329 	66 	108 	109 
017710 	329 	66 	108 	109 
017711 	317 	66 	108 	109 
017712 	317 	66 	108 	109 
017713 	317 	66 	108 	109 
017714 	317 	66 	108 	109 
017715 	317 	66 	108 	109 
017716 	317 	66 	108 	109 
017717 	317 	66 	108 	109 
017718 	317 	66 	108 	109 
017719 	317 	66 	108 	109 
017720 	317 	66 	108 	109 
017721 	317 	66 	108 	109 
017722 	317 	66 	108 	109 
017723 	317 	66 	108 	109 
017724 	317 	66 	108 	109 
017725 	294 	51 	130 	130 
017726 	294 	51 	130 	130 
017727 	294 	51 	130 	130 
017728 	317 	66 	108 	109 
017729 	317 	66 	108 	109 
017730 	317 	66 	108 	109 
017731 	305 	66 	108 	109 
017732 	305 	66 	108 	109 
017733 	305 	66 	108 	109 
017734 	305 	66 	108 	109 
017735 	305 	66 	108 	109 
017736 	305 	66 	108 	109 
017737 	305 	66 	108 	109 
017738 	305 	66 	108 	109 
017739 	305 	66 	108 	109 
017740 	305 	66 	108 	109 
017741 	305 	66 	108 	109 
017742 	305 	66 	108 	109 
017743 	305 	66 	108 	109 
017744 	305 	66 	108 	109 
017745 	305 	66 	108 	109 
017746 	305 	66 	108 	109 
017747 	305 	66 	108 	109 
017748 	305 	66 	108 	109 
017749 	305 	66 	108 	109 
017750 	305 	66 	108 	109 
017751 	305 	66 	108 	109 
017752 	305 	66 	108 	109 
017753 	305 	66 	108 	109 
017754 	305 	66 	108 	109 
017755 	305 	66 	108 	109 
017756 	305 	66 	108 	109 
017757 	292 	58 	119 	120 
017758 	280 	51 	130 	130 
017759 	293 	54 	108 	109 
017760 	281 	54 	108 	109 
017761 	281 	54 	108 	109 
017762 	281 	54 	108 	109 
017763 	281 	54 	108 	109 
017764 	266 	51 	130 	130 
017765 	266 	51 	130 	130 
017766 	266 	51 	130 	130 
017767 	266 	51 	130 	130 
017768 	266 	51 	130 	130 
017769 	266 	51 	130 	130 
017770 	271 	52 	123 	123 
017771 	276 	53 	115 	116 
017772 	281 	54 	108 	109 
017773 	281 	54 	108 	109 
017774 	281 	54 	108 	109 
017775 	281 	54 	108 	109 
017776 	281 	54 	108 	109 
