Identity  : 	id10598
Reference : 	nVOBmDm0p94
Offset    : 	0
FV Conf   : 	18.462
ASD Conf  : 	6.270

FRAME 	X 	Y 	W 	H 
010715 	147 	79 	156 	156 
010716 	147 	79 	156 	156 
010717 	147 	79 	156 	156 
010718 	147 	79 	156 	156 
010719 	147 	79 	156 	156 
010720 	147 	79 	156 	156 
010721 	135 	53 	187 	187 
010722 	135 	53 	187 	187 
010723 	135 	53 	187 	187 
010724 	147 	79 	156 	156 
010725 	147 	79 	156 	156 
010726 	135 	53 	187 	187 
010727 	135 	53 	187 	187 
010728 	147 	79 	156 	156 
010729 	135 	53 	187 	187 
010730 	135 	53 	187 	187 
010731 	135 	53 	187 	187 
010732 	135 	53 	187 	187 
010733 	147 	62 	156 	155 
010734 	135 	53 	187 	187 
010735 	135 	53 	187 	187 
010736 	135 	53 	187 	187 
010737 	164 	62 	156 	155 
010738 	164 	62 	156 	155 
010739 	164 	62 	156 	155 
010740 	164 	62 	156 	155 
010741 	164 	62 	156 	155 
010742 	164 	62 	156 	155 
010743 	164 	62 	156 	155 
010744 	164 	62 	156 	155 
010745 	164 	62 	156 	155 
010746 	164 	62 	156 	155 
010747 	164 	62 	156 	155 
010748 	164 	62 	156 	155 
010749 	164 	62 	156 	155 
010750 	156 	53 	187 	187 
010751 	164 	62 	156 	155 
010752 	164 	62 	156 	155 
010753 	164 	62 	156 	155 
010754 	164 	62 	156 	155 
010755 	164 	62 	156 	155 
010756 	164 	62 	156 	155 
010757 	164 	62 	156 	155 
010758 	164 	62 	156 	155 
010759 	164 	62 	156 	155 
010760 	164 	62 	156 	155 
010761 	164 	62 	156 	155 
010762 	164 	62 	156 	155 
010763 	135 	53 	187 	187 
010764 	164 	79 	156 	156 
010765 	135 	53 	187 	187 
010766 	135 	53 	187 	187 
010767 	135 	53 	187 	187 
010768 	164 	62 	156 	155 
010769 	164 	62 	156 	155 
010770 	135 	53 	187 	187 
010771 	135 	53 	187 	187 
010772 	135 	53 	187 	187 
010773 	135 	53 	187 	187 
010774 	135 	53 	187 	187 
010775 	164 	62 	156 	155 
010776 	164 	62 	156 	155 
010777 	164 	62 	156 	155 
010778 	164 	62 	156 	155 
010779 	164 	79 	156 	156 
010780 	164 	79 	156 	156 
010781 	164 	79 	156 	156 
010782 	164 	79 	156 	156 
010783 	164 	79 	156 	156 
010784 	164 	79 	156 	156 
010785 	164 	79 	156 	156 
010786 	164 	79 	156 	156 
010787 	164 	79 	156 	156 
010788 	164 	79 	156 	156 
010789 	164 	79 	156 	156 
010790 	164 	79 	156 	156 
010791 	164 	79 	156 	156 
010792 	156 	70 	156 	156 
010793 	147 	62 	156 	155 
010794 	147 	62 	156 	155 
010795 	135 	53 	187 	187 
010796 	147 	79 	156 	156 
010797 	135 	53 	187 	187 
010798 	135 	53 	187 	187 
010799 	135 	53 	187 	187 
010800 	147 	79 	156 	156 
010801 	147 	79 	156 	156 
010802 	147 	79 	156 	156 
010803 	147 	79 	156 	156 
010804 	147 	79 	156 	156 
