Identity  : 	id10598
Reference : 	r9OasNyTuRM
Offset    : 	0
FV Conf   : 	19.860
ASD Conf  : 	7.301

FRAME 	X 	Y 	W 	H 
007464 	264 	75 	90 	91 
007465 	264 	75 	90 	91 
007466 	264 	75 	90 	91 
007467 	264 	75 	90 	91 
007468 	254 	75 	90 	91 
007469 	254 	75 	90 	91 
007470 	254 	75 	90 	91 
007471 	233 	66 	109 	109 
007472 	233 	66 	109 	109 
007473 	233 	66 	109 	109 
007474 	234 	75 	90 	91 
007475 	224 	75 	91 	91 
007476 	224 	75 	91 	91 
007477 	224 	75 	91 	91 
007478 	224 	75 	91 	91 
007479 	224 	85 	91 	91 
007480 	224 	75 	91 	91 
007481 	234 	75 	90 	91 
007482 	234 	75 	90 	91 
007483 	233 	66 	109 	109 
007484 	244 	75 	90 	91 
007485 	245 	66 	109 	109 
007486 	264 	75 	90 	91 
007487 	257 	66 	109 	109 
007488 	269 	66 	108 	109 
007489 	269 	66 	108 	109 
007490 	269 	66 	108 	109 
007491 	269 	66 	108 	109 
007492 	269 	66 	108 	109 
007493 	269 	66 	108 	109 
007494 	269 	66 	108 	109 
007495 	269 	66 	108 	109 
007496 	269 	66 	108 	109 
007497 	269 	66 	108 	109 
007498 	269 	66 	108 	109 
007499 	269 	66 	108 	109 
007500 	269 	66 	108 	109 
007501 	269 	66 	108 	109 
007502 	269 	66 	108 	109 
007503 	269 	66 	108 	109 
007504 	269 	66 	108 	109 
007505 	274 	75 	90 	91 
007506 	274 	75 	90 	91 
007507 	269 	66 	108 	109 
007508 	269 	66 	108 	109 
007509 	269 	66 	108 	109 
007510 	269 	66 	108 	109 
007511 	269 	66 	108 	109 
007512 	269 	66 	108 	109 
007513 	269 	66 	108 	109 
007514 	269 	66 	108 	109 
007515 	269 	66 	108 	109 
007516 	269 	66 	108 	109 
007517 	269 	66 	108 	109 
007518 	269 	66 	108 	109 
007519 	269 	66 	108 	109 
007520 	269 	66 	108 	109 
007521 	269 	66 	108 	109 
007522 	269 	66 	108 	109 
007523 	269 	66 	108 	109 
007524 	269 	66 	108 	109 
007525 	269 	66 	108 	109 
007526 	269 	66 	108 	109 
007527 	269 	66 	108 	109 
007528 	269 	66 	108 	109 
007529 	269 	66 	108 	109 
007530 	269 	66 	108 	109 
007531 	269 	66 	108 	109 
007532 	269 	66 	108 	109 
007533 	269 	66 	108 	109 
007534 	269 	66 	108 	109 
007535 	269 	66 	108 	109 
007536 	269 	66 	108 	109 
007537 	269 	66 	108 	109 
007538 	269 	66 	108 	109 
007539 	269 	66 	108 	109 
007540 	269 	66 	108 	109 
007541 	269 	66 	108 	109 
007542 	269 	66 	108 	109 
007543 	269 	66 	108 	109 
007544 	269 	66 	108 	109 
007545 	269 	66 	108 	109 
007546 	269 	66 	108 	109 
007547 	269 	66 	108 	109 
007548 	269 	66 	108 	109 
007549 	269 	66 	108 	109 
007550 	269 	66 	108 	109 
007551 	269 	66 	108 	109 
007552 	269 	66 	108 	109 
007553 	269 	66 	108 	109 
007554 	269 	66 	108 	109 
007555 	269 	66 	108 	109 
007556 	269 	66 	108 	109 
007557 	269 	66 	108 	109 
007558 	269 	66 	108 	109 
007559 	269 	66 	108 	109 
007560 	269 	66 	108 	109 
007561 	269 	66 	108 	109 
007562 	269 	66 	108 	109 
007563 	269 	66 	108 	109 
007564 	269 	66 	108 	109 
007565 	269 	66 	108 	109 
007566 	269 	66 	108 	109 
007567 	269 	66 	108 	109 
007568 	269 	66 	108 	109 
007569 	269 	66 	108 	109 
007570 	269 	66 	108 	109 
007571 	269 	66 	108 	109 
007572 	269 	66 	108 	109 
007573 	269 	66 	108 	109 
007574 	269 	66 	108 	109 
007575 	269 	66 	108 	109 
007576 	269 	66 	108 	109 
007577 	269 	66 	108 	109 
007578 	269 	66 	108 	109 
007579 	269 	66 	108 	109 
007580 	269 	66 	108 	109 
007581 	269 	66 	108 	109 
007582 	269 	66 	108 	109 
007583 	269 	66 	108 	109 
007584 	269 	66 	108 	109 
007585 	269 	66 	108 	109 
007586 	269 	66 	108 	109 
007587 	269 	66 	108 	109 
