Identity  : 	id10615
Reference : 	C9MSVzhtB8A
Offset    : 	-5
FV Conf   : 	17.008
ASD Conf  : 	9.006

FRAME 	X 	Y 	W 	H 
005723 	233 	62 	156 	155 
005724 	233 	62 	156 	155 
005725 	233 	62 	156 	155 
005726 	233 	79 	156 	156 
005727 	233 	79 	156 	156 
005728 	233 	79 	156 	156 
005729 	233 	79 	156 	156 
005730 	233 	79 	156 	156 
005731 	233 	79 	156 	156 
005732 	233 	79 	156 	156 
005733 	233 	79 	156 	156 
005734 	233 	79 	156 	156 
005735 	233 	79 	156 	156 
005736 	233 	79 	156 	156 
005737 	233 	79 	156 	156 
005738 	233 	79 	156 	156 
005739 	233 	79 	156 	156 
005740 	233 	62 	156 	155 
005741 	233 	62 	156 	155 
005742 	233 	62 	156 	155 
005743 	233 	62 	156 	155 
005744 	233 	62 	156 	155 
005745 	233 	62 	156 	155 
005746 	233 	62 	156 	155 
005747 	233 	62 	156 	155 
005748 	250 	62 	156 	155 
005749 	250 	62 	156 	155 
005750 	250 	62 	156 	155 
005751 	250 	62 	156 	155 
005752 	250 	62 	156 	155 
005753 	267 	62 	156 	155 
005754 	267 	62 	156 	155 
005755 	267 	62 	156 	155 
005756 	267 	62 	156 	155 
005757 	267 	62 	156 	155 
005758 	267 	62 	156 	155 
005759 	267 	62 	156 	155 
005760 	267 	62 	156 	155 
005761 	267 	62 	156 	155 
005762 	267 	62 	156 	155 
005763 	267 	62 	156 	155 
005764 	267 	62 	156 	155 
005765 	267 	62 	156 	155 
005766 	267 	62 	156 	155 
005767 	267 	62 	156 	155 
005768 	267 	62 	156 	155 
005769 	267 	62 	156 	155 
005770 	267 	79 	156 	156 
005771 	267 	79 	156 	156 
005772 	267 	79 	156 	156 
005773 	267 	79 	156 	156 
005774 	267 	79 	156 	156 
005775 	267 	79 	156 	156 
005776 	267 	79 	156 	156 
005777 	267 	79 	156 	156 
005778 	267 	79 	156 	156 
005779 	267 	79 	156 	156 
005780 	267 	79 	156 	156 
005781 	267 	79 	156 	156 
005782 	267 	79 	156 	156 
005783 	267 	79 	156 	156 
005784 	267 	79 	156 	156 
005785 	267 	79 	156 	156 
005786 	267 	79 	156 	156 
005787 	267 	79 	156 	156 
005788 	267 	79 	156 	156 
005789 	267 	79 	156 	156 
005790 	267 	79 	156 	156 
005791 	267 	79 	156 	156 
005792 	267 	79 	156 	156 
005793 	267 	79 	156 	156 
005794 	267 	79 	156 	156 
005795 	267 	79 	156 	156 
005796 	267 	79 	156 	156 
005797 	250 	79 	156 	156 
005798 	250 	79 	156 	156 
005799 	250 	79 	156 	156 
005800 	250 	79 	156 	156 
005801 	250 	79 	156 	156 
005802 	250 	79 	156 	156 
005803 	250 	79 	156 	156 
005804 	250 	79 	156 	156 
005805 	250 	79 	156 	156 
005806 	233 	79 	156 	156 
005807 	233 	79 	156 	156 
005808 	233 	79 	156 	156 
005809 	233 	79 	156 	156 
005810 	233 	96 	156 	156 
005811 	233 	96 	156 	156 
005812 	233 	96 	156 	156 
005813 	233 	96 	156 	156 
005814 	250 	96 	156 	156 
005815 	250 	96 	156 	156 
005816 	250 	96 	156 	156 
005817 	250 	96 	156 	156 
005818 	250 	96 	156 	156 
005819 	250 	79 	156 	156 
005820 	250 	79 	156 	156 
005821 	250 	79 	156 	156 
005822 	250 	79 	156 	156 
005823 	250 	79 	156 	156 
005824 	250 	79 	156 	156 
005825 	250 	79 	156 	156 
005826 	250 	79 	156 	156 
005827 	250 	79 	156 	156 
005828 	250 	62 	156 	155 
005829 	250 	62 	156 	155 
005830 	250 	62 	156 	155 
005831 	250 	62 	156 	155 
005832 	250 	62 	156 	155 
005833 	250 	62 	156 	155 
005834 	267 	62 	156 	155 
005835 	267 	62 	156 	155 
005836 	267 	62 	156 	155 
005837 	267 	62 	156 	155 
005838 	267 	62 	156 	155 
005839 	267 	62 	156 	155 
005840 	267 	62 	156 	155 
005841 	267 	62 	156 	155 
005842 	267 	62 	156 	155 
005843 	267 	62 	156 	155 
005844 	267 	62 	156 	155 
005845 	267 	62 	156 	155 
005846 	259 	53 	187 	187 
005847 	267 	79 	156 	156 
005848 	267 	79 	156 	156 
005849 	267 	79 	156 	156 
005850 	267 	79 	156 	156 
005851 	267 	79 	156 	156 
005852 	267 	79 	156 	156 
005853 	267 	79 	156 	156 
005854 	267 	79 	156 	156 
005855 	250 	79 	156 	156 
005856 	250 	79 	156 	156 
