Identity  : 	id10631
Reference : 	5HQ35X-SKy8
Offset    : 	-5
FV Conf   : 	14.942
ASD Conf  : 	6.425

FRAME 	X 	Y 	W 	H 
009577 	293 	78 	108 	109 
009578 	293 	78 	108 	109 
009579 	293 	78 	108 	109 
009580 	293 	78 	108 	109 
009581 	281 	78 	108 	109 
009582 	281 	78 	108 	109 
009583 	281 	78 	108 	109 
009584 	281 	78 	108 	109 
009585 	281 	78 	108 	109 
009586 	281 	78 	108 	109 
009587 	281 	78 	108 	109 
009588 	281 	78 	108 	109 
009589 	281 	78 	108 	109 
009590 	281 	78 	108 	109 
009591 	281 	78 	108 	109 
009592 	281 	90 	108 	109 
009593 	281 	90 	108 	109 
009594 	281 	90 	108 	109 
009595 	281 	90 	108 	109 
009596 	281 	78 	108 	109 
009597 	281 	78 	108 	109 
009598 	281 	78 	108 	109 
009599 	281 	78 	108 	109 
009600 	281 	78 	108 	109 
009601 	269 	78 	108 	109 
009602 	266 	66 	130 	130 
009603 	269 	66 	108 	109 
009604 	269 	66 	108 	109 
009605 	269 	66 	108 	109 
009606 	269 	78 	108 	109 
009607 	266 	66 	130 	130 
009608 	266 	66 	130 	130 
009609 	269 	66 	108 	109 
009610 	269 	66 	108 	109 
009611 	269 	66 	108 	109 
009612 	269 	66 	108 	109 
009613 	269 	66 	108 	109 
009614 	269 	66 	108 	109 
009615 	269 	66 	108 	109 
009616 	269 	66 	108 	109 
009617 	269 	54 	108 	109 
009618 	269 	43 	108 	108 
009619 	269 	43 	108 	108 
009620 	269 	43 	108 	108 
009621 	269 	43 	108 	108 
009622 	269 	43 	108 	108 
009623 	251 	37 	130 	130 
009624 	257 	54 	109 	109 
009625 	257 	54 	109 	109 
009626 	257 	54 	109 	109 
009627 	257 	54 	109 	109 
009628 	269 	54 	108 	109 
009629 	269 	54 	108 	109 
009630 	269 	54 	108 	109 
009631 	269 	54 	108 	109 
009632 	269 	54 	108 	109 
009633 	269 	54 	108 	109 
009634 	269 	54 	108 	109 
009635 	251 	37 	130 	130 
009636 	251 	37 	130 	130 
009637 	251 	37 	130 	130 
009638 	257 	54 	109 	109 
009639 	237 	37 	130 	130 
009640 	237 	51 	130 	130 
009641 	237 	51 	130 	130 
009642 	237 	37 	130 	130 
009643 	237 	37 	130 	130 
009644 	237 	37 	130 	130 
009645 	223 	51 	130 	130 
009646 	223 	51 	130 	130 
009647 	233 	66 	109 	109 
009648 	223 	51 	130 	130 
009649 	221 	66 	109 	109 
009650 	208 	66 	130 	130 
009651 	208 	66 	130 	130 
009652 	208 	66 	130 	130 
009653 	208 	66 	130 	130 
009654 	208 	66 	130 	130 
009655 	208 	66 	130 	130 
009656 	208 	80 	130 	130 
009657 	208 	80 	130 	130 
009658 	208 	80 	130 	130 
009659 	208 	80 	130 	130 
009660 	209 	90 	109 	109 
009661 	209 	90 	109 	109 
009662 	209 	90 	109 	109 
009663 	209 	90 	109 	109 
009664 	209 	90 	109 	109 
009665 	208 	80 	130 	130 
009666 	209 	90 	109 	109 
009667 	209 	90 	109 	109 
009668 	209 	90 	109 	109 
009669 	209 	90 	109 	109 
009670 	209 	90 	109 	109 
009671 	209 	90 	109 	109 
009672 	209 	90 	109 	109 
009673 	221 	90 	109 	109 
009674 	221 	90 	109 	109 
009675 	221 	90 	109 	109 
009676 	233 	90 	109 	109 
009677 	233 	90 	109 	109 
009678 	233 	90 	109 	109 
009679 	233 	90 	109 	109 
009680 	233 	90 	109 	109 
009681 	221 	90 	109 	109 
009682 	221 	90 	109 	109 
009683 	233 	90 	109 	109 
009684 	233 	90 	109 	109 
009685 	245 	90 	109 	109 
009686 	245 	90 	109 	109 
009687 	245 	90 	109 	109 
009688 	245 	90 	109 	109 
009689 	223 	80 	130 	130 
